Name: “Table 1 of 1 on page 14 of 20”,Name: “Table 1 of 1 on page 14 of 20”,Name: “Table 1 of 1 on page 14 of 20”,Name: “Table 1 of 1 on page 14 of 20”,Name: “Table 1 of 1 on page 14 of 20”,Name: “Table 1 of 1 on page 14 of 20”,Name: “Table 1 of 1 on page 14 of 20”,Name: “Table 1 of 1 on page 14 of 20”
Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14
,,,,,,,
•,Support a two percent General Wage Increase,Support a two percent General Wage Increase,,FY 2014:,"$67,296",Positions:,0
,"Support a two percent General Wage Increase for City of Norfolk employees effective July 1, 2013.","Support a two percent General Wage Increase for City of Norfolk employees effective July 1, 2013.","Support a two percent General Wage Increase for City of Norfolk employees effective July 1, 2013.","Support a two percent General Wage Increase for City of Norfolk employees effective July 1, 2013.","Support a two percent General Wage Increase for City of Norfolk employees effective July 1, 2013.","Support a two percent General Wage Increase for City of Norfolk employees effective July 1, 2013.",
,"Priority Area(s) Met: Safe, Healthy, and Inclusive Communities","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities",,,,
•,Adjust operational expenses,,,FY 2014:,"$357,726",Positions:,0
,Routine technical adjustment for operational expenses which occurs annually.,Routine technical adjustment for operational expenses which occurs annually.,Routine technical adjustment for operational expenses which occurs annually.,Routine technical adjustment for operational expenses which occurs annually.,These expenses may include,These expenses may include,These expenses may include
,"updates to indirect costs (if applicable), payment in lieu of taxes, and material and supplies for essential","updates to indirect costs (if applicable), payment in lieu of taxes, and material and supplies for essential","updates to indirect costs (if applicable), payment in lieu of taxes, and material and supplies for essential","updates to indirect costs (if applicable), payment in lieu of taxes, and material and supplies for essential","updates to indirect costs (if applicable), payment in lieu of taxes, and material and supplies for essential","updates to indirect costs (if applicable), payment in lieu of taxes, and material and supplies for essential","updates to indirect costs (if applicable), payment in lieu of taxes, and material and supplies for essential"
,operations.,,,,,,
,"Priority Area(s) Met: Safe, Healthy, and Inclusive Communities","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities",,,,
•,Adjust debt service,,,FY 2014:,"($258,900)",Positions:,0
,Support the annual debt service payments for wastewater related projects.,Support the annual debt service payments for wastewater related projects.,Support the annual debt service payments for wastewater related projects.,Support the annual debt service payments for wastewater related projects.,,,
,Priority Area(s) Met: Well-Managed Government,Priority Area(s) Met: Well-Managed Government,,,,,
•,Reduce operational repairs expenses,Reduce operational repairs expenses,,FY 2014:,"($25,000)",Positions:,0
,"Capture savings from cost containment for operational repairs to facility buildings, office equipment, building","Capture savings from cost containment for operational repairs to facility buildings, office equipment, building","Capture savings from cost containment for operational repairs to facility buildings, office equipment, building","Capture savings from cost containment for operational repairs to facility buildings, office equipment, building","Capture savings from cost containment for operational repairs to facility buildings, office equipment, building","Capture savings from cost containment for operational repairs to facility buildings, office equipment, building","Capture savings from cost containment for operational repairs to facility buildings, office equipment, building"
,"equipment, and portable equipment.","equipment, and portable equipment.",,,,,
,"Priority Area(s) Met: Safe, Healthy, and Inclusive Communities","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities",,,,
,Wastewater,,Total FY 2014:,Total FY 2014:,"$176,640",Positions:,0
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2013,Change,FY 2014
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Accounting Technician,Accounting Technician,OPS007,"$26,658","$42,618",3,0,3
Assistant Superintendent of Utility,Assistant Superintendent of Utility,,,,,,
,,MAP012,"$58,373","$93,316",1,0,1
Division,Division,,,,,,
Crew Leader I,Crew Leader I,OPS008,"$28,816","$46,064",15,0,15
Engineering Technician I,Engineering Technician I,OPS009,"$31,178","$49,847",3,0,3
Environmental Specialist II,Environmental Specialist II,OPS012,"$39,715","$63,487",1,0,1
Equipment Operator II,Equipment Operator II,OPS006,"$24,683","$39,458",6,0,6
Equipment Operator III,Equipment Operator III,OPS008,"$28,816","$46,064",19,0,19
410,Wastewater,,,,,,
