Name: “Table 1 of 1 on page 10 of 20”,Name: “Table 1 of 1 on page 10 of 20”,Name: “Table 1 of 1 on page 10 of 20”,Name: “Table 1 of 1 on page 10 of 20”,Name: “Table 1 of 1 on page 10 of 20”,Name: “Table 1 of 1 on page 10 of 20”,Name: “Table 1 of 1 on page 10 of 20”,Name: “Table 1 of 1 on page 10 of 20”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,
•,Transfer Storekeeper III,,,FY 2014:,"$38,256",Positions:,1
,Implement a FY 2013 efficiency initiative to decentralize the Storehouse.,Implement a FY 2013 efficiency initiative to decentralize the Storehouse.,Implement a FY 2013 efficiency initiative to decentralize the Storehouse.,Decentralized inventory management,Decentralized inventory management,Decentralized inventory management,Decentralized inventory management
,is considered an industry-wide best practice that will improve operating efficiencies by promoting the just-in-,is considered an industry-wide best practice that will improve operating efficiencies by promoting the just-in-,is considered an industry-wide best practice that will improve operating efficiencies by promoting the just-in-,is considered an industry-wide best practice that will improve operating efficiencies by promoting the just-in-,is considered an industry-wide best practice that will improve operating efficiencies by promoting the just-in-,is considered an industry-wide best practice that will improve operating efficiencies by promoting the just-in-,is considered an industry-wide best practice that will improve operating efficiencies by promoting the just-in-
,"time delivery of material goods purchased, and provide departments greater autonomy in managing resources.","time delivery of material goods purchased, and provide departments greater autonomy in managing resources.","time delivery of material goods purchased, and provide departments greater autonomy in managing resources.","time delivery of material goods purchased, and provide departments greater autonomy in managing resources.","time delivery of material goods purchased, and provide departments greater autonomy in managing resources.","time delivery of material goods purchased, and provide departments greater autonomy in managing resources.","time delivery of material goods purchased, and provide departments greater autonomy in managing resources."
,"As such, this Storekeeper III position is being transferred from the centralized Storehouse.","As such, this Storekeeper III position is being transferred from the centralized Storehouse.","As such, this Storekeeper III position is being transferred from the centralized Storehouse.","As such, this Storekeeper III position is being transferred from the centralized Storehouse.","As such, this Storekeeper III position is being transferred from the centralized Storehouse.",A corresponding,A corresponding
,adjustment can be found in Storehouse.,,,,,,
,"Priority Area(s) Met: Safe, Healthy, and Inclusive Communities","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities",,,,
•,Adjust operational expenses,,,FY 2014:,"$3,945,474",Positions:,0
,Routine technical adjustment for operational expenses which occurs annually.,Routine technical adjustment for operational expenses which occurs annually.,Routine technical adjustment for operational expenses which occurs annually.,Routine technical adjustment for operational expenses which occurs annually.,These expenses may include,These expenses may include,These expenses may include
,"indirect costs (if applicable), payment in lieu of taxes, and material and supplies for essential operations.","indirect costs (if applicable), payment in lieu of taxes, and material and supplies for essential operations.","indirect costs (if applicable), payment in lieu of taxes, and material and supplies for essential operations.","indirect costs (if applicable), payment in lieu of taxes, and material and supplies for essential operations.","indirect costs (if applicable), payment in lieu of taxes, and material and supplies for essential operations.","indirect costs (if applicable), payment in lieu of taxes, and material and supplies for essential operations.",
,"Priority Area(s) Met: Safe, Healthy, and Inclusive Communities and Well-Managed Government","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities and Well-Managed Government","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities and Well-Managed Government","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities and Well-Managed Government","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities and Well-Managed Government","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities and Well-Managed Government",
•,Adjust debt service,,,FY 2014:,"($5,324,900)",Positions:,0
,Support the annual debt service payments for water related projects.,Support the annual debt service payments for water related projects.,Support the annual debt service payments for water related projects.,,,,
,Priority Area(s) Met: Well-Managed Government,Priority Area(s) Met: Well-Managed Government,,,,,
