Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”
Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Contributions – Other Outside Agencies,Contributions – Other Outside Agencies,Contributions – Other Outside Agencies,Contributions – Other Outside Agencies,Contributions – Other Outside Agencies,Contributions – Other Outside Agencies,Contributions – Other Outside Agencies,Contributions – Other Outside Agencies,Contributions – Other Outside Agencies,,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
"BUDGET SUMMARY, Continued","BUDGET SUMMARY, Continued","BUDGET SUMMARY, Continued","BUDGET SUMMARY, Continued","BUDGET SUMMARY, Continued","BUDGET SUMMARY, Continued","BUDGET SUMMARY, Continued",,,,,,,,,,,
,,,,,,,,,,,FY 10,FY 10,,FY 11,,FY 12,
,,,,,,,,,,,Adopted,Adopted,,Adopted,,Plan,
Educational/Environmental:,Educational/Environmental:,Educational/Environmental:,Educational/Environmental:,Educational/Environmental:,Educational/Environmental:,,,,,,,,,,,,
Thomas Nelson Community College,Thomas Nelson Community College,Thomas Nelson Community College,Thomas Nelson Community College,Thomas Nelson Community College,Thomas Nelson Community College,,,,,$,"97,368","97,368",$,"97,368",$,"97,368",
Hampton Roads Planning District Commission,Hampton Roads Planning District Commission,Hampton Roads Planning District Commission,Hampton Roads Planning District Commission,Hampton Roads Planning District Commission,Hampton Roads Planning District Commission,Hampton Roads Planning District Commission,Hampton Roads Planning District Commission,,,,"100,694","100,694",,"98,606",,"98,606",
Williamsburg Arts Commission,Williamsburg Arts Commission,Williamsburg Arts Commission,Williamsburg Arts Commission,Williamsburg Arts Commission,Williamsburg Arts Commission,,,,,,"60,390","60,390",,"55,000",,"55,000",
