Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”,Name: “Table 1 of 1 on page 86 of 156”
Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Office of Emergency Management,Office of Emergency Management,Office of Emergency Management,Office of Emergency Management,Office of Emergency Management,Office of Emergency Management,,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,,,,,,,,,,
"To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for","To provide disaster planning and response, and coordinate the emergency management functions for"
James City County.,James City County.,James City County.,,,,,,,,,,,,,
OBJECTIVE,OBJECTIVE,,,,,,,,,,,,,,
"Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City","Test and evaluate emergency activation system for all citizens, visitors, and employees of James City"
County.,County.,,,,,,,,,,,,,,
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,,,,,
,,,,,,FY 10,,,FY 11,FY 11,,FY 12,FY 12,,
,,,,,,Adopted,,,Adopted,Adopted,,Plan,,,
,,Personnel,Personnel,,$,"143,734",$,,"149,253","149,253",$,"150,472","150,472",,
,,Operating,Operating,,,"111,489",,,"100,094","100,094",,"97,335","97,335",,
,,,Capital,,,0,,,,275,,,0,,
,,,Total,,$,"255,223",$,,"249,622","249,622",$,"247,807","247,807",,
PERSONNEL,PERSONNEL,,,,,,,,,,,,,,
,Full-time Personnel,Full-time Personnel,Full-time Personnel,Full-time Personnel,,2,,,,2,,,2,,
PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,,,,,,,,,,
,,,,,,FY 09,FY 09,,FY 10,FY 10,,FY 11,,FY 12,
,,,,,,Actual,Actual,,Projected,Projected,Adopted,Adopted,,Plan,
,Drills/Test of Emergency System,Drills/Test of Emergency System,Drills/Test of Emergency System,Drills/Test of Emergency System,Drills/Test of Emergency System,,36,,,22,,36,,,36
,,Educational Presentations,Educational Presentations,Educational Presentations,Educational Presentations,,14,,,10,,15,,,15
,,Employee Workshops,Employee Workshops,Employee Workshops,Employee Workshops,,13,,,10,,12,,,15
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,,,,,
This,budget,includes,funding,in,professional,services,services,in,FY11,for,preparation,and,printing,of,the
Emergency Operations Plan.,Emergency Operations Plan.,Emergency Operations Plan.,"Advertising, subscription, and duplicating expenses have increased due to","Advertising, subscription, and duplicating expenses have increased due to","Advertising, subscription, and duplicating expenses have increased due to","Advertising, subscription, and duplicating expenses have increased due to","Advertising, subscription, and duplicating expenses have increased due to","Advertising, subscription, and duplicating expenses have increased due to","Advertising, subscription, and duplicating expenses have increased due to","Advertising, subscription, and duplicating expenses have increased due to","Advertising, subscription, and duplicating expenses have increased due to","Advertising, subscription, and duplicating expenses have increased due to","Advertising, subscription, and duplicating expenses have increased due to","Advertising, subscription, and duplicating expenses have increased due to","Advertising, subscription, and duplicating expenses have increased due to"
the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.,the transfer of the Public Education Program budget from the Fire Department to Emergency Services.
Software expenses consist of landline updates for Reverse 911 and software licenses.,Software expenses consist of landline updates for Reverse 911 and software licenses.,Software expenses consist of landline updates for Reverse 911 and software licenses.,Software expenses consist of landline updates for Reverse 911 and software licenses.,Software expenses consist of landline updates for Reverse 911 and software licenses.,Software expenses consist of landline updates for Reverse 911 and software licenses.,Software expenses consist of landline updates for Reverse 911 and software licenses.,Software expenses consist of landline updates for Reverse 911 and software licenses.,Software expenses consist of landline updates for Reverse 911 and software licenses.,Software expenses consist of landline updates for Reverse 911 and software licenses.,Software expenses consist of landline updates for Reverse 911 and software licenses.,Software expenses consist of landline updates for Reverse 911 and software licenses.,Software expenses consist of landline updates for Reverse 911 and software licenses.,,,
,,,,,,Page C-41,Page C-41,,,,,,,,
