Name: “Table 1 of 1 on page 80 of 156”,Name: “Table 1 of 1 on page 80 of 156”,Name: “Table 1 of 1 on page 80 of 156”,Name: “Table 1 of 1 on page 80 of 156”,Name: “Table 1 of 1 on page 80 of 156”,Name: “Table 1 of 1 on page 80 of 156”,Name: “Table 1 of 1 on page 80 of 156”,Name: “Table 1 of 1 on page 80 of 156”,Name: “Table 1 of 1 on page 80 of 156”,Name: “Table 1 of 1 on page 80 of 156”,Name: “Table 1 of 1 on page 80 of 156”,Name: “Table 1 of 1 on page 80 of 156”,Name: “Table 1 of 1 on page 80 of 156”,Name: “Table 1 of 1 on page 80 of 156”
Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Commonwealth’s Attorney,Commonwealth’s Attorney,Commonwealth’s Attorney,,,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,,,,,,,,,,
The,Commonwealth's,Attorney,is,an,elected,Constitutional,Constitutional,Officer,who,is,responsible,for,the
prosecution of all violations of State law in the County and the City of Williamsburg.,prosecution of all violations of State law in the County and the City of Williamsburg.,prosecution of all violations of State law in the County and the City of Williamsburg.,prosecution of all violations of State law in the County and the City of Williamsburg.,prosecution of all violations of State law in the County and the City of Williamsburg.,prosecution of all violations of State law in the County and the City of Williamsburg.,prosecution of all violations of State law in the County and the City of Williamsburg.,prosecution of all violations of State law in the County and the City of Williamsburg.,prosecution of all violations of State law in the County and the City of Williamsburg.,prosecution of all violations of State law in the County and the City of Williamsburg.,prosecution of all violations of State law in the County and the City of Williamsburg.,Special emphasis,Special emphasis,Special emphasis
over the last few years has been to aid victims/witnesses through the legal process by better educating,over the last few years has been to aid victims/witnesses through the legal process by better educating,over the last few years has been to aid victims/witnesses through the legal process by better educating,over the last few years has been to aid victims/witnesses through the legal process by better educating,over the last few years has been to aid victims/witnesses through the legal process by better educating,over the last few years has been to aid victims/witnesses through the legal process by better educating,over the last few years has been to aid victims/witnesses through the legal process by better educating,over the last few years has been to aid victims/witnesses through the legal process by better educating,over the last few years has been to aid victims/witnesses through the legal process by better educating,over the last few years has been to aid victims/witnesses through the legal process by better educating,over the last few years has been to aid victims/witnesses through the legal process by better educating,over the last few years has been to aid victims/witnesses through the legal process by better educating,over the last few years has been to aid victims/witnesses through the legal process by better educating,over the last few years has been to aid victims/witnesses through the legal process by better educating
them about the court processes and keeping them up-to-date and consistently informed on their cases to,them about the court processes and keeping them up-to-date and consistently informed on their cases to,them about the court processes and keeping them up-to-date and consistently informed on their cases to,them about the court processes and keeping them up-to-date and consistently informed on their cases to,them about the court processes and keeping them up-to-date and consistently informed on their cases to,them about the court processes and keeping them up-to-date and consistently informed on their cases to,them about the court processes and keeping them up-to-date and consistently informed on their cases to,them about the court processes and keeping them up-to-date and consistently informed on their cases to,them about the court processes and keeping them up-to-date and consistently informed on their cases to,them about the court processes and keeping them up-to-date and consistently informed on their cases to,them about the court processes and keeping them up-to-date and consistently informed on their cases to,them about the court processes and keeping them up-to-date and consistently informed on their cases to,them about the court processes and keeping them up-to-date and consistently informed on their cases to,them about the court processes and keeping them up-to-date and consistently informed on their cases to
make the process as easy on them as possible.,make the process as easy on them as possible.,make the process as easy on them as possible.,make the process as easy on them as possible.,make the process as easy on them as possible.,make the process as easy on them as possible.,The County and City supplement the State-approved,The County and City supplement the State-approved,The County and City supplement the State-approved,The County and City supplement the State-approved,The County and City supplement the State-approved,The County and City supplement the State-approved,The County and City supplement the State-approved,The County and City supplement the State-approved
budget of this office for both salaries and office expenses.,budget of this office for both salaries and office expenses.,budget of this office for both salaries and office expenses.,budget of this office for both salaries and office expenses.,budget of this office for both salaries and office expenses.,budget of this office for both salaries and office expenses.,budget of this office for both salaries and office expenses.,,,,,,,
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,,,
,,,,,FY 10,FY 10,,FY 11,,,FY 12,,
,,,,,Adopted,Adopted,,Adopted,,,Plan,,
,Personnel,Personnel,,$,"720,835","720,835",$,"768,096",$,,"774,217",,
,Operating,Operating,,,"66,963","66,963",,"63,963",,,"63,963",,
Local Aid to State Government,Local Aid to State Government,Local Aid to State Government,,,"21,377","21,377",,"25,652",,,"25,652",,
Received from Williamsburg,Received from Williamsburg,Received from Williamsburg,,,"(55,702)","(55,702)",,"(64,834)",,,"(65,918)",,
,,Total,,$,"753,473","753,473",$,"792,877",$,,"797,914",,
PERSONNEL,,,,,,,,,,,,,
,Full-time Personnel,Full-time Personnel,,,,9,,9,,,9,,
PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,,,,,,,,,,
,,,,,,FY 09,FY 09,FY 10,,FY 11,,FY 12,FY 12
,,,,,,Actual,Actual,Projected,,Adopted,,Plan,Plan
Number of cases prosecutors handle per year,Number of cases prosecutors handle per year,Number of cases prosecutors handle per year,Number of cases prosecutors handle per year,Number of cases prosecutors handle per year,,"4,054","4,054","4,461",,,"4,340","4,470","4,470"
Number of victims served by Victim Assistance,Number of victims served by Victim Assistance,Number of victims served by Victim Assistance,Number of victims served by Victim Assistance,Number of victims served by Victim Assistance,,,,,,,,,
,,,,per year,,,857,635,,,700,,721
Number of hours of education provided per year,Number of hours of education provided per year,Number of hours of education provided per year,Number of hours of education provided per year,Number of hours of education provided per year,,,133,60,,,60,,60
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,,,
There are no locally funded positions in this State Constitutional office.,There are no locally funded positions in this State Constitutional office.,There are no locally funded positions in this State Constitutional office.,There are no locally funded positions in this State Constitutional office.,There are no locally funded positions in this State Constitutional office.,There are no locally funded positions in this State Constitutional office.,There are no locally funded positions in this State Constitutional office.,There are no locally funded positions in this State Constitutional office.,There are no locally funded positions in this State Constitutional office.,The State provides for nine,The State provides for nine,The State provides for nine,The State provides for nine,The State provides for nine
"employees; however, the level of support has continued to diminish.","employees; however, the level of support has continued to diminish.","employees; however, the level of support has continued to diminish.","employees; however, the level of support has continued to diminish.","employees; however, the level of support has continued to diminish.","employees; however, the level of support has continued to diminish.","employees; however, the level of support has continued to diminish.","employees; however, the level of support has continued to diminish.",Operational expenses are reduced in,Operational expenses are reduced in,Operational expenses are reduced in,Operational expenses are reduced in,Operational expenses are reduced in,Operational expenses are reduced in
recognition of this.,The City of Williamsburg will pay 17.7 percent of the local cost of this Operating,The City of Williamsburg will pay 17.7 percent of the local cost of this Operating,The City of Williamsburg will pay 17.7 percent of the local cost of this Operating,The City of Williamsburg will pay 17.7 percent of the local cost of this Operating,The City of Williamsburg will pay 17.7 percent of the local cost of this Operating,The City of Williamsburg will pay 17.7 percent of the local cost of this Operating,The City of Williamsburg will pay 17.7 percent of the local cost of this Operating,The City of Williamsburg will pay 17.7 percent of the local cost of this Operating,The City of Williamsburg will pay 17.7 percent of the local cost of this Operating,The City of Williamsburg will pay 17.7 percent of the local cost of this Operating,The City of Williamsburg will pay 17.7 percent of the local cost of this Operating,The City of Williamsburg will pay 17.7 percent of the local cost of this Operating,The City of Williamsburg will pay 17.7 percent of the local cost of this Operating
Budget based on the Courthouse agreement.,Budget based on the Courthouse agreement.,Budget based on the Courthouse agreement.,Budget based on the Courthouse agreement.,Budget based on the Courthouse agreement.,,,,,,,,,
MEMO,,,,,,,,,,,,,
Net County Funding:,,,,,FY 10,FY 10,,FY 11,,,FY 12,,
,,,,,Adopted,Adopted,,Adopted,,,Plan,,
,Total Budget,Total Budget,,$,"753,473","753,473",$,"792,877",$,,"797,914",,
,State/Other Revenue,State/Other Revenue,,,"(518,734)","(518,734)",,"(491,415)",,,"(491,415)",,
,Net County Funding,Net County Funding,,$,"234,739","234,739",$,"301,462",$,,"306,499",,
