Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”,Name: “Table 1 of 1 on page 36 of 156”
Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
General Property Taxes,General Property Taxes,General Property Taxes,General Property Taxes,General Property Taxes,,,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
"BUDGET COMMENTS, Continued","BUDGET COMMENTS, Continued","BUDGET COMMENTS, Continued","BUDGET COMMENTS, Continued","BUDGET COMMENTS, Continued","BUDGET COMMENTS, Continued","BUDGET COMMENTS, Continued",,,,,,,,,
,,,,,,,FY 10,FY 10,,FY 11,,,FY 12,,
,,,,,,,Adopted,Adopted,,Adopted,,,Plan,,
,"""Car Tax"" Impacts","""Car Tax"" Impacts","""Car Tax"" Impacts",,,,,,,,,,,,
,Local Collections,Local Collections,Local Collections,,,$,"14,305,574","14,305,574",$,"14,590,859",,$,"15,310,714","15,310,714",
,From the Commonwealth,From the Commonwealth,From the Commonwealth,From the Commonwealth,From the Commonwealth,,"9,557,223","9,557,223",,"9,770,137",,,"9,770,137","9,770,137",
,,,,,,$,"23,862,797","23,862,797",$,"24,360,996",,$,"25,080,851","25,080,851",
"In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006.","In 2005 the General Assembly permanently capped the State's share of the ""Car Tax"" beginning in 2006."
"The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle","The State is projected to pay approximately 61 percent of the ""Car Tax"" for an eligible personal use vehicle"
in FY 2011.,,,,,,,,,,,,,,,
Unaffected,by,the,State's,"""Car","Tax""",initiative,initiative,are,County,personal,property,property,assessments,on,"boats,"
