Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”,Name: “Table 1 of 1 on page 44 of 156”
Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Charges for Current Services,Charges for Current Services,Charges for Current Services,Charges for Current Services,Charges for Current Services,Charges for Current Services,Charges for Current Services,,,,,,General Revenue Fund,General Revenue Fund,General Revenue Fund,General Revenue Fund,General Revenue Fund
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,,,
,,,,,,,FY 10,,FY 10,,,FY 11,,,FY 12,
,,,,,,,Adopted,,Projected,,,Adopted,,,Plan,
,,Excess Fees - Clerk,Excess Fees - Clerk,Excess Fees - Clerk,Excess Fees - Clerk,$,"187,500",$,"165,000",,$,"165,000",,$,"165,000","165,000"
"Sheriff, Deputies, and Jail Fees","Sheriff, Deputies, and Jail Fees","Sheriff, Deputies, and Jail Fees","Sheriff, Deputies, and Jail Fees","Sheriff, Deputies, and Jail Fees","Sheriff, Deputies, and Jail Fees",,"175,000",,"155,000",,,"160,000",,,"165,000","165,000"
