Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”,Name: “Table 1 of 1 on page 126 of 165”
Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126
,,,,,,,,,,,,,,,
,,,Capital Project Detail,Capital Project Detail,Capital Project Detail,Capital Project Detail,,,,,,,,,
,,PREVIOUSLY,PREVIOUSLY,,,,,,,,,,,,
,,FUNDED,,,,,,,,,,,,,
,,BALANCE,,,,,,,,,,,,,
,DESCRIPTION,(MEMO ONLY),(MEMO ONLY),,FY 13,,FY 14,,FY 15,,FY 16,,FY 17,,TOTAL
,Water Supply (105-100),,,,,,,,,,,,,,
1155,Desalination Plant Equipment Replacement,$,"64,387",$,"465,000",$,"465,000",$,"250,000",$,"250,000",$,"250,000",$,"1,680,000"
2003,PDA Debt Service,,"1,645,000",,"1,648,000",,"1,645,000",,"1,646,000",,"1,647,000",,"1,647,000",,"8,233,000"
XXXX,Well Abandonment,,-,,,,,,"100,000",,,,,,"100,000"
,Subtotal,$,"1,709,387","$ 2,113,000","$ 2,113,000","$ 2,110,000","$ 2,110,000","$ 1,996,000","$ 1,996,000","$1,897,000","$1,897,000","$ 1,897,000","$ 1,897,000","$ 10,013,000","$ 10,013,000"
,Water Distribution (105-110),,,,,,,,,,,,,,
XXXX,Water Meter Replacement,$,-,,,$,"250,000",$,"250,000",$,"250,000",$,"250,000",$,"1,000,000"
XXXX,White Oaks/Canterbury,,-,,,,,,,,"2,000,000",,,,"2,000,000"
XXXX,Kingswood,,-,,,,"200,000",,"200,000",,"200,000",,"200,000",,"800,000"
,Subtotal,$,-,$,-,$,"450,000",$,"450,000","$2,450,000","$2,450,000",$,"450,000",$,"3,800,000"
,Sewer System Improvements (105-150),,,,,,,,,,,,,,
2300,Sewer Systems Overflow Report Preparation,$,"1,072,620",$,"45,000",,,,,,,,,$,"45,000"
2475,DEQ Consent Order Sewer System Imp,,"2,012,203",,"1,383,360",,"1,459,221",,"3,200,000",,"3,200,000",,"3,200,000",,"12,442,581"
XXXX,DEQ Consent Order Sewer-MOM,,-,,"115,000",,"300,000",,"300,000",,"300,000",,"300,000",,"1,315,000"
XXXX,DEQ Consent Order Sewer-Capacity,,-,,,,,,,,"1,140,000",,"1,140,000",,"2,280,000"
XXXX,Lift Station Recoating,,-,,"160,000",,,,,,,,,,"160,000"
,Subtotal,$,"3,084,823","$ 1,703,360","$ 1,703,360","$ 1,759,221","$ 1,759,221","$ 3,500,000","$ 3,500,000","$ 4,640,000","$ 4,640,000","$ 4,640,000","$ 4,640,000","$ 16,242,581","$ 16,242,581"
,Other Projects (106-160),,,,,,,,,,,,,,
3085,Heavy Equipment/Trucks,$,"23,103",$,"150,000",$,"250,000",$,"180,000",,,$,"120,000",$,"700,000"
XXXX,Electrical Arc Flash Prevention,,-,,"100,000",,,,,,,,,,"100,000"
,Subtotal,$,"23,103",$,"250,000",$,"250,000",$,"180,000",$,-,$,"120,000",$,"800,000"
,GRAND TOTAL,$,"4,817,313","$ 4,066,360","$ 4,066,360","$ 4,569,221","$ 4,569,221","$ 6,126,000","$ 6,126,000","$ 8,987,000","$ 8,987,000","$ 7,107,000","$ 7,107,000","$ 30,855,581","$ 30,855,581"
,,,,Page E-10,Page E-10,,,,,,,,,,
