Name: “Table 1 of 1 on page 71 of 165”,Name: “Table 1 of 1 on page 71 of 165”,Name: “Table 1 of 1 on page 71 of 165”,Name: “Table 1 of 1 on page 71 of 165”,Name: “Table 1 of 1 on page 71 of 165”,Name: “Table 1 of 1 on page 71 of 165”,Name: “Table 1 of 1 on page 71 of 165”,Name: “Table 1 of 1 on page 71 of 165”,Name: “Table 1 of 1 on page 71 of 165”
Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71
,,,,,,,,
,,,,,,,,
Fire/Emergency Medical Services,Fire/Emergency Medical Services,Fire/Emergency Medical Services,Fire/Emergency Medical Services,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,,,,,,,
1.,"Provide fire protection, prevention, emergency medical, and other emergency services from five","Provide fire protection, prevention, emergency medical, and other emergency services from five","Provide fire protection, prevention, emergency medical, and other emergency services from five","Provide fire protection, prevention, emergency medical, and other emergency services from five","Provide fire protection, prevention, emergency medical, and other emergency services from five","Provide fire protection, prevention, emergency medical, and other emergency services from five","Provide fire protection, prevention, emergency medical, and other emergency services from five","Provide fire protection, prevention, emergency medical, and other emergency services from five"
,stations strategically located throughout the County,stations strategically located throughout the County,stations strategically located throughout the County,stations strategically located throughout the County,,,,
2.,"Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a","Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a","Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a","Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a","Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a","Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a","Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a","Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a"
,"projected 2,000 inspections","projected 2,000 inspections",,,,,,
3.,"Investigate a projected 140 fire code violations, threats and incidents including structure, vehicle,","Investigate a projected 140 fire code violations, threats and incidents including structure, vehicle,","Investigate a projected 140 fire code violations, threats and incidents including structure, vehicle,","Investigate a projected 140 fire code violations, threats and incidents including structure, vehicle,","Investigate a projected 140 fire code violations, threats and incidents including structure, vehicle,","Investigate a projected 140 fire code violations, threats and incidents including structure, vehicle,","Investigate a projected 140 fire code violations, threats and incidents including structure, vehicle,","Investigate a projected 140 fire code violations, threats and incidents including structure, vehicle,"
,and outside fires; hazmat scenes; and bombs/explosives,and outside fires; hazmat scenes; and bombs/explosives,and outside fires; hazmat scenes; and bombs/explosives,and outside fires; hazmat scenes; and bombs/explosives,,,,
4.,"Complete a projected 24,000 hours of training to maintain and enhance emergency medical and","Complete a projected 24,000 hours of training to maintain and enhance emergency medical and","Complete a projected 24,000 hours of training to maintain and enhance emergency medical and","Complete a projected 24,000 hours of training to maintain and enhance emergency medical and","Complete a projected 24,000 hours of training to maintain and enhance emergency medical and","Complete a projected 24,000 hours of training to maintain and enhance emergency medical and","Complete a projected 24,000 hours of training to maintain and enhance emergency medical and","Complete a projected 24,000 hours of training to maintain and enhance emergency medical and"
