Name: “Table 1 of 1 on page 129 of 165”,Name: “Table 1 of 1 on page 129 of 165”,Name: “Table 1 of 1 on page 129 of 165”,Name: “Table 1 of 1 on page 129 of 165”,Name: “Table 1 of 1 on page 129 of 165”,Name: “Table 1 of 1 on page 129 of 165”,Name: “Table 1 of 1 on page 129 of 165”,Name: “Table 1 of 1 on page 129 of 165”
Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129
,,,,,,,
,,,,,,,
,,Virginia Public Assistance Fund,Virginia Public Assistance Fund,Virginia Public Assistance Fund,Virginia Public Assistance Fund,,
KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,,,,,,
1.,Provide services to children and adults to protect them from abuse and neglect,Provide services to children and adults to protect them from abuse and neglect,Provide services to children and adults to protect them from abuse and neglect,Provide services to children and adults to protect them from abuse and neglect,Provide services to children and adults to protect them from abuse and neglect,,
2.,Provide stable homes for children through foster care and adoption services,Provide stable homes for children through foster care and adoption services,Provide stable homes for children through foster care and adoption services,Provide stable homes for children through foster care and adoption services,Provide stable homes for children through foster care and adoption services,,
3.,"Assist eligible residents in receiving state sponsored assistance with food, medical coverage and","Assist eligible residents in receiving state sponsored assistance with food, medical coverage and","Assist eligible residents in receiving state sponsored assistance with food, medical coverage and","Assist eligible residents in receiving state sponsored assistance with food, medical coverage and","Assist eligible residents in receiving state sponsored assistance with food, medical coverage and","Assist eligible residents in receiving state sponsored assistance with food, medical coverage and","Assist eligible residents in receiving state sponsored assistance with food, medical coverage and"
,temporary financial assistance,,,,,,
4.,Provide job readiness services to promote self-sufficiency to eligible residents by supporting them,Provide job readiness services to promote self-sufficiency to eligible residents by supporting them,Provide job readiness services to promote self-sufficiency to eligible residents by supporting them,Provide job readiness services to promote self-sufficiency to eligible residents by supporting them,Provide job readiness services to promote self-sufficiency to eligible residents by supporting them,Provide job readiness services to promote self-sufficiency to eligible residents by supporting them,Provide job readiness services to promote self-sufficiency to eligible residents by supporting them
,"with assistance for day care, transportation and car repairs, purchase of work related equipment and","with assistance for day care, transportation and car repairs, purchase of work related equipment and","with assistance for day care, transportation and car repairs, purchase of work related equipment and","with assistance for day care, transportation and car repairs, purchase of work related equipment and","with assistance for day care, transportation and car repairs, purchase of work related equipment and","with assistance for day care, transportation and car repairs, purchase of work related equipment and","with assistance for day care, transportation and car repairs, purchase of work related equipment and"
,"clothing, dental assistance, emergency needs, and counseling regarding barriers to employment and","clothing, dental assistance, emergency needs, and counseling regarding barriers to employment and","clothing, dental assistance, emergency needs, and counseling regarding barriers to employment and","clothing, dental assistance, emergency needs, and counseling regarding barriers to employment and","clothing, dental assistance, emergency needs, and counseling regarding barriers to employment and","clothing, dental assistance, emergency needs, and counseling regarding barriers to employment and","clothing, dental assistance, emergency needs, and counseling regarding barriers to employment and"
,future goals,,,,,,
5.,Facilitate the coordination of community resources/agencies providing safety net services for the,Facilitate the coordination of community resources/agencies providing safety net services for the,Facilitate the coordination of community resources/agencies providing safety net services for the,Facilitate the coordination of community resources/agencies providing safety net services for the,Facilitate the coordination of community resources/agencies providing safety net services for the,Facilitate the coordination of community resources/agencies providing safety net services for the,Facilitate the coordination of community resources/agencies providing safety net services for the
,safety of vulnerable children and adults,safety of vulnerable children and adults,,,,,
6.,Facilitate resources to ensure homelessness services are provided in a coordinated fashion and,Facilitate resources to ensure homelessness services are provided in a coordinated fashion and,Facilitate resources to ensure homelessness services are provided in a coordinated fashion and,Facilitate resources to ensure homelessness services are provided in a coordinated fashion and,Facilitate resources to ensure homelessness services are provided in a coordinated fashion and,Facilitate resources to ensure homelessness services are provided in a coordinated fashion and,Facilitate resources to ensure homelessness services are provided in a coordinated fashion and
,ensure data is accurately captured to meet all definitions,ensure data is accurately captured to meet all definitions,ensure data is accurately captured to meet all definitions,,,,
BUDGET SUMMARY,BUDGET SUMMARY,,,,,,
,,,FY 12,,FY 13,,FY 14
,,,Adopted,,Adopted,,Plan
Revenues:,Revenues:,,,,,,
From Federal/State,From Federal/State,$,"4,438,170",$,"3,634,197",$,"3,645,451"
General Fund,General Fund,,"1,578,400",,"1,587,616",,"1,621,590"
Fund Balance,Fund Balance,,"384,500",,"384,500",,"384,500"
Grant,Grant,,"34,203",,"23,983",,"23,983"
Total,Total,$,"6,435,273",$,"5,630,296",$,"5,675,524"
Expenditures:,Expenditures:,,,,,,
General,General,,,,,,
Administration,Administration,$,"3,698,158",$,"3,738,048",$,"3,783,276"
Public Assistance,Public Assistance,,"1,323,327",,"1,565,403",,"1,565,403"
Purchased Services,Purchased Services,,"1,258,280",,"154,837",,"154,837"
Local Non-Reimbursable,Local Non-Reimbursable,,"104,000",,"120,500",,"120,500"
Grant Programs,Grant Programs,,"51,508",,"51,508",,"51,508"
Total Expenditures,Total Expenditures,$,"6,435,273",$,"5,630,296",$,"5,675,524"
Total Local Funding,Total Local Funding,$,"1,962,900",$,"1,972,116",$,"2,006,090"
PERSONNEL,PERSONNEL,,,,,,
,Full-time Personnel,,52.5,,52,,52
,Part-time Personnel,,4,,4,,4
,,Page F-1,,,,,
