Name: “Table 1 of 1 on page 74 of 165”,Name: “Table 1 of 1 on page 74 of 165”,Name: “Table 1 of 1 on page 74 of 165”,Name: “Table 1 of 1 on page 74 of 165”,Name: “Table 1 of 1 on page 74 of 165”,Name: “Table 1 of 1 on page 74 of 165”,Name: “Table 1 of 1 on page 74 of 165”,Name: “Table 1 of 1 on page 74 of 165”,Name: “Table 1 of 1 on page 74 of 165”
Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74
,,,,,,,,
,,,,,,,,
Emergency Communications,Emergency Communications,Emergency Communications,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,,,,,,,
1.,Provide 911 emergency contact services,Provide 911 emergency contact services,Provide 911 emergency contact services,,,,,
2.,"Answer a projected 147,100 emergency and non-emergency calls for service and dispatch a","Answer a projected 147,100 emergency and non-emergency calls for service and dispatch a","Answer a projected 147,100 emergency and non-emergency calls for service and dispatch a","Answer a projected 147,100 emergency and non-emergency calls for service and dispatch a","Answer a projected 147,100 emergency and non-emergency calls for service and dispatch a","Answer a projected 147,100 emergency and non-emergency calls for service and dispatch a","Answer a projected 147,100 emergency and non-emergency calls for service and dispatch a","Answer a projected 147,100 emergency and non-emergency calls for service and dispatch a"
,"projected 73,175 calls for service for Police and Fire/EMS","projected 73,175 calls for service for Police and Fire/EMS","projected 73,175 calls for service for Police and Fire/EMS","projected 73,175 calls for service for Police and Fire/EMS","projected 73,175 calls for service for Police and Fire/EMS",,,
3.,Facilitate information exchange and response among County and regional emergency responders,Facilitate information exchange and response among County and regional emergency responders,Facilitate information exchange and response among County and regional emergency responders,Facilitate information exchange and response among County and regional emergency responders,Facilitate information exchange and response among County and regional emergency responders,Facilitate information exchange and response among County and regional emergency responders,Facilitate information exchange and response among County and regional emergency responders,Facilitate information exchange and response among County and regional emergency responders
,throughout incidents,,,,,,,
