Name: “Table 1 of 1 on page 133 of 165”,Name: “Table 1 of 1 on page 133 of 165”,Name: “Table 1 of 1 on page 133 of 165”,Name: “Table 1 of 1 on page 133 of 165”,Name: “Table 1 of 1 on page 133 of 165”,Name: “Table 1 of 1 on page 133 of 165”,Name: “Table 1 of 1 on page 133 of 165”,Name: “Table 1 of 1 on page 133 of 165”
Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133
,,,,,,,
,,,,,,,
,,Colonial Community Corrections,Colonial Community Corrections,Colonial Community Corrections,,,
KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,,,,,,
1.,Develop and implement a long-term criminal justice plan that assists in safeguarding the,Develop and implement a long-term criminal justice plan that assists in safeguarding the,Develop and implement a long-term criminal justice plan that assists in safeguarding the,Develop and implement a long-term criminal justice plan that assists in safeguarding the,Develop and implement a long-term criminal justice plan that assists in safeguarding the,Develop and implement a long-term criminal justice plan that assists in safeguarding the,
,community,,,,,,
2.,Provide alternatives to incarceration to local responsible offenders and defendants awaiting trial,Provide alternatives to incarceration to local responsible offenders and defendants awaiting trial,Provide alternatives to incarceration to local responsible offenders and defendants awaiting trial,Provide alternatives to incarceration to local responsible offenders and defendants awaiting trial,Provide alternatives to incarceration to local responsible offenders and defendants awaiting trial,Provide alternatives to incarceration to local responsible offenders and defendants awaiting trial,Provide alternatives to incarceration to local responsible offenders and defendants awaiting trial
3.,Provide pre-trial services to ensure accurate information is received by the court systems on,Provide pre-trial services to ensure accurate information is received by the court systems on,Provide pre-trial services to ensure accurate information is received by the court systems on,Provide pre-trial services to ensure accurate information is received by the court systems on,Provide pre-trial services to ensure accurate information is received by the court systems on,Provide pre-trial services to ensure accurate information is received by the court systems on,Provide pre-trial services to ensure accurate information is received by the court systems on
,individuals awaiting trial so informed decisions can be made about pre-trial release and supervision,individuals awaiting trial so informed decisions can be made about pre-trial release and supervision,individuals awaiting trial so informed decisions can be made about pre-trial release and supervision,individuals awaiting trial so informed decisions can be made about pre-trial release and supervision,individuals awaiting trial so informed decisions can be made about pre-trial release and supervision,individuals awaiting trial so informed decisions can be made about pre-trial release and supervision,individuals awaiting trial so informed decisions can be made about pre-trial release and supervision
4.,Provide post-trial services to offenders; re-entry programs for those being released from jail; and,Provide post-trial services to offenders; re-entry programs for those being released from jail; and,Provide post-trial services to offenders; re-entry programs for those being released from jail; and,Provide post-trial services to offenders; re-entry programs for those being released from jail; and,Provide post-trial services to offenders; re-entry programs for those being released from jail; and,Provide post-trial services to offenders; re-entry programs for those being released from jail; and,Provide post-trial services to offenders; re-entry programs for those being released from jail; and
,substance abuse counseling to offenders identified with substance abuse disorders,substance abuse counseling to offenders identified with substance abuse disorders,substance abuse counseling to offenders identified with substance abuse disorders,substance abuse counseling to offenders identified with substance abuse disorders,substance abuse counseling to offenders identified with substance abuse disorders,,
BUDGET SUMMARY,BUDGET SUMMARY,,,,,,
,,,FY 12,,FY 13,,FY 14
,,,Adopted,,Adopted,,Plan
Revenues:,Revenues:,,,,,,
From Federal/State,From Federal/State,$,"744,514",$,"735,514",$,"735,514"
General Fund,General Fund,,"34,470",,"34,470",,"36,913"
Supervision Fees,Supervision Fees,,"48,099",,"57,474",,"57,474"
Williamsburg Community Health Foundation,Williamsburg Community Health Foundation,,"40,000",,"40,665",,"40,665"
York County Grant,York County Grant,,"70,821",,-,,-
Other Locality Contributions,Other Locality Contributions,,"70,234",,"80,244",,"84,586"
Total,Total,$,"1,008,138",$,"948,367",$,"955,152"
Expenditures:,Expenditures:,,,,,,
General,General,,,,,,
Administration,Administration,$,"932,341",$,"890,331",$,"897,116"
Direct Services,Direct Services,,"35,797",,"17,371",,"17,371"
Grants,Grants,,"40,000",,"40,665",,"40,665"
Total Expenditures,Total Expenditures,$,"1,008,138",$,"948,367",$,"955,152"
PERSONNEL,PERSONNEL,,,,,,
,Full-time Personnel,,12,,11,,11
,Part-time Personnel,,3,,3,,3
PERFORMANCE MEASURES,PERFORMANCE MEASURES,,,,,,
,,FY 11,FY 12,FY 12,FY 13,,FY 14
,,Actual,Projected,Projected,Adopted,,Plan
,# Probation placements,"1,222","1,300","1,300","1,300",,"1,300"
,,Page F-5,,,,,
