Name: “Table 1 of 1 on page 119 of 165”,Name: “Table 1 of 1 on page 119 of 165”,Name: “Table 1 of 1 on page 119 of 165”,Name: “Table 1 of 1 on page 119 of 165”,Name: “Table 1 of 1 on page 119 of 165”,Name: “Table 1 of 1 on page 119 of 165”,Name: “Table 1 of 1 on page 119 of 165”,Name: “Table 1 of 1 on page 119 of 165”,Name: “Table 1 of 1 on page 119 of 165”,Name: “Table 1 of 1 on page 119 of 165”,Name: “Table 1 of 1 on page 119 of 165”,Name: “Table 1 of 1 on page 119 of 165”,Name: “Table 1 of 1 on page 119 of 165”,Name: “Table 1 of 1 on page 119 of 165”,Name: “Table 1 of 1 on page 119 of 165”
Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119
,,,,,,,,,,,,,,
James City Service Authority,James City Service Authority,James City Service Authority,James City Service Authority,James City Service Authority,,,,,,,Water Fund,Water Fund,Water Fund,Water Fund
PURPOSE,PURPOSE,,,,,,,,,,,,,
This,Water,Fund,Operating,Budget,contains,contains,revenues,and,expenses,for,operation,of,the,JCSA
groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to,groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to,groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to,groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to,groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to,groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to,groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to,groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to,groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to,groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to,groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to,groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to,groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to,groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to,groundwater supply and distribution system. Indirect operating and maintenance costs are reimbursed to
the,Administrative,Administrative,Fund.,Revenue,is,provided,from,service,"charges,",interest,"income,","income,",and,other
"miscellaneous items such as inspection fees, plan review charges and rental income.","miscellaneous items such as inspection fees, plan review charges and rental income.","miscellaneous items such as inspection fees, plan review charges and rental income.","miscellaneous items such as inspection fees, plan review charges and rental income.","miscellaneous items such as inspection fees, plan review charges and rental income.","miscellaneous items such as inspection fees, plan review charges and rental income.","miscellaneous items such as inspection fees, plan review charges and rental income.","miscellaneous items such as inspection fees, plan review charges and rental income.","miscellaneous items such as inspection fees, plan review charges and rental income.","miscellaneous items such as inspection fees, plan review charges and rental income.","miscellaneous items such as inspection fees, plan review charges and rental income.",,,,
KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,,,,,,,,,,,
1.,Provide and maintain safe drinking water for residential and commercial customers within Primary,Provide and maintain safe drinking water for residential and commercial customers within Primary,Provide and maintain safe drinking water for residential and commercial customers within Primary,Provide and maintain safe drinking water for residential and commercial customers within Primary,Provide and maintain safe drinking water for residential and commercial customers within Primary,Provide and maintain safe drinking water for residential and commercial customers within Primary,Provide and maintain safe drinking water for residential and commercial customers within Primary,Provide and maintain safe drinking water for residential and commercial customers within Primary,Provide and maintain safe drinking water for residential and commercial customers within Primary,Provide and maintain safe drinking water for residential and commercial customers within Primary,Provide and maintain safe drinking water for residential and commercial customers within Primary,Provide and maintain safe drinking water for residential and commercial customers within Primary,Provide and maintain safe drinking water for residential and commercial customers within Primary,Provide and maintain safe drinking water for residential and commercial customers within Primary
,"Service Area and seven independent water systems, in accordance with Commonwealth of Virginia,","Service Area and seven independent water systems, in accordance with Commonwealth of Virginia,","Service Area and seven independent water systems, in accordance with Commonwealth of Virginia,","Service Area and seven independent water systems, in accordance with Commonwealth of Virginia,","Service Area and seven independent water systems, in accordance with Commonwealth of Virginia,","Service Area and seven independent water systems, in accordance with Commonwealth of Virginia,","Service Area and seven independent water systems, in accordance with Commonwealth of Virginia,","Service Area and seven independent water systems, in accordance with Commonwealth of Virginia,","Service Area and seven independent water systems, in accordance with Commonwealth of Virginia,","Service Area and seven independent water systems, in accordance with Commonwealth of Virginia,","Service Area and seven independent water systems, in accordance with Commonwealth of Virginia,","Service Area and seven independent water systems, in accordance with Commonwealth of Virginia,","Service Area and seven independent water systems, in accordance with Commonwealth of Virginia,","Service Area and seven independent water systems, in accordance with Commonwealth of Virginia,"
,"Department of Health, permits, standards and regulations","Department of Health, permits, standards and regulations","Department of Health, permits, standards and regulations","Department of Health, permits, standards and regulations","Department of Health, permits, standards and regulations","Department of Health, permits, standards and regulations","Department of Health, permits, standards and regulations","Department of Health, permits, standards and regulations",,,,,,
2.,Operate and maintain 14 water production facilities and a 5-million-gallon per day brackish,Operate and maintain 14 water production facilities and a 5-million-gallon per day brackish,Operate and maintain 14 water production facilities and a 5-million-gallon per day brackish,Operate and maintain 14 water production facilities and a 5-million-gallon per day brackish,Operate and maintain 14 water production facilities and a 5-million-gallon per day brackish,Operate and maintain 14 water production facilities and a 5-million-gallon per day brackish,Operate and maintain 14 water production facilities and a 5-million-gallon per day brackish,Operate and maintain 14 water production facilities and a 5-million-gallon per day brackish,Operate and maintain 14 water production facilities and a 5-million-gallon per day brackish,Operate and maintain 14 water production facilities and a 5-million-gallon per day brackish,Operate and maintain 14 water production facilities and a 5-million-gallon per day brackish,Operate and maintain 14 water production facilities and a 5-million-gallon per day brackish,Operate and maintain 14 water production facilities and a 5-million-gallon per day brackish,
,groundwater reverse osmosis water treatment facility,groundwater reverse osmosis water treatment facility,groundwater reverse osmosis water treatment facility,groundwater reverse osmosis water treatment facility,groundwater reverse osmosis water treatment facility,groundwater reverse osmosis water treatment facility,groundwater reverse osmosis water treatment facility,,,,,,,
3.,Educate citizens about water conservation,Educate citizens about water conservation,Educate citizens about water conservation,Educate citizens about water conservation,Educate citizens about water conservation,Educate citizens about water conservation,,,,,,,,
4.,Maintain backflow and cross-connection program that meets Virginia Department of Health,Maintain backflow and cross-connection program that meets Virginia Department of Health,Maintain backflow and cross-connection program that meets Virginia Department of Health,Maintain backflow and cross-connection program that meets Virginia Department of Health,Maintain backflow and cross-connection program that meets Virginia Department of Health,Maintain backflow and cross-connection program that meets Virginia Department of Health,Maintain backflow and cross-connection program that meets Virginia Department of Health,Maintain backflow and cross-connection program that meets Virginia Department of Health,Maintain backflow and cross-connection program that meets Virginia Department of Health,Maintain backflow and cross-connection program that meets Virginia Department of Health,Maintain backflow and cross-connection program that meets Virginia Department of Health,Maintain backflow and cross-connection program that meets Virginia Department of Health,Maintain backflow and cross-connection program that meets Virginia Department of Health,
,Standards and Regulations to prevent contamination of the water system,Standards and Regulations to prevent contamination of the water system,Standards and Regulations to prevent contamination of the water system,Standards and Regulations to prevent contamination of the water system,Standards and Regulations to prevent contamination of the water system,Standards and Regulations to prevent contamination of the water system,Standards and Regulations to prevent contamination of the water system,Standards and Regulations to prevent contamination of the water system,Standards and Regulations to prevent contamination of the water system,Standards and Regulations to prevent contamination of the water system,,,,
5.,Respond to and repair interruptions to the water production and distribution system 24-hours a day,Respond to and repair interruptions to the water production and distribution system 24-hours a day,Respond to and repair interruptions to the water production and distribution system 24-hours a day,Respond to and repair interruptions to the water production and distribution system 24-hours a day,Respond to and repair interruptions to the water production and distribution system 24-hours a day,Respond to and repair interruptions to the water production and distribution system 24-hours a day,Respond to and repair interruptions to the water production and distribution system 24-hours a day,Respond to and repair interruptions to the water production and distribution system 24-hours a day,Respond to and repair interruptions to the water production and distribution system 24-hours a day,Respond to and repair interruptions to the water production and distribution system 24-hours a day,Respond to and repair interruptions to the water production and distribution system 24-hours a day,Respond to and repair interruptions to the water production and distribution system 24-hours a day,Respond to and repair interruptions to the water production and distribution system 24-hours a day,Respond to and repair interruptions to the water production and distribution system 24-hours a day
,and 7-days a week,and 7-days a week,and 7-days a week,,,,,,,,,,,
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,,,
,,,,,FY 12,,,FY 13,FY 13,,FY 14,FY 14,,
,,,,,Adopted,Adopted,,Adopted,Adopted,,Plan,,,
Revenues:,Revenues:,,,,,,,,,,,,,
Service Charges,Service Charges,Service Charges,,$,"5,936,373","5,936,373",$,"6,663,306","6,663,306",$,"6,714,044","6,714,044",,
Interest,Interest,,,,"398,000","398,000",,"132,685","132,685",,"132,685","132,685",,
Miscellaneous,Miscellaneous,Miscellaneous,,,"388,983","388,983",,"396,621","396,621",,"397,621","397,621",,
Total,,,,$,"6,723,356","6,723,356",$,"7,192,612","7,192,612",$,"7,244,350","7,244,350",,
Expenses:,Expenses:,,,,,,,,,,,,,
Admin Fund Allocation,Admin Fund Allocation,Admin Fund Allocation,Admin Fund Allocation,$,"2,561,866","2,561,866",$,"2,666,997","2,666,997",$,"2,683,176","2,683,176",,
Direct Expenses,Direct Expenses,Direct Expenses,,,"2,749,046","2,749,046",,"3,091,171","3,091,171",,"2,939,130","2,939,130",,
Capital Equipment Outlay,Capital Equipment Outlay,Capital Equipment Outlay,Capital Equipment Outlay,,,"23,000",,"49,500","49,500",,"33,500","33,500",,
Debt Service Fund,Debt Service Fund,Debt Service Fund,,,"1,383,444","1,383,444",,"1,380,944","1,380,944",,"1,384,544","1,384,544",,
PDA Operating Costs,PDA Operating Costs,PDA Operating Costs,PDA Operating Costs,,,"6,000",,,"4,000",,"4,000","4,000",,
CIP Transfer-Kingswood,CIP Transfer-Kingswood,CIP Transfer-Kingswood,CIP Transfer-Kingswood,,,-,,,-,,"200,000","200,000",,
Total,,,,$,"6,723,356","6,723,356",$,"7,192,612","7,192,612",$,"7,244,350","7,244,350",,
PERSONNEL,PERSONNEL,PERSONNEL,,,,,,,,,,,,
,Full-Time Personnel,Full-Time Personnel,Full-Time Personnel,,,15,,,15,,15,15,,
,,,,,,Page E-3,Page E-3,,,,,,,
