Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”,Name: “Table 1 of 1 on page 7 of 18”
Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7
,,,,,,,,,,,,,
•,"Instituted on-line forums to gather input on the FY 2012 Budget, the future of transportation in Norfolk and the","Instituted on-line forums to gather input on the FY 2012 Budget, the future of transportation in Norfolk and the","Instituted on-line forums to gather input on the FY 2012 Budget, the future of transportation in Norfolk and the","Instituted on-line forums to gather input on the FY 2012 Budget, the future of transportation in Norfolk and the","Instituted on-line forums to gather input on the FY 2012 Budget, the future of transportation in Norfolk and the","Instituted on-line forums to gather input on the FY 2012 Budget, the future of transportation in Norfolk and the","Instituted on-line forums to gather input on the FY 2012 Budget, the future of transportation in Norfolk and the","Instituted on-line forums to gather input on the FY 2012 Budget, the future of transportation in Norfolk and the","Instituted on-line forums to gather input on the FY 2012 Budget, the future of transportation in Norfolk and the","Instituted on-line forums to gather input on the FY 2012 Budget, the future of transportation in Norfolk and the","Instituted on-line forums to gather input on the FY 2012 Budget, the future of transportation in Norfolk and the","Instituted on-line forums to gather input on the FY 2012 Budget, the future of transportation in Norfolk and the","Instituted on-line forums to gather input on the FY 2012 Budget, the future of transportation in Norfolk and the"
,"opening of the Tide, PlaNorfolk, and the FY 2013 Budget.","opening of the Tide, PlaNorfolk, and the FY 2013 Budget.","opening of the Tide, PlaNorfolk, and the FY 2013 Budget.","opening of the Tide, PlaNorfolk, and the FY 2013 Budget.","opening of the Tide, PlaNorfolk, and the FY 2013 Budget.","opening of the Tide, PlaNorfolk, and the FY 2013 Budget.",,,,,,,
•,Organized seven Community Conversations as a vehicle for citizen engagement and involvement.,Organized seven Community Conversations as a vehicle for citizen engagement and involvement.,Organized seven Community Conversations as a vehicle for citizen engagement and involvement.,Organized seven Community Conversations as a vehicle for citizen engagement and involvement.,Organized seven Community Conversations as a vehicle for citizen engagement and involvement.,Organized seven Community Conversations as a vehicle for citizen engagement and involvement.,Organized seven Community Conversations as a vehicle for citizen engagement and involvement.,Organized seven Community Conversations as a vehicle for citizen engagement and involvement.,Organized seven Community Conversations as a vehicle for citizen engagement and involvement.,Organized seven Community Conversations as a vehicle for citizen engagement and involvement.,Organized seven Community Conversations as a vehicle for citizen engagement and involvement.,Organized seven Community Conversations as a vehicle for citizen engagement and involvement.,
•,Began processing Freedom of Information Act requests for the city; process an average of 70 requests per,Began processing Freedom of Information Act requests for the city; process an average of 70 requests per,Began processing Freedom of Information Act requests for the city; process an average of 70 requests per,Began processing Freedom of Information Act requests for the city; process an average of 70 requests per,Began processing Freedom of Information Act requests for the city; process an average of 70 requests per,Began processing Freedom of Information Act requests for the city; process an average of 70 requests per,Began processing Freedom of Information Act requests for the city; process an average of 70 requests per,Began processing Freedom of Information Act requests for the city; process an average of 70 requests per,Began processing Freedom of Information Act requests for the city; process an average of 70 requests per,Began processing Freedom of Information Act requests for the city; process an average of 70 requests per,Began processing Freedom of Information Act requests for the city; process an average of 70 requests per,Began processing Freedom of Information Act requests for the city; process an average of 70 requests per,Began processing Freedom of Information Act requests for the city; process an average of 70 requests per
,month.,,,,,,,,,,,,
•,Began broadcasting City Council regular and work sessions live on TV48 as well as norfolk.gov.,Began broadcasting City Council regular and work sessions live on TV48 as well as norfolk.gov.,Began broadcasting City Council regular and work sessions live on TV48 as well as norfolk.gov.,Began broadcasting City Council regular and work sessions live on TV48 as well as norfolk.gov.,Began broadcasting City Council regular and work sessions live on TV48 as well as norfolk.gov.,Began broadcasting City Council regular and work sessions live on TV48 as well as norfolk.gov.,Began broadcasting City Council regular and work sessions live on TV48 as well as norfolk.gov.,Began broadcasting City Council regular and work sessions live on TV48 as well as norfolk.gov.,Began broadcasting City Council regular and work sessions live on TV48 as well as norfolk.gov.,Began broadcasting City Council regular and work sessions live on TV48 as well as norfolk.gov.,Began broadcasting City Council regular and work sessions live on TV48 as well as norfolk.gov.,,
"CULTURAL FACILITIES, ARTS AND ENTERTAINMENT","CULTURAL FACILITIES, ARTS AND ENTERTAINMENT","CULTURAL FACILITIES, ARTS AND ENTERTAINMENT","CULTURAL FACILITIES, ARTS AND ENTERTAINMENT","CULTURAL FACILITIES, ARTS AND ENTERTAINMENT","CULTURAL FACILITIES, ARTS AND ENTERTAINMENT","CULTURAL FACILITIES, ARTS AND ENTERTAINMENT","CULTURAL FACILITIES, ARTS AND ENTERTAINMENT","CULTURAL FACILITIES, ARTS AND ENTERTAINMENT","CULTURAL FACILITIES, ARTS AND ENTERTAINMENT","CULTURAL FACILITIES, ARTS AND ENTERTAINMENT",,,
•,Handled the sales and fulfillment of all Broadway subscribers in the department’s box office since taking over,Handled the sales and fulfillment of all Broadway subscribers in the department’s box office since taking over,Handled the sales and fulfillment of all Broadway subscribers in the department’s box office since taking over,Handled the sales and fulfillment of all Broadway subscribers in the department’s box office since taking over,Handled the sales and fulfillment of all Broadway subscribers in the department’s box office since taking over,Handled the sales and fulfillment of all Broadway subscribers in the department’s box office since taking over,Handled the sales and fulfillment of all Broadway subscribers in the department’s box office since taking over,Handled the sales and fulfillment of all Broadway subscribers in the department’s box office since taking over,Handled the sales and fulfillment of all Broadway subscribers in the department’s box office since taking over,Handled the sales and fulfillment of all Broadway subscribers in the department’s box office since taking over,Handled the sales and fulfillment of all Broadway subscribers in the department’s box office since taking over,Handled the sales and fulfillment of all Broadway subscribers in the department’s box office since taking over,Handled the sales and fulfillment of all Broadway subscribers in the department’s box office since taking over
