Name: “Table 1 of 1 on page 8 of 17”,Name: “Table 1 of 1 on page 8 of 17”,Name: “Table 1 of 1 on page 8 of 17”,Name: “Table 1 of 1 on page 8 of 17”,Name: “Table 1 of 1 on page 8 of 17”,Name: “Table 1 of 1 on page 8 of 17”,Name: “Table 1 of 1 on page 8 of 17”,Name: “Table 1 of 1 on page 8 of 17”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,
"Fund Balances: In the context of the city’s budget discussions, fund balance generally refers to the undesignated","Fund Balances: In the context of the city’s budget discussions, fund balance generally refers to the undesignated","Fund Balances: In the context of the city’s budget discussions, fund balance generally refers to the undesignated","Fund Balances: In the context of the city’s budget discussions, fund balance generally refers to the undesignated","Fund Balances: In the context of the city’s budget discussions, fund balance generally refers to the undesignated","Fund Balances: In the context of the city’s budget discussions, fund balance generally refers to the undesignated","Fund Balances: In the context of the city’s budget discussions, fund balance generally refers to the undesignated","Fund Balances: In the context of the city’s budget discussions, fund balance generally refers to the undesignated"
General Fund Balance.,General Fund Balance.,This is the accumulated total of all prior years’ actual General Fund revenues in excess of,This is the accumulated total of all prior years’ actual General Fund revenues in excess of,This is the accumulated total of all prior years’ actual General Fund revenues in excess of,This is the accumulated total of all prior years’ actual General Fund revenues in excess of,This is the accumulated total of all prior years’ actual General Fund revenues in excess of,This is the accumulated total of all prior years’ actual General Fund revenues in excess of
"expenditures, or “surplus,” that has not been appropriated by City Council and that has not been designated or","expenditures, or “surplus,” that has not been appropriated by City Council and that has not been designated or","expenditures, or “surplus,” that has not been appropriated by City Council and that has not been designated or","expenditures, or “surplus,” that has not been appropriated by City Council and that has not been designated or","expenditures, or “surplus,” that has not been appropriated by City Council and that has not been designated or","expenditures, or “surplus,” that has not been appropriated by City Council and that has not been designated or","expenditures, or “surplus,” that has not been appropriated by City Council and that has not been designated or","expenditures, or “surplus,” that has not been appropriated by City Council and that has not been designated or"
reserved for other uses.,reserved for other uses.,Maintaining a prudent level of undesignated General Fund balance is critical to ensuring,Maintaining a prudent level of undesignated General Fund balance is critical to ensuring,Maintaining a prudent level of undesignated General Fund balance is critical to ensuring,Maintaining a prudent level of undesignated General Fund balance is critical to ensuring,Maintaining a prudent level of undesignated General Fund balance is critical to ensuring,Maintaining a prudent level of undesignated General Fund balance is critical to ensuring
that the city is able to cope with financial emergencies and fluctuations in revenue cycles.,that the city is able to cope with financial emergencies and fluctuations in revenue cycles.,that the city is able to cope with financial emergencies and fluctuations in revenue cycles.,that the city is able to cope with financial emergencies and fluctuations in revenue cycles.,that the city is able to cope with financial emergencies and fluctuations in revenue cycles.,General Fund balance,General Fund balance,General Fund balance
also provides working capital during temporary periods when expenditures exceed revenues.,also provides working capital during temporary periods when expenditures exceed revenues.,also provides working capital during temporary periods when expenditures exceed revenues.,also provides working capital during temporary periods when expenditures exceed revenues.,also provides working capital during temporary periods when expenditures exceed revenues.,also provides working capital during temporary periods when expenditures exceed revenues.,The undesignated,The undesignated
General Fund balance is analogous to the retained earnings of proprietary funds.,General Fund balance is analogous to the retained earnings of proprietary funds.,General Fund balance is analogous to the retained earnings of proprietary funds.,General Fund balance is analogous to the retained earnings of proprietary funds.,General Fund balance is analogous to the retained earnings of proprietary funds.,,,
GASB 34 (Governmental Accounting Standards Board):,GASB 34 (Governmental Accounting Standards Board):,A,statement,that,established,the,financial report
standards for state and local governments.,standards for state and local governments.,The financial statements should consist of Management’s discussion,The financial statements should consist of Management’s discussion,The financial statements should consist of Management’s discussion,The financial statements should consist of Management’s discussion,The financial statements should consist of Management’s discussion,The financial statements should consist of Management’s discussion
"and analysis, basic financial statements, notes to the financial statements and supplementary information.","and analysis, basic financial statements, notes to the financial statements and supplementary information.","and analysis, basic financial statements, notes to the financial statements and supplementary information.","and analysis, basic financial statements, notes to the financial statements and supplementary information.","and analysis, basic financial statements, notes to the financial statements and supplementary information.","and analysis, basic financial statements, notes to the financial statements and supplementary information.","and analysis, basic financial statements, notes to the financial statements and supplementary information.","and analysis, basic financial statements, notes to the financial statements and supplementary information."
GASB 54 (Governmental Accounting Standards Board): A statement that established changes to the fund,GASB 54 (Governmental Accounting Standards Board): A statement that established changes to the fund,GASB 54 (Governmental Accounting Standards Board): A statement that established changes to the fund,GASB 54 (Governmental Accounting Standards Board): A statement that established changes to the fund,GASB 54 (Governmental Accounting Standards Board): A statement that established changes to the fund,GASB 54 (Governmental Accounting Standards Board): A statement that established changes to the fund,GASB 54 (Governmental Accounting Standards Board): A statement that established changes to the fund,GASB 54 (Governmental Accounting Standards Board): A statement that established changes to the fund
balance classifications and governmental fund type definitions.,balance classifications and governmental fund type definitions.,balance classifications and governmental fund type definitions.,,,,,
