Name: “Table 1 of 1 on page 10 of 30”,Name: “Table 1 of 1 on page 10 of 30”,Name: “Table 1 of 1 on page 10 of 30”,Name: “Table 1 of 1 on page 10 of 30”,Name: “Table 1 of 1 on page 10 of 30”,Name: “Table 1 of 1 on page 10 of 30”,Name: “Table 1 of 1 on page 10 of 30”,Name: “Table 1 of 1 on page 10 of 30”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,
Department Goals and Measures,Department Goals and Measures,Department Goals and Measures,Department Goals and Measures,,,,
,,Strategic Priority: Community Building,Strategic Priority: Community Building,Strategic Priority: Community Building,Strategic Priority: Community Building,,
Goal,,,,,,,
Minimize property damage and inconvenience resulting from flooding,Minimize property damage and inconvenience resulting from flooding,Minimize property damage and inconvenience resulting from flooding,Minimize property damage and inconvenience resulting from flooding,Minimize property damage and inconvenience resulting from flooding,,,
,,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,,,,,,,Change
,,,Actual,Actual,Approved,Approved,
Number of drain structures cleaned.,Number of drain structures cleaned.,,"4,674","4,105","6,900","6,900",0
Linear feet of ditches cleaned.,Linear feet of ditches cleaned.,,"123,129","107,554","103,000","135,000","32,000"
Goal,,,,,,,
To improve the water quality of storm water run off,To improve the water quality of storm water run off,To improve the water quality of storm water run off,To improve the water quality of storm water run off,,,,
,,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,,,,,,,Change
,,,Actual,Actual,Approved,Approved,
Curb miles swept.,,,"56,000","63,240","75,000","75,000",0
Environmental complaint responses.,Environmental complaint responses.,,87,85,100,100,0
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Accountant I,,OPS010,"32,456","51,882",1,0,1
Accounting Technician,Accounting Technician,OPS007,"25,622","40,963",2,0,2
Automotive Service,Automotive Service,,,,,,
,,OPS006,"23,724","37,926",1,0,1
Attendant,,,,,,,
Civil Engineer II,,MAP010,"49,317","78,839",2,0,2
Civil Engineer III,,MAP011,"52,582","84,061",2,0,2
Collection Coordinator,Collection Coordinator,MAP005,"36,200","57,872",1,0,1
Construction Inspector II,Construction Inspector II,OPS011,"35,182","56,247",1,0,1
Crew Leader I,,OPS008,"27,697","44,276",8,0,8
Crew Leader II,,OPS009,"29,968","47,912",1,0,1
Education Manager,Education Manager,MAP009,"46,289","74,003",0,1,1
Engineering Technician II,Engineering Technician II,OPS010,"32,456","51,882",2,0,2
Environmental Engineer,Environmental Engineer,MAP009,"46,289","74,003",1,0,1
Environmental Specialist I,Environmental Specialist I,OPS010,"32,456","51,882",1,0,1
Equipment Operator II,Equipment Operator II,OPS006,"23,724","37,926",10,0,10
Equipment Operator III,Equipment Operator III,OPS008,"27,697","44,276",14,0,14
Equipment Operator IV,Equipment Operator IV,OPS009,"29,968","47,912",1,0,1
Geographic Information,Geographic Information,,,,,,
,,OPS010,"32,456","51,882",1,0,1
Systems Technician,Systems Technician,,,,,,
Landscape Coordinator I,Landscape Coordinator I,OPS011,"35,182","56,247",1,0,1
Maintenance Worker I,Maintenance Worker I,OPS003,"18,939","30,279",15,0,15
Maintenance Worker II,Maintenance Worker II,OPS004,"20,397","32,611",2,0,2
Management Analyst II,Management Analyst II,MAP008,"43,481","69,509",1,0,1
296,Storm Water Management,,,,,,
