Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,,,,
Department Goals and Measures,Department Goals and Measures,Department Goals and Measures,Department Goals and Measures,,,,
,,Strategic Priority: Public Safety,Strategic Priority: Public Safety,Strategic Priority: Public Safety,Strategic Priority: Public Safety,,
Goal,Goal,,,,,,
"To generate revenues to meet operating expenses through service to funerals, sale of graves, installation of","To generate revenues to meet operating expenses through service to funerals, sale of graves, installation of","To generate revenues to meet operating expenses through service to funerals, sale of graves, installation of","To generate revenues to meet operating expenses through service to funerals, sale of graves, installation of","To generate revenues to meet operating expenses through service to funerals, sale of graves, installation of","To generate revenues to meet operating expenses through service to funerals, sale of graves, installation of","To generate revenues to meet operating expenses through service to funerals, sale of graves, installation of","To generate revenues to meet operating expenses through service to funerals, sale of graves, installation of"
foundations for memorials and collection of interest from the Endowed Care Fund.,foundations for memorials and collection of interest from the Endowed Care Fund.,foundations for memorials and collection of interest from the Endowed Care Fund.,foundations for memorials and collection of interest from the Endowed Care Fund.,foundations for memorials and collection of interest from the Endowed Care Fund.,foundations for memorials and collection of interest from the Endowed Care Fund.,,
,,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,Measure,,,,,,Change
,,,Actual,Actual,Approved,Approved,
Funeral services.,Funeral services.,,987,987,918,918,0
Goal,Goal,,,,,,
To meet the needs of area citizens by offering a variety of graves and grave prices at various cemeteries.,To meet the needs of area citizens by offering a variety of graves and grave prices at various cemeteries.,To meet the needs of area citizens by offering a variety of graves and grave prices at various cemeteries.,To meet the needs of area citizens by offering a variety of graves and grave prices at various cemeteries.,To meet the needs of area citizens by offering a variety of graves and grave prices at various cemeteries.,To meet the needs of area citizens by offering a variety of graves and grave prices at various cemeteries.,To meet the needs of area citizens by offering a variety of graves and grave prices at various cemeteries.,
,,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,Measure,,,,,,Change
,,,Actual,Actual,Approved,Approved,
Grave sales.,Grave sales.,,523,523,445,487,42
Goal,Goal,,,,,,
To provide timely installation of foundations for memorials.,To provide timely installation of foundations for memorials.,To provide timely installation of foundations for memorials.,To provide timely installation of foundations for memorials.,,,,
,,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,Measure,,,,,,Change
,,,Actual,Actual,Approved,Approved,
Foundation installation.,Foundation installation.,,610,600,600,586,-14
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Accounting Technician,Accounting Technician,OPS007,"25,622","40,963",1,0,1
Bureau Manager,Bureau Manager,SRM004,"57,362","100,958",1,0,1
Cemetery Manager I,Cemetery Manager I,OPS007,"25,622","40,963",3,-1,2
Cemetery Manager II,Cemetery Manager II,OPS010,"32,456","51,882",3,0,3
Division Head,Division Head,SRM002,"51,027","89,809",2,0,2
Equipment Operator II,Equipment Operator II,OPS006,"23,724","37,926",6,0,6
Equipment Operator III,Equipment Operator III,OPS008,"27,697","44,276",4,0,4
Genealogy Information,Genealogy Information,,,,,,
,,MAP004,"34,106","54,524",1,0,1
Specialist,Specialist,,,,,,
Groundskeeper,Groundskeeper,OPS004,"20,397","32,611",11,-2,9
Groundskeeper Crew Leader,Groundskeeper Crew Leader,OPS008,"27,697","44,276",3,0,3
Maintenance Supervisor II,Maintenance Supervisor II,MAP007,"40,874","65,345",1,0,1
Support Technician,Support Technician,OPS006,"23,724","37,926",2,0,2
Total,Total,,,,38,,35
306,Cemeteries,,,,,,
