Name: “Table 1 of 1 on page 18 of 32”,Name: “Table 1 of 1 on page 18 of 32”,Name: “Table 1 of 1 on page 18 of 32”,Name: “Table 1 of 1 on page 18 of 32”,Name: “Table 1 of 1 on page 18 of 32”,Name: “Table 1 of 1 on page 18 of 32”,Name: “Table 1 of 1 on page 18 of 32”,Name: “Table 1 of 1 on page 18 of 32”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,
POSITION S UMMARY,POSITION S UMMARY,,,,,,
,,Pay Grade,Minimum,Maximum,FY 2013,Change,FY 2014
,,,,,Approved,,Approved
,,,,,Positions,,Positions
Accounting Technician,Accounting Technician,OPS007,"$26,658","$42,618",6,0,6
Administrative Assistant II,Administrative Assistant II,MAP003,"$33,457","$53,484",1,0,1
Equipment Operator II,Equipment Operator II,OPS006,"$24,683","$39,458",1,0,1
Towing Operations Manager,Towing Operations Manager,SRM001,"$50,180","$88,315",1,0,1
Total,Total,,,,9,0,9
382,Towing and Recovery Operations,,,,,,
