Name: “Table 1 of 1 on page 14 of 32”,Name: “Table 1 of 1 on page 14 of 32”,Name: “Table 1 of 1 on page 14 of 32”,Name: “Table 1 of 1 on page 14 of 32”,Name: “Table 1 of 1 on page 14 of 32”,Name: “Table 1 of 1 on page 14 of 32”,Name: “Table 1 of 1 on page 14 of 32”,Name: “Table 1 of 1 on page 14 of 32”
Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14
,,,,,,,
•,Purchase inventory from Storehouse,Purchase inventory from Storehouse,,FY 2014:,"$175,000",Positions:,0
,Implement a FY 2013 efficiency initiative to close Storehouse. A decentralization of the Storehouse is considered,Implement a FY 2013 efficiency initiative to close Storehouse. A decentralization of the Storehouse is considered,Implement a FY 2013 efficiency initiative to close Storehouse. A decentralization of the Storehouse is considered,Implement a FY 2013 efficiency initiative to close Storehouse. A decentralization of the Storehouse is considered,Implement a FY 2013 efficiency initiative to close Storehouse. A decentralization of the Storehouse is considered,Implement a FY 2013 efficiency initiative to close Storehouse. A decentralization of the Storehouse is considered,Implement a FY 2013 efficiency initiative to close Storehouse. A decentralization of the Storehouse is considered
,an industry-wide best practice that will improve operating efficiencies by promoting the just-in-time delivery of,an industry-wide best practice that will improve operating efficiencies by promoting the just-in-time delivery of,an industry-wide best practice that will improve operating efficiencies by promoting the just-in-time delivery of,an industry-wide best practice that will improve operating efficiencies by promoting the just-in-time delivery of,an industry-wide best practice that will improve operating efficiencies by promoting the just-in-time delivery of,an industry-wide best practice that will improve operating efficiencies by promoting the just-in-time delivery of,an industry-wide best practice that will improve operating efficiencies by promoting the just-in-time delivery of
,"material goods purchased, reduce inventories as well as provide departments greater autonomy in managing","material goods purchased, reduce inventories as well as provide departments greater autonomy in managing","material goods purchased, reduce inventories as well as provide departments greater autonomy in managing","material goods purchased, reduce inventories as well as provide departments greater autonomy in managing","material goods purchased, reduce inventories as well as provide departments greater autonomy in managing","material goods purchased, reduce inventories as well as provide departments greater autonomy in managing","material goods purchased, reduce inventories as well as provide departments greater autonomy in managing"
,"their own resources. To facilitate this best practice, current inventories will be purchased from the Storehouse by","their own resources. To facilitate this best practice, current inventories will be purchased from the Storehouse by","their own resources. To facilitate this best practice, current inventories will be purchased from the Storehouse by","their own resources. To facilitate this best practice, current inventories will be purchased from the Storehouse by","their own resources. To facilitate this best practice, current inventories will be purchased from the Storehouse by","their own resources. To facilitate this best practice, current inventories will be purchased from the Storehouse by","their own resources. To facilitate this best practice, current inventories will be purchased from the Storehouse by"
,Storm Water and Utilities.,,,,,,
,"Priority Area(s) Met: Safe, Healthy, and Inclusive Communities","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities","Priority Area(s) Met: Safe, Healthy, and Inclusive Communities",,,,
•,Transfer Storekeeper II position,Transfer Storekeeper II position,,FY 2014:,"$34,668",Positions:,1
,Implement a FY 2013 efficiency initiative to decentralize the Storehouse.,Implement a FY 2013 efficiency initiative to decentralize the Storehouse.,Implement a FY 2013 efficiency initiative to decentralize the Storehouse.,Decentralized inventory management,Decentralized inventory management,Decentralized inventory management,Decentralized inventory management
