Name: “Table 1 of 1 on page 82 of 108”,Name: “Table 1 of 1 on page 82 of 108”,Name: “Table 1 of 1 on page 82 of 108”,Name: “Table 1 of 1 on page 82 of 108”,Name: “Table 1 of 1 on page 82 of 108”,Name: “Table 1 of 1 on page 82 of 108”,Name: “Table 1 of 1 on page 82 of 108”,Name: “Table 1 of 1 on page 82 of 108”
Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,,,,
Project: 18107,Title: City/Schools Joint Financial Management System,Title: City/Schools Joint Financial Management System,Title: City/Schools Joint Financial Management System,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,,
CIE Project: N/A,Plan Reference:,,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Undefined,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"2,936,486","2,936,486",0,0,0,0,0,0
,,,Description and Scope,,,,
Funding to provide for a new City/School collaborative financial system to replace internal systems with a modern financial and human resource,Funding to provide for a new City/School collaborative financial system to replace internal systems with a modern financial and human resource,Funding to provide for a new City/School collaborative financial system to replace internal systems with a modern financial and human resource,Funding to provide for a new City/School collaborative financial system to replace internal systems with a modern financial and human resource,Funding to provide for a new City/School collaborative financial system to replace internal systems with a modern financial and human resource,Funding to provide for a new City/School collaborative financial system to replace internal systems with a modern financial and human resource,,
management system. Funding for this system is a joint effort from the Schools and City's fund balance allocations.,management system. Funding for this system is a joint effort from the Schools and City's fund balance allocations.,management system. Funding for this system is a joint effort from the Schools and City's fund balance allocations.,management system. Funding for this system is a joint effort from the Schools and City's fund balance allocations.,management system. Funding for this system is a joint effort from the Schools and City's fund balance allocations.,,,
,,,Rationale,,,,
,,,Funding Strategy,,,,
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Project Management,,,07/06 - 06/07,"2,936,486"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"2,936,486"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"2,936,486"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"2,936,486"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,82,,,Capital Improvements,Capital Improvements
