Name: “Table 1 of 1 on page 21 of 108”,Name: “Table 1 of 1 on page 21 of 108”,Name: “Table 1 of 1 on page 21 of 108”,Name: “Table 1 of 1 on page 21 of 108”,Name: “Table 1 of 1 on page 21 of 108”,Name: “Table 1 of 1 on page 21 of 108”,Name: “Table 1 of 1 on page 21 of 108”,Name: “Table 1 of 1 on page 21 of 108”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,
,,,Water,Water,,,
Project: 20007,Title: Infrastructure Improvements,Title: Infrastructure Improvements,,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference: CC Vision - Neighborhood,Plan Reference: CC Vision - Neighborhood,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Citywide(Include Prentispark Waterline Project),Location: Citywide(Include Prentispark Waterline Project),Location: Citywide(Include Prentispark Waterline Project),
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"76,377,751","44,577,751","2,500,000","4,000,000","8,000,000","8,500,000","8,800,000",0
,,,Description and Scope,Description and Scope,,,
The Department of Public Utilities has developed an aggressive program for replacing or rehabilitating the water and sewer infrastructure,The Department of Public Utilities has developed an aggressive program for replacing or rehabilitating the water and sewer infrastructure,The Department of Public Utilities has developed an aggressive program for replacing or rehabilitating the water and sewer infrastructure,The Department of Public Utilities has developed an aggressive program for replacing or rehabilitating the water and sewer infrastructure,The Department of Public Utilities has developed an aggressive program for replacing or rehabilitating the water and sewer infrastructure,The Department of Public Utilities has developed an aggressive program for replacing or rehabilitating the water and sewer infrastructure,The Department of Public Utilities has developed an aggressive program for replacing or rehabilitating the water and sewer infrastructure,
"throughout the City, one neighborhood at a time. This work is based upon the age and condition of the neighborhood's water and sewer","throughout the City, one neighborhood at a time. This work is based upon the age and condition of the neighborhood's water and sewer","throughout the City, one neighborhood at a time. This work is based upon the age and condition of the neighborhood's water and sewer","throughout the City, one neighborhood at a time. This work is based upon the age and condition of the neighborhood's water and sewer","throughout the City, one neighborhood at a time. This work is based upon the age and condition of the neighborhood's water and sewer","throughout the City, one neighborhood at a time. This work is based upon the age and condition of the neighborhood's water and sewer","throughout the City, one neighborhood at a time. This work is based upon the age and condition of the neighborhood's water and sewer",
infrastructure.,,,,,,,
,,,Rationale,Rationale,,,
•Approximately 63% of Portsmouth’s neighborhood water and sewer infrastructure is past its useful life. The age and condition of the water mains,•Approximately 63% of Portsmouth’s neighborhood water and sewer infrastructure is past its useful life. The age and condition of the water mains,•Approximately 63% of Portsmouth’s neighborhood water and sewer infrastructure is past its useful life. The age and condition of the water mains,•Approximately 63% of Portsmouth’s neighborhood water and sewer infrastructure is past its useful life. The age and condition of the water mains,•Approximately 63% of Portsmouth’s neighborhood water and sewer infrastructure is past its useful life. The age and condition of the water mains,•Approximately 63% of Portsmouth’s neighborhood water and sewer infrastructure is past its useful life. The age and condition of the water mains,•Approximately 63% of Portsmouth’s neighborhood water and sewer infrastructure is past its useful life. The age and condition of the water mains,
"pose potential water quality problems and real problems with pressure, flow and leakage. The age and condition of the sewer lines pose potential","pose potential water quality problems and real problems with pressure, flow and leakage. The age and condition of the sewer lines pose potential","pose potential water quality problems and real problems with pressure, flow and leakage. The age and condition of the sewer lines pose potential","pose potential water quality problems and real problems with pressure, flow and leakage. The age and condition of the sewer lines pose potential","pose potential water quality problems and real problems with pressure, flow and leakage. The age and condition of the sewer lines pose potential","pose potential water quality problems and real problems with pressure, flow and leakage. The age and condition of the sewer lines pose potential","pose potential water quality problems and real problems with pressure, flow and leakage. The age and condition of the sewer lines pose potential",
"leakage and cave-in problems, which can impede sewage flow and cause backups.","leakage and cave-in problems, which can impede sewage flow and cause backups.","leakage and cave-in problems, which can impede sewage flow and cause backups.","leakage and cave-in problems, which can impede sewage flow and cause backups.",,,,
