Name: “Table 1 of 1 on page 42 of 108”,Name: “Table 1 of 1 on page 42 of 108”,Name: “Table 1 of 1 on page 42 of 108”,Name: “Table 1 of 1 on page 42 of 108”,Name: “Table 1 of 1 on page 42 of 108”,Name: “Table 1 of 1 on page 42 of 108”,Name: “Table 1 of 1 on page 42 of 108”,Name: “Table 1 of 1 on page 42 of 108”
Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,Drainage and Street Improvements,Drainage and Street Improvements,Drainage and Street Improvements,,,
Project: 12007,Title: Ebony Heights Improvements,Title: Ebony Heights Improvements,,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference:,,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Undefined,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"2,901,212","2,001,212",0,0,0,0,"900,000",0
,,,Description and Scope,,,,
"This neighborhood project provides infrastructure improvements through a phased program including drainage, curbs, gutters, water and sewer","This neighborhood project provides infrastructure improvements through a phased program including drainage, curbs, gutters, water and sewer","This neighborhood project provides infrastructure improvements through a phased program including drainage, curbs, gutters, water and sewer","This neighborhood project provides infrastructure improvements through a phased program including drainage, curbs, gutters, water and sewer","This neighborhood project provides infrastructure improvements through a phased program including drainage, curbs, gutters, water and sewer","This neighborhood project provides infrastructure improvements through a phased program including drainage, curbs, gutters, water and sewer","This neighborhood project provides infrastructure improvements through a phased program including drainage, curbs, gutters, water and sewer",
improvements. The first major work on this project is the drainage outfalls for the neighborhood completed in FY11.The future work will deal with,improvements. The first major work on this project is the drainage outfalls for the neighborhood completed in FY11.The future work will deal with,improvements. The first major work on this project is the drainage outfalls for the neighborhood completed in FY11.The future work will deal with,improvements. The first major work on this project is the drainage outfalls for the neighborhood completed in FY11.The future work will deal with,improvements. The first major work on this project is the drainage outfalls for the neighborhood completed in FY11.The future work will deal with,improvements. The first major work on this project is the drainage outfalls for the neighborhood completed in FY11.The future work will deal with,improvements. The first major work on this project is the drainage outfalls for the neighborhood completed in FY11.The future work will deal with,
work within the neighborhood itself.,work within the neighborhood itself.,,,,,,
,,,Rationale,,,,
