Name: “Table 1 of 1 on page 22 of 108”,Name: “Table 1 of 1 on page 22 of 108”,Name: “Table 1 of 1 on page 22 of 108”,Name: “Table 1 of 1 on page 22 of 108”,Name: “Table 1 of 1 on page 22 of 108”,Name: “Table 1 of 1 on page 22 of 108”,Name: “Table 1 of 1 on page 22 of 108”,Name: “Table 1 of 1 on page 22 of 108”
Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,
,,,Water,,,,
Project: 20010,Title: Lake Cahoon Raw Water Pump Station and Pipeline,Title: Lake Cahoon Raw Water Pump Station and Pipeline,Title: Lake Cahoon Raw Water Pump Station and Pipeline,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference: CC Vision – Neighborhood,Plan Reference: CC Vision – Neighborhood,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Lake Cahoon Reservoir,Location: Lake Cahoon Reservoir,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"10,800,000","800,000",0,0,0,"8,000,000","2,000,000",0
,,,Description and Scope,,,,
The Department of Public Utilities operates a system of four reservoirs. The Department maintains raw water intakes on two of the four reservoirs.,The Department of Public Utilities operates a system of four reservoirs. The Department maintains raw water intakes on two of the four reservoirs.,The Department of Public Utilities operates a system of four reservoirs. The Department maintains raw water intakes on two of the four reservoirs.,The Department of Public Utilities operates a system of four reservoirs. The Department maintains raw water intakes on two of the four reservoirs.,The Department of Public Utilities operates a system of four reservoirs. The Department maintains raw water intakes on two of the four reservoirs.,The Department of Public Utilities operates a system of four reservoirs. The Department maintains raw water intakes on two of the four reservoirs.,The Department of Public Utilities operates a system of four reservoirs. The Department maintains raw water intakes on two of the four reservoirs.,
"This project would provide a raw water intake with a connection to the Lake Kilby Plant from a third reservoir, Lake Cohoon. Lake Cohoon contains","This project would provide a raw water intake with a connection to the Lake Kilby Plant from a third reservoir, Lake Cohoon. Lake Cohoon contains","This project would provide a raw water intake with a connection to the Lake Kilby Plant from a third reservoir, Lake Cohoon. Lake Cohoon contains","This project would provide a raw water intake with a connection to the Lake Kilby Plant from a third reservoir, Lake Cohoon. Lake Cohoon contains","This project would provide a raw water intake with a connection to the Lake Kilby Plant from a third reservoir, Lake Cohoon. Lake Cohoon contains","This project would provide a raw water intake with a connection to the Lake Kilby Plant from a third reservoir, Lake Cohoon. Lake Cohoon contains","This project would provide a raw water intake with a connection to the Lake Kilby Plant from a third reservoir, Lake Cohoon. Lake Cohoon contains",
53% of the combined reservoir’s supply capacity.,53% of the combined reservoir’s supply capacity.,,,,,,
,,,Rationale,,,,
