Name: “Table 1 of 1 on page 27 of 108”,Name: “Table 1 of 1 on page 27 of 108”,Name: “Table 1 of 1 on page 27 of 108”,Name: “Table 1 of 1 on page 27 of 108”,Name: “Table 1 of 1 on page 27 of 108”,Name: “Table 1 of 1 on page 27 of 108”,Name: “Table 1 of 1 on page 27 of 108”,Name: “Table 1 of 1 on page 27 of 108”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,,Water,,,
Project: 20707,Title: Miscellaneous Water Work,Title: Miscellaneous Water Work,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference: CC Vision – Neighborhood,Plan Reference: CC Vision – Neighborhood,Plan Reference: CC Vision – Neighborhood,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: Citywide,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"5,285,616","2,185,616","600,000","600,000","600,000","600,000","700,000",0
,,,Description and Scope,Description and Scope,,,
"The Department of Public Utilities is responsible for the operation & maintenance of approximately 546 miles of water mains; over 2,500 fire","The Department of Public Utilities is responsible for the operation & maintenance of approximately 546 miles of water mains; over 2,500 fire","The Department of Public Utilities is responsible for the operation & maintenance of approximately 546 miles of water mains; over 2,500 fire","The Department of Public Utilities is responsible for the operation & maintenance of approximately 546 miles of water mains; over 2,500 fire","The Department of Public Utilities is responsible for the operation & maintenance of approximately 546 miles of water mains; over 2,500 fire","The Department of Public Utilities is responsible for the operation & maintenance of approximately 546 miles of water mains; over 2,500 fire","The Department of Public Utilities is responsible for the operation & maintenance of approximately 546 miles of water mains; over 2,500 fire",
"hydrants; 12,000 valves; four elevated tanks; two water booster-pumping stations and other components compromising the water system. This","hydrants; 12,000 valves; four elevated tanks; two water booster-pumping stations and other components compromising the water system. This","hydrants; 12,000 valves; four elevated tanks; two water booster-pumping stations and other components compromising the water system. This","hydrants; 12,000 valves; four elevated tanks; two water booster-pumping stations and other components compromising the water system. This","hydrants; 12,000 valves; four elevated tanks; two water booster-pumping stations and other components compromising the water system. This","hydrants; 12,000 valves; four elevated tanks; two water booster-pumping stations and other components compromising the water system. This","hydrants; 12,000 valves; four elevated tanks; two water booster-pumping stations and other components compromising the water system. This",
project provides for routine replacement and/or rehabilitation of the water system components that are not included in the Neighborhood,project provides for routine replacement and/or rehabilitation of the water system components that are not included in the Neighborhood,project provides for routine replacement and/or rehabilitation of the water system components that are not included in the Neighborhood,project provides for routine replacement and/or rehabilitation of the water system components that are not included in the Neighborhood,project provides for routine replacement and/or rehabilitation of the water system components that are not included in the Neighborhood,project provides for routine replacement and/or rehabilitation of the water system components that are not included in the Neighborhood,project provides for routine replacement and/or rehabilitation of the water system components that are not included in the Neighborhood,
Replacement Program. The work will be performed with in-house and contractor forces.,Replacement Program. The work will be performed with in-house and contractor forces.,Replacement Program. The work will be performed with in-house and contractor forces.,Replacement Program. The work will be performed with in-house and contractor forces.,Replacement Program. The work will be performed with in-house and contractor forces.,,,
,,,,Rationale,,,
"Replacement, repair or rehabilitation is dictated by deterioration due to age and the failure of the components.","Replacement, repair or rehabilitation is dictated by deterioration due to age and the failure of the components.","Replacement, repair or rehabilitation is dictated by deterioration due to age and the failure of the components.","Replacement, repair or rehabilitation is dictated by deterioration due to age and the failure of the components.","Replacement, repair or rehabilitation is dictated by deterioration due to age and the failure of the components.",,,
,,,,Funding Strategy,,,
This is an ongoing project due to the age and the condition of the water system.,This is an ongoing project due to the age and the condition of the water system.,This is an ongoing project due to the age and the condition of the water system.,This is an ongoing project due to the age and the condition of the water system.,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
"Project will reduce the annual maintenance budget (leak repairs, component failures) and will improve water quality.","Project will reduce the annual maintenance budget (leak repairs, component failures) and will improve water quality.","Project will reduce the annual maintenance budget (leak repairs, component failures) and will improve water quality.","Project will reduce the annual maintenance budget (leak repairs, component failures) and will improve water quality.","Project will reduce the annual maintenance budget (leak repairs, component failures) and will improve water quality.","Project will reduce the annual maintenance budget (leak repairs, component failures) and will improve water quality.",,
,Project Map,Project Map,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,,Project Management,,07/04 - 06/15,"1,413,616"
,,,,Construction,,07/06 - 06/15,"3,872,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"5,285,616"
,,,,,Means of Financing,Means of Financing,
,,,,,Funding Source,,Amount
,,,,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,,"5,165,616"
,,,,Sale of Timber,,,"120,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"5,285,616"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,,27,,Capital Improvements,Capital Improvements
