Name: “Table 1 of 1 on page 104 of 108”,Name: “Table 1 of 1 on page 104 of 108”,Name: “Table 1 of 1 on page 104 of 108”,Name: “Table 1 of 1 on page 104 of 108”,Name: “Table 1 of 1 on page 104 of 108”,Name: “Table 1 of 1 on page 104 of 108”,Name: “Table 1 of 1 on page 104 of 108”,Name: “Table 1 of 1 on page 104 of 108”
Table: 104,Table: 104,Table: 104,Table: 104,Table: 104,Table: 104,Table: 104,Table: 104
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Parking Authority CIP,Parking Authority CIP,,,
Project: 17107,Title: Parking Garage Repairs,Title: Parking Garage Repairs,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,Project Location,
CIE Project:,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency:,"Project Need: Growth, Other","Project Need: Growth, Other",,Location: Undefined,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"2,780,244","1,604,979","216,320","224,973","233,972","250,000","250,000",0
,,,Description and Scope,Description and Scope,,,
Ongoing capital funds are needed to make rehabilitation repairs to the nine City parking garages. Funding over the next five years will be used to,Ongoing capital funds are needed to make rehabilitation repairs to the nine City parking garages. Funding over the next five years will be used to,Ongoing capital funds are needed to make rehabilitation repairs to the nine City parking garages. Funding over the next five years will be used to,Ongoing capital funds are needed to make rehabilitation repairs to the nine City parking garages. Funding over the next five years will be used to,Ongoing capital funds are needed to make rehabilitation repairs to the nine City parking garages. Funding over the next five years will be used to,Ongoing capital funds are needed to make rehabilitation repairs to the nine City parking garages. Funding over the next five years will be used to,Ongoing capital funds are needed to make rehabilitation repairs to the nine City parking garages. Funding over the next five years will be used to,
address structural concerns in the Central Garage and painting in the Water Street Garage.,address structural concerns in the Central Garage and painting in the Water Street Garage.,address structural concerns in the Central Garage and painting in the Water Street Garage.,address structural concerns in the Central Garage and painting in the Water Street Garage.,address structural concerns in the Central Garage and painting in the Water Street Garage.,,,
,,,Rationale,Rationale,,,
"The parking garages are major structures that often require one-time, major repairs/upgrades that are beyond the scope of the annual operating","The parking garages are major structures that often require one-time, major repairs/upgrades that are beyond the scope of the annual operating","The parking garages are major structures that often require one-time, major repairs/upgrades that are beyond the scope of the annual operating","The parking garages are major structures that often require one-time, major repairs/upgrades that are beyond the scope of the annual operating","The parking garages are major structures that often require one-time, major repairs/upgrades that are beyond the scope of the annual operating","The parking garages are major structures that often require one-time, major repairs/upgrades that are beyond the scope of the annual operating","The parking garages are major structures that often require one-time, major repairs/upgrades that are beyond the scope of the annual operating",
"budget funds. As such, an ongoing CIP account has been created to fund these major repairs.","budget funds. As such, an ongoing CIP account has been created to fund these major repairs.","budget funds. As such, an ongoing CIP account has been created to fund these major repairs.","budget funds. As such, an ongoing CIP account has been created to fund these major repairs.","budget funds. As such, an ongoing CIP account has been created to fund these major repairs.",,,
,,,Funding Strategy,Funding Strategy,,,
