Name: “Table 1 of 1 on page 30 of 108”,Name: “Table 1 of 1 on page 30 of 108”,Name: “Table 1 of 1 on page 30 of 108”,Name: “Table 1 of 1 on page 30 of 108”,Name: “Table 1 of 1 on page 30 of 108”,Name: “Table 1 of 1 on page 30 of 108”,Name: “Table 1 of 1 on page 30 of 108”,Name: “Table 1 of 1 on page 30 of 108”
Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Water,,,,
Project: 21607,Title: Water Main Replacement,Title: Water Main Replacement,,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,,
CIE Project: N/A,Plan Reference: CC Vision – Neighborhood,Plan Reference: CC Vision – Neighborhood,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Citywide,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"1,646,320","1,646,320",0,0,0,0,0,0
,,,Description and Scope,,,,
The Department of Public Utilities is responsible for the operation & maintenance of approximately 546 miles of water mains; approximately 50 miles,The Department of Public Utilities is responsible for the operation & maintenance of approximately 546 miles of water mains; approximately 50 miles,The Department of Public Utilities is responsible for the operation & maintenance of approximately 546 miles of water mains; approximately 50 miles,The Department of Public Utilities is responsible for the operation & maintenance of approximately 546 miles of water mains; approximately 50 miles,The Department of Public Utilities is responsible for the operation & maintenance of approximately 546 miles of water mains; approximately 50 miles,The Department of Public Utilities is responsible for the operation & maintenance of approximately 546 miles of water mains; approximately 50 miles,The Department of Public Utilities is responsible for the operation & maintenance of approximately 546 miles of water mains; approximately 50 miles,
of which are constructed from 2” diameter galvanized pipe which is beyond its useful life and is deteriorated. This project provides for replacement,of which are constructed from 2” diameter galvanized pipe which is beyond its useful life and is deteriorated. This project provides for replacement,of which are constructed from 2” diameter galvanized pipe which is beyond its useful life and is deteriorated. This project provides for replacement,of which are constructed from 2” diameter galvanized pipe which is beyond its useful life and is deteriorated. This project provides for replacement,of which are constructed from 2” diameter galvanized pipe which is beyond its useful life and is deteriorated. This project provides for replacement,of which are constructed from 2” diameter galvanized pipe which is beyond its useful life and is deteriorated. This project provides for replacement,of which are constructed from 2” diameter galvanized pipe which is beyond its useful life and is deteriorated. This project provides for replacement,
of the 2” pipe with high density polyethylene pipe and also replaces the water service lines connected with the 2” main. Work will be performed,of the 2” pipe with high density polyethylene pipe and also replaces the water service lines connected with the 2” main. Work will be performed,of the 2” pipe with high density polyethylene pipe and also replaces the water service lines connected with the 2” main. Work will be performed,of the 2” pipe with high density polyethylene pipe and also replaces the water service lines connected with the 2” main. Work will be performed,of the 2” pipe with high density polyethylene pipe and also replaces the water service lines connected with the 2” main. Work will be performed,of the 2” pipe with high density polyethylene pipe and also replaces the water service lines connected with the 2” main. Work will be performed,,
with in-house and contractor forces.,with in-house and contractor forces.,,,,,,
,,,Rationale,,,,
Replacement is dictated due to the age of the material; internal & external corrosion of the pipe (with resultant leaks; discolored water and reduced,Replacement is dictated due to the age of the material; internal & external corrosion of the pipe (with resultant leaks; discolored water and reduced,Replacement is dictated due to the age of the material; internal & external corrosion of the pipe (with resultant leaks; discolored water and reduced,Replacement is dictated due to the age of the material; internal & external corrosion of the pipe (with resultant leaks; discolored water and reduced,Replacement is dictated due to the age of the material; internal & external corrosion of the pipe (with resultant leaks; discolored water and reduced,Replacement is dictated due to the age of the material; internal & external corrosion of the pipe (with resultant leaks; discolored water and reduced,Replacement is dictated due to the age of the material; internal & external corrosion of the pipe (with resultant leaks; discolored water and reduced,
flow and pressure); and the potential for water quality problems.,flow and pressure); and the potential for water quality problems.,flow and pressure); and the potential for water quality problems.,,,,,
,,,Funding Strategy,,,,
This is an ongoing project and will continue until all the 2” galvanized pipe throughout the City is replaced.,This is an ongoing project and will continue until all the 2” galvanized pipe throughout the City is replaced.,This is an ongoing project and will continue until all the 2” galvanized pipe throughout the City is replaced.,This is an ongoing project and will continue until all the 2” galvanized pipe throughout the City is replaced.,This is an ongoing project and will continue until all the 2” galvanized pipe throughout the City is replaced.,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
Project will reduce the annual maintenance budget (leak repairs and resultant pavement and sidewalk repairs) and will improve water quality.,Project will reduce the annual maintenance budget (leak repairs and resultant pavement and sidewalk repairs) and will improve water quality.,Project will reduce the annual maintenance budget (leak repairs and resultant pavement and sidewalk repairs) and will improve water quality.,Project will reduce the annual maintenance budget (leak repairs and resultant pavement and sidewalk repairs) and will improve water quality.,Project will reduce the annual maintenance budget (leak repairs and resultant pavement and sidewalk repairs) and will improve water quality.,Project will reduce the annual maintenance budget (leak repairs and resultant pavement and sidewalk repairs) and will improve water quality.,,
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Construction,,,07/06 - 06/12,"1,646,320"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"1,646,320"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,,,"1,393,001"
,,,Transfer from Public Utilities Fund,Transfer from Public Utilities Fund,,,"253,319"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"1,646,320"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,30,,,Capital Improvements,Capital Improvements
