Name: “Table 1 of 1 on page 74 of 108”,Name: “Table 1 of 1 on page 74 of 108”,Name: “Table 1 of 1 on page 74 of 108”,Name: “Table 1 of 1 on page 74 of 108”,Name: “Table 1 of 1 on page 74 of 108”,Name: “Table 1 of 1 on page 74 of 108”,Name: “Table 1 of 1 on page 74 of 108”,Name: “Table 1 of 1 on page 74 of 108”
Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Leisure Services,Leisure Services,,,
Project: 14907,Title: Outdoor Athletic Lighting,Title: Outdoor Athletic Lighting,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference: CC Vision - Neighborhood,Plan Reference: CC Vision - Neighborhood,Plan Reference: CC Vision - Neighborhood,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: City-wide,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"1,434,035","797,639","118,976","123,735","128,685","130,000","135,000",0
,,,Description and Scope,Description and Scope,,,
"Project provides funding for new and upgraded lighting systems to baseball, soccer, football, and softball fields. Fields which will be addressed","Project provides funding for new and upgraded lighting systems to baseball, soccer, football, and softball fields. Fields which will be addressed","Project provides funding for new and upgraded lighting systems to baseball, soccer, football, and softball fields. Fields which will be addressed","Project provides funding for new and upgraded lighting systems to baseball, soccer, football, and softball fields. Fields which will be addressed","Project provides funding for new and upgraded lighting systems to baseball, soccer, football, and softball fields. Fields which will be addressed","Project provides funding for new and upgraded lighting systems to baseball, soccer, football, and softball fields. Fields which will be addressed","Project provides funding for new and upgraded lighting systems to baseball, soccer, football, and softball fields. Fields which will be addressed",
include:,,,,,,,
• Highland Biltmore Softball • Cradock Middle Softball,• Highland Biltmore Softball • Cradock Middle Softball,• Highland Biltmore Softball • Cradock Middle Softball,,,,,
• Hodges Manor Soccer • Churchland Little League (Field 1) -,• Hodges Manor Soccer • Churchland Little League (Field 1) -,• Hodges Manor Soccer • Churchland Little League (Field 1) -,,,,,
• Churchland Little League (Field 2),• Churchland Little League (Field 2),,,,,,
• Cavalier Manor Football -,,,,,,,
• Churchland Park Softball #4 -,• Churchland Park Softball #4 -,,,,,,
,,,,Rationale,,,
Enrollment and participation in the City’s athletic leagues is continually increasing. Due to the limited number of fields available for practice and,Enrollment and participation in the City’s athletic leagues is continually increasing. Due to the limited number of fields available for practice and,Enrollment and participation in the City’s athletic leagues is continually increasing. Due to the limited number of fields available for practice and,Enrollment and participation in the City’s athletic leagues is continually increasing. Due to the limited number of fields available for practice and,Enrollment and participation in the City’s athletic leagues is continually increasing. Due to the limited number of fields available for practice and,Enrollment and participation in the City’s athletic leagues is continually increasing. Due to the limited number of fields available for practice and,Enrollment and participation in the City’s athletic leagues is continually increasing. Due to the limited number of fields available for practice and,
"games, it has become necessary for leagues to operate during nighttime hours. In addition, lighting the fields will enhance the leagues ability to host","games, it has become necessary for leagues to operate during nighttime hours. In addition, lighting the fields will enhance the leagues ability to host","games, it has become necessary for leagues to operate during nighttime hours. In addition, lighting the fields will enhance the leagues ability to host","games, it has become necessary for leagues to operate during nighttime hours. In addition, lighting the fields will enhance the leagues ability to host","games, it has become necessary for leagues to operate during nighttime hours. In addition, lighting the fields will enhance the leagues ability to host","games, it has become necessary for leagues to operate during nighttime hours. In addition, lighting the fields will enhance the leagues ability to host","games, it has become necessary for leagues to operate during nighttime hours. In addition, lighting the fields will enhance the leagues ability to host",
tournaments.,,,,,,,
,,,,Funding Strategy,,,
This is a long term project to replace and upgrade the City's athletic lighting one field per year.,This is a long term project to replace and upgrade the City's athletic lighting one field per year.,This is a long term project to replace and upgrade the City's athletic lighting one field per year.,This is a long term project to replace and upgrade the City's athletic lighting one field per year.,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
This project allows the City to realize energy savings due to energy efficient bulbs and a 25 year warranty during which time the manufacturer will,This project allows the City to realize energy savings due to energy efficient bulbs and a 25 year warranty during which time the manufacturer will,This project allows the City to realize energy savings due to energy efficient bulbs and a 25 year warranty during which time the manufacturer will,This project allows the City to realize energy savings due to energy efficient bulbs and a 25 year warranty during which time the manufacturer will,This project allows the City to realize energy savings due to energy efficient bulbs and a 25 year warranty during which time the manufacturer will,This project allows the City to realize energy savings due to energy efficient bulbs and a 25 year warranty during which time the manufacturer will,This project allows the City to realize energy savings due to energy efficient bulbs and a 25 year warranty during which time the manufacturer will,
maintain the lights.,,,,,,,
,Project Map,,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Construction,,,01/06 - 07/15,"1,434,035"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"1,434,035"
,,,,,Means of Financing,Means of Financing,
,,,,Funding Source,Funding Source,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"1,424,035"
,,,Sale of Property,Sale of Property,,,"10,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"1,434,035"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,,74,,Capital Improvements,Capital Improvements
