Name: “Table 1 of 1 on page 13 of 108”,Name: “Table 1 of 1 on page 13 of 108”,Name: “Table 1 of 1 on page 13 of 108”,Name: “Table 1 of 1 on page 13 of 108”,Name: “Table 1 of 1 on page 13 of 108”,Name: “Table 1 of 1 on page 13 of 108”,Name: “Table 1 of 1 on page 13 of 108”,Name: “Table 1 of 1 on page 13 of 108”
Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Sewer,Sewer,,,
Project: 19507,Title: Sanitary Sewer Overflow Elimination Program,Title: Sanitary Sewer Overflow Elimination Program,Title: Sanitary Sewer Overflow Elimination Program,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference: CC Vision - Neighborhood,Plan Reference: CC Vision - Neighborhood,Plan Reference: CC Vision - Neighborhood,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Citywide,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"42,000,000","8,600,000","4,000,000","4,500,000","8,000,000","8,400,000","8,500,000",0
,,,Description and Scope,Description and Scope,,,
The objective of this program is to markedly reduce the overflows of sewage caused by the infiltration or inflow of ground or rain water into,The objective of this program is to markedly reduce the overflows of sewage caused by the infiltration or inflow of ground or rain water into,The objective of this program is to markedly reduce the overflows of sewage caused by the infiltration or inflow of ground or rain water into,The objective of this program is to markedly reduce the overflows of sewage caused by the infiltration or inflow of ground or rain water into,The objective of this program is to markedly reduce the overflows of sewage caused by the infiltration or inflow of ground or rain water into,The objective of this program is to markedly reduce the overflows of sewage caused by the infiltration or inflow of ground or rain water into,The objective of this program is to markedly reduce the overflows of sewage caused by the infiltration or inflow of ground or rain water into,
Portsmouth's sanitary sewer system as required by the Federal Clean Water Act and under the conditions of a voluntary consent order negotiated,Portsmouth's sanitary sewer system as required by the Federal Clean Water Act and under the conditions of a voluntary consent order negotiated,Portsmouth's sanitary sewer system as required by the Federal Clean Water Act and under the conditions of a voluntary consent order negotiated,Portsmouth's sanitary sewer system as required by the Federal Clean Water Act and under the conditions of a voluntary consent order negotiated,Portsmouth's sanitary sewer system as required by the Federal Clean Water Act and under the conditions of a voluntary consent order negotiated,Portsmouth's sanitary sewer system as required by the Federal Clean Water Act and under the conditions of a voluntary consent order negotiated,Portsmouth's sanitary sewer system as required by the Federal Clean Water Act and under the conditions of a voluntary consent order negotiated,
by the Hampton Roads localities with the State Department of Environmental Quality.,by the Hampton Roads localities with the State Department of Environmental Quality.,by the Hampton Roads localities with the State Department of Environmental Quality.,by the Hampton Roads localities with the State Department of Environmental Quality.,,,,
,,,Rationale,Rationale,,,
This project is a result of a voluntary consent order with the State Department of Environmental Quality. The capacity of wastewater components,This project is a result of a voluntary consent order with the State Department of Environmental Quality. The capacity of wastewater components,This project is a result of a voluntary consent order with the State Department of Environmental Quality. The capacity of wastewater components,This project is a result of a voluntary consent order with the State Department of Environmental Quality. The capacity of wastewater components,This project is a result of a voluntary consent order with the State Department of Environmental Quality. The capacity of wastewater components,This project is a result of a voluntary consent order with the State Department of Environmental Quality. The capacity of wastewater components,This project is a result of a voluntary consent order with the State Department of Environmental Quality. The capacity of wastewater components,
such as mains and pump stations is finite. Infiltration and inflow of ground or rain water takes up the capacity of these components reserved for,such as mains and pump stations is finite. Infiltration and inflow of ground or rain water takes up the capacity of these components reserved for,such as mains and pump stations is finite. Infiltration and inflow of ground or rain water takes up the capacity of these components reserved for,such as mains and pump stations is finite. Infiltration and inflow of ground or rain water takes up the capacity of these components reserved for,such as mains and pump stations is finite. Infiltration and inflow of ground or rain water takes up the capacity of these components reserved for,such as mains and pump stations is finite. Infiltration and inflow of ground or rain water takes up the capacity of these components reserved for,such as mains and pump stations is finite. Infiltration and inflow of ground or rain water takes up the capacity of these components reserved for,
