Name: “Table 1 of 1 on page 102 of 108”,Name: “Table 1 of 1 on page 102 of 108”,Name: “Table 1 of 1 on page 102 of 108”,Name: “Table 1 of 1 on page 102 of 108”,Name: “Table 1 of 1 on page 102 of 108”,Name: “Table 1 of 1 on page 102 of 108”,Name: “Table 1 of 1 on page 102 of 108”,Name: “Table 1 of 1 on page 102 of 108”
Table: 102,Table: 102,Table: 102,Table: 102,Table: 102,Table: 102,Table: 102,Table: 102
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Parking Authority CIP,Parking Authority CIP,,,
Project: New0052,Title: County Street Parking Garage Replacement,Title: County Street Parking Garage Replacement,Title: County Street Parking Garage Replacement,,,Status: Active Project,Status: Active Project
,Comprehensive Plan Information,,,,Project Location,,
CIE Project:,Plan Reference:,,,District:,,,
LOS/Concurrency:,"Project Need: Growth, Other","Project Need: Growth, Other",,Location: County Street,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"3,350,000",0,0,"250,000","1,600,000","1,500,000",0,"12,650,000"
,,,Description and Scope,Description and Scope,,,
This project provides funding for the replacement of County Street Parking Garage. Current inspections and the immediate need for major structural,This project provides funding for the replacement of County Street Parking Garage. Current inspections and the immediate need for major structural,This project provides funding for the replacement of County Street Parking Garage. Current inspections and the immediate need for major structural,This project provides funding for the replacement of County Street Parking Garage. Current inspections and the immediate need for major structural,This project provides funding for the replacement of County Street Parking Garage. Current inspections and the immediate need for major structural,This project provides funding for the replacement of County Street Parking Garage. Current inspections and the immediate need for major structural,This project provides funding for the replacement of County Street Parking Garage. Current inspections and the immediate need for major structural,
repairs serve to confirm the necessity to plan for this facility's replacement. To maintain the garage in full operation additional repairs will be,repairs serve to confirm the necessity to plan for this facility's replacement. To maintain the garage in full operation additional repairs will be,repairs serve to confirm the necessity to plan for this facility's replacement. To maintain the garage in full operation additional repairs will be,repairs serve to confirm the necessity to plan for this facility's replacement. To maintain the garage in full operation additional repairs will be,repairs serve to confirm the necessity to plan for this facility's replacement. To maintain the garage in full operation additional repairs will be,repairs serve to confirm the necessity to plan for this facility's replacement. To maintain the garage in full operation additional repairs will be,,
necessary prior to replacement funding. The planned CIP provides funding beginning in FY13 to plan for the replacement of the garage.,necessary prior to replacement funding. The planned CIP provides funding beginning in FY13 to plan for the replacement of the garage.,necessary prior to replacement funding. The planned CIP provides funding beginning in FY13 to plan for the replacement of the garage.,necessary prior to replacement funding. The planned CIP provides funding beginning in FY13 to plan for the replacement of the garage.,necessary prior to replacement funding. The planned CIP provides funding beginning in FY13 to plan for the replacement of the garage.,necessary prior to replacement funding. The planned CIP provides funding beginning in FY13 to plan for the replacement of the garage.,,
,,,Rationale,Rationale,,,
The County Street Parking Garage was built in 1969 and is reaching the end of its useful service life. Numerous pre-cast structural elements are,The County Street Parking Garage was built in 1969 and is reaching the end of its useful service life. Numerous pre-cast structural elements are,The County Street Parking Garage was built in 1969 and is reaching the end of its useful service life. Numerous pre-cast structural elements are,The County Street Parking Garage was built in 1969 and is reaching the end of its useful service life. Numerous pre-cast structural elements are,The County Street Parking Garage was built in 1969 and is reaching the end of its useful service life. Numerous pre-cast structural elements are,The County Street Parking Garage was built in 1969 and is reaching the end of its useful service life. Numerous pre-cast structural elements are,The County Street Parking Garage was built in 1969 and is reaching the end of its useful service life. Numerous pre-cast structural elements are,
"facing deterioration and require extensive repairs or replacement, which has limited the use of portions of the structure. The condition of the most","facing deterioration and require extensive repairs or replacement, which has limited the use of portions of the structure. The condition of the most","facing deterioration and require extensive repairs or replacement, which has limited the use of portions of the structure. The condition of the most","facing deterioration and require extensive repairs or replacement, which has limited the use of portions of the structure. The condition of the most","facing deterioration and require extensive repairs or replacement, which has limited the use of portions of the structure. The condition of the most","facing deterioration and require extensive repairs or replacement, which has limited the use of portions of the structure. The condition of the most","facing deterioration and require extensive repairs or replacement, which has limited the use of portions of the structure. The condition of the most",
recent structural elements needing to be replaced have resulted in extensive repairs and the closing the top deck of the garage. Replacing this,recent structural elements needing to be replaced have resulted in extensive repairs and the closing the top deck of the garage. Replacing this,recent structural elements needing to be replaced have resulted in extensive repairs and the closing the top deck of the garage. Replacing this,recent structural elements needing to be replaced have resulted in extensive repairs and the closing the top deck of the garage. Replacing this,recent structural elements needing to be replaced have resulted in extensive repairs and the closing the top deck of the garage. Replacing this,recent structural elements needing to be replaced have resulted in extensive repairs and the closing the top deck of the garage. Replacing this,,
"garage will allow the City to continue providing adequate numbers of parking spaces in this high parking demand area of Downtown, and address a","garage will allow the City to continue providing adequate numbers of parking spaces in this high parking demand area of Downtown, and address a","garage will allow the City to continue providing adequate numbers of parking spaces in this high parking demand area of Downtown, and address a","garage will allow the City to continue providing adequate numbers of parking spaces in this high parking demand area of Downtown, and address a","garage will allow the City to continue providing adequate numbers of parking spaces in this high parking demand area of Downtown, and address a","garage will allow the City to continue providing adequate numbers of parking spaces in this high parking demand area of Downtown, and address a","garage will allow the City to continue providing adequate numbers of parking spaces in this high parking demand area of Downtown, and address a",
safety issue for all users.,,,,,,,
,,,Funding Strategy,Funding Strategy,,,
"Currently, no other funding sources have been identified for this project. $12650000 was removed from project in fy15 as part of exercise to keep","Currently, no other funding sources have been identified for this project. $12650000 was removed from project in fy15 as part of exercise to keep","Currently, no other funding sources have been identified for this project. $12650000 was removed from project in fy15 as part of exercise to keep","Currently, no other funding sources have been identified for this project. $12650000 was removed from project in fy15 as part of exercise to keep","Currently, no other funding sources have been identified for this project. $12650000 was removed from project in fy15 as part of exercise to keep","Currently, no other funding sources have been identified for this project. $12650000 was removed from project in fy15 as part of exercise to keep","Currently, no other funding sources have been identified for this project. $12650000 was removed from project in fy15 as part of exercise to keep",
the city in compliance with its CIP funding policy.of 12% of general fund revenue.This would be put back in fy2017,the city in compliance with its CIP funding policy.of 12% of general fund revenue.This would be put back in fy2017,the city in compliance with its CIP funding policy.of 12% of general fund revenue.This would be put back in fy2017,the city in compliance with its CIP funding policy.of 12% of general fund revenue.This would be put back in fy2017,the city in compliance with its CIP funding policy.of 12% of general fund revenue.This would be put back in fy2017,,,
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,07/12 - 06/18,"14,400,000"
,,,Design,Design,,07/12 - 06/18,"1,600,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"16,000,000"
,,,,,Means of Financing,,
,,,,,Funding Source,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"1,850,000"
,,,Transfer from General Fund,Transfer from General Fund,,,"1,500,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"3,350,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,"12,650,000"
Fiscal Year 2012,,,102,102,,Capital Improvements,Capital Improvements
