Name: “Table 1 of 1 on page 96 of 108”,Name: “Table 1 of 1 on page 96 of 108”,Name: “Table 1 of 1 on page 96 of 108”,Name: “Table 1 of 1 on page 96 of 108”,Name: “Table 1 of 1 on page 96 of 108”,Name: “Table 1 of 1 on page 96 of 108”,Name: “Table 1 of 1 on page 96 of 108”,Name: “Table 1 of 1 on page 96 of 108”
Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96
,,,,,,,
,,,City of Portsmouth,,,,
,,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,,,,
Project: 18307,Title: Seawall Reinforcement,Title: Seawall Reinforcement,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,,
CIE Project: N/A,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: Downtown Portsmouth,Location: Downtown Portsmouth,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"9,125,000","5,675,000","3,200,000",0,0,"250,000",0,0
,,,Description and Scope,,,,
This project provides funding to completely repair the seawall from the North Landing to the southern end of the Seawall.,This project provides funding to completely repair the seawall from the North Landing to the southern end of the Seawall.,This project provides funding to completely repair the seawall from the North Landing to the southern end of the Seawall.,This project provides funding to completely repair the seawall from the North Landing to the southern end of the Seawall.,This project provides funding to completely repair the seawall from the North Landing to the southern end of the Seawall.,This project provides funding to completely repair the seawall from the North Landing to the southern end of the Seawall.,,
The next phase of this project is the replacement of seawall from North Landing to the marines at the the northend.,The next phase of this project is the replacement of seawall from North Landing to the marines at the the northend.,The next phase of this project is the replacement of seawall from North Landing to the marines at the the northend.,The next phase of this project is the replacement of seawall from North Landing to the marines at the the northend.,The next phase of this project is the replacement of seawall from North Landing to the marines at the the northend.,,,
,,,Rationale,,,,
"The Seawall is a major city-owned asset in downtown Portsmouth. The impacts of the seawall on economic development, tourism, and community","The Seawall is a major city-owned asset in downtown Portsmouth. The impacts of the seawall on economic development, tourism, and community","The Seawall is a major city-owned asset in downtown Portsmouth. The impacts of the seawall on economic development, tourism, and community","The Seawall is a major city-owned asset in downtown Portsmouth. The impacts of the seawall on economic development, tourism, and community","The Seawall is a major city-owned asset in downtown Portsmouth. The impacts of the seawall on economic development, tourism, and community","The Seawall is a major city-owned asset in downtown Portsmouth. The impacts of the seawall on economic development, tourism, and community","The Seawall is a major city-owned asset in downtown Portsmouth. The impacts of the seawall on economic development, tourism, and community",
"pride are difficult to quantify, but are significant. Recent routine inspections of the seawall have shown that there is substantial damage that must","pride are difficult to quantify, but are significant. Recent routine inspections of the seawall have shown that there is substantial damage that must","pride are difficult to quantify, but are significant. Recent routine inspections of the seawall have shown that there is substantial damage that must","pride are difficult to quantify, but are significant. Recent routine inspections of the seawall have shown that there is substantial damage that must","pride are difficult to quantify, but are significant. Recent routine inspections of the seawall have shown that there is substantial damage that must","pride are difficult to quantify, but are significant. Recent routine inspections of the seawall have shown that there is substantial damage that must","pride are difficult to quantify, but are significant. Recent routine inspections of the seawall have shown that there is substantial damage that must",
be repaired.,,,,,,,
The design is complete for seawall repair work from North Landing down to the southern end of the Seawall. Inspections have been completed for,The design is complete for seawall repair work from North Landing down to the southern end of the Seawall. Inspections have been completed for,The design is complete for seawall repair work from North Landing down to the southern end of the Seawall. Inspections have been completed for,The design is complete for seawall repair work from North Landing down to the southern end of the Seawall. Inspections have been completed for,The design is complete for seawall repair work from North Landing down to the southern end of the Seawall. Inspections have been completed for,The design is complete for seawall repair work from North Landing down to the southern end of the Seawall. Inspections have been completed for,The design is complete for seawall repair work from North Landing down to the southern end of the Seawall. Inspections have been completed for,
the Seawall located north of North Landing. Funding is being provided to address this major repair within the next 5 years and is critical to any,the Seawall located north of North Landing. Funding is being provided to address this major repair within the next 5 years and is critical to any,the Seawall located north of North Landing. Funding is being provided to address this major repair within the next 5 years and is critical to any,the Seawall located north of North Landing. Funding is being provided to address this major repair within the next 5 years and is critical to any,the Seawall located north of North Landing. Funding is being provided to address this major repair within the next 5 years and is critical to any,the Seawall located north of North Landing. Funding is being provided to address this major repair within the next 5 years and is critical to any,,
redevelopment of the Holiday Inn site.,redevelopment of the Holiday Inn site.,,,,,,
,,,Funding Strategy,,,,
Project financed by GO bond funding,Project financed by GO bond funding,,,,,,
"$1,250,000 was reprogrammed from the FY2009-2010 Capital Imrovement Fund from project #13009 to fund emergency repairs to the Elizabeth","$1,250,000 was reprogrammed from the FY2009-2010 Capital Imrovement Fund from project #13009 to fund emergency repairs to the Elizabeth","$1,250,000 was reprogrammed from the FY2009-2010 Capital Imrovement Fund from project #13009 to fund emergency repairs to the Elizabeth","$1,250,000 was reprogrammed from the FY2009-2010 Capital Imrovement Fund from project #13009 to fund emergency repairs to the Elizabeth","$1,250,000 was reprogrammed from the FY2009-2010 Capital Imrovement Fund from project #13009 to fund emergency repairs to the Elizabeth","$1,250,000 was reprogrammed from the FY2009-2010 Capital Imrovement Fund from project #13009 to fund emergency repairs to the Elizabeth","$1,250,000 was reprogrammed from the FY2009-2010 Capital Imrovement Fund from project #13009 to fund emergency repairs to the Elizabeth",
"River Seawall. Ordinance 2011-01 Combined project 18310(Crawford parkway bulkhead replacement) with this project.$3,075000 made up of","River Seawall. Ordinance 2011-01 Combined project 18310(Crawford parkway bulkhead replacement) with this project.$3,075000 made up of","River Seawall. Ordinance 2011-01 Combined project 18310(Crawford parkway bulkhead replacement) with this project.$3,075000 made up of","River Seawall. Ordinance 2011-01 Combined project 18310(Crawford parkway bulkhead replacement) with this project.$3,075000 made up of","River Seawall. Ordinance 2011-01 Combined project 18310(Crawford parkway bulkhead replacement) with this project.$3,075000 made up of","River Seawall. Ordinance 2011-01 Combined project 18310(Crawford parkway bulkhead replacement) with this project.$3,075000 made up of",,
"$1,950,000 sale of land and $1,125,000 GO Bonds originally reappropriated from Holliday Inn project was moved into this project as appropriated","$1,950,000 sale of land and $1,125,000 GO Bonds originally reappropriated from Holliday Inn project was moved into this project as appropriated","$1,950,000 sale of land and $1,125,000 GO Bonds originally reappropriated from Holliday Inn project was moved into this project as appropriated","$1,950,000 sale of land and $1,125,000 GO Bonds originally reappropriated from Holliday Inn project was moved into this project as appropriated","$1,950,000 sale of land and $1,125,000 GO Bonds originally reappropriated from Holliday Inn project was moved into this project as appropriated","$1,950,000 sale of land and $1,125,000 GO Bonds originally reappropriated from Holliday Inn project was moved into this project as appropriated","$1,950,000 sale of land and $1,125,000 GO Bonds originally reappropriated from Holliday Inn project was moved into this project as appropriated",
amount in fy2011,,,,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
No impact to the operating budget.,No impact to the operating budget.,,,,,,
,Project Map,Project Map,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Project Management,,,07/06 - 06/15,"6,050,000"
,,,Construction,,,07/07 - 06/08,"3,075,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"9,125,000"
,,,,,Means of Financing,,
,,,,Funding Source,Funding Source,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"4,925,000"
,,,Sale of Property,,,,"1,950,000"
,,,Transfer from General Fund,Transfer from General Fund,,,"2,250,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"9,125,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,96,,,Capital Improvements,Capital Improvements
