Name: “Table 1 of 1 on page 92 of 108”,Name: “Table 1 of 1 on page 92 of 108”,Name: “Table 1 of 1 on page 92 of 108”,Name: “Table 1 of 1 on page 92 of 108”,Name: “Table 1 of 1 on page 92 of 108”,Name: “Table 1 of 1 on page 92 of 108”,Name: “Table 1 of 1 on page 92 of 108”,Name: “Table 1 of 1 on page 92 of 108”
Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,Municipal Facilities,,,
Project: 17207,Title: Renovations to Various Buildings,Title: Renovations to Various Buildings,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: N/A,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"3,641,959","2,466,694","216,320","224,973","233,972","250,000","250,000",0
,,,Description and Scope,Description and Scope,,,
This project provides funding to perform major renovations to various City Facilities. These projects are prioritized through a comprehensive needs,This project provides funding to perform major renovations to various City Facilities. These projects are prioritized through a comprehensive needs,This project provides funding to perform major renovations to various City Facilities. These projects are prioritized through a comprehensive needs,This project provides funding to perform major renovations to various City Facilities. These projects are prioritized through a comprehensive needs,This project provides funding to perform major renovations to various City Facilities. These projects are prioritized through a comprehensive needs,This project provides funding to perform major renovations to various City Facilities. These projects are prioritized through a comprehensive needs,This project provides funding to perform major renovations to various City Facilities. These projects are prioritized through a comprehensive needs,
assesment.,,,,,,,
,,,Rationale,Rationale,,,
"The renovation of facilities reduces the cost of regular maintenance to buildings, provides citizens and employees with facilities that are safe and","The renovation of facilities reduces the cost of regular maintenance to buildings, provides citizens and employees with facilities that are safe and","The renovation of facilities reduces the cost of regular maintenance to buildings, provides citizens and employees with facilities that are safe and","The renovation of facilities reduces the cost of regular maintenance to buildings, provides citizens and employees with facilities that are safe and","The renovation of facilities reduces the cost of regular maintenance to buildings, provides citizens and employees with facilities that are safe and","The renovation of facilities reduces the cost of regular maintenance to buildings, provides citizens and employees with facilities that are safe and","The renovation of facilities reduces the cost of regular maintenance to buildings, provides citizens and employees with facilities that are safe and",
"comfortable to utilize, and provides the opportunity to install efficient building systems that decrease the overall cost of operating the facilities.","comfortable to utilize, and provides the opportunity to install efficient building systems that decrease the overall cost of operating the facilities.","comfortable to utilize, and provides the opportunity to install efficient building systems that decrease the overall cost of operating the facilities.","comfortable to utilize, and provides the opportunity to install efficient building systems that decrease the overall cost of operating the facilities.","comfortable to utilize, and provides the opportunity to install efficient building systems that decrease the overall cost of operating the facilities.","comfortable to utilize, and provides the opportunity to install efficient building systems that decrease the overall cost of operating the facilities.","comfortable to utilize, and provides the opportunity to install efficient building systems that decrease the overall cost of operating the facilities.",
,,,Funding Strategy,Funding Strategy,,,
This project is funded by GO Bond funding.,This project is funded by GO Bond funding.,,,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
The regular renovation of facilities reduces the cost of maintaining the facility and decreases energy cost through the installation of energy efficient,The regular renovation of facilities reduces the cost of maintaining the facility and decreases energy cost through the installation of energy efficient,The regular renovation of facilities reduces the cost of maintaining the facility and decreases energy cost through the installation of energy efficient,The regular renovation of facilities reduces the cost of maintaining the facility and decreases energy cost through the installation of energy efficient,The regular renovation of facilities reduces the cost of maintaining the facility and decreases energy cost through the installation of energy efficient,The regular renovation of facilities reduces the cost of maintaining the facility and decreases energy cost through the installation of energy efficient,The regular renovation of facilities reduces the cost of maintaining the facility and decreases energy cost through the installation of energy efficient,
equipment.,,,,,,,
,Project Map,,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,07/06 - 06/15,"3,641,959"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"3,641,959"
,,,,,Means of Financing,Means of Financing,
,,,,,Funding Source,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"3,341,959"
,,,Transfer from General Fund,Transfer from General Fund,,,"300,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"3,641,959"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,92,92,,Capital Improvements,Capital Improvements
