Name: “Table 1 of 1 on page 60 of 108”,Name: “Table 1 of 1 on page 60 of 108”,Name: “Table 1 of 1 on page 60 of 108”,Name: “Table 1 of 1 on page 60 of 108”,Name: “Table 1 of 1 on page 60 of 108”,Name: “Table 1 of 1 on page 60 of 108”,Name: “Table 1 of 1 on page 60 of 108”,Name: “Table 1 of 1 on page 60 of 108”
Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,Drainage and Street Improvements,Drainage and Street Improvements,Drainage and Street Improvements,,,
Project: 10209,Title: VPDES Permit Compliance,Title: VPDES Permit Compliance,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,Project Location,
CIE Project:,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency:,"Project Need: Growth, Other","Project Need: Growth, Other",,Location: Citywide,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"1,800,000","800,000","200,000","200,000","200,000","200,000","200,000",0
,,,Description and Scope,Description and Scope,,,
Compliance with our VPDES Permit is a State and Federal mandate.This project will support multiple activities that are required to meet that,Compliance with our VPDES Permit is a State and Federal mandate.This project will support multiple activities that are required to meet that,Compliance with our VPDES Permit is a State and Federal mandate.This project will support multiple activities that are required to meet that,Compliance with our VPDES Permit is a State and Federal mandate.This project will support multiple activities that are required to meet that,Compliance with our VPDES Permit is a State and Federal mandate.This project will support multiple activities that are required to meet that,Compliance with our VPDES Permit is a State and Federal mandate.This project will support multiple activities that are required to meet that,Compliance with our VPDES Permit is a State and Federal mandate.This project will support multiple activities that are required to meet that,
"mandate.These include water quality monitoring,public education,inspection of industrial facilities,BMP monitoring, annual reporting of pollutant","mandate.These include water quality monitoring,public education,inspection of industrial facilities,BMP monitoring, annual reporting of pollutant","mandate.These include water quality monitoring,public education,inspection of industrial facilities,BMP monitoring, annual reporting of pollutant","mandate.These include water quality monitoring,public education,inspection of industrial facilities,BMP monitoring, annual reporting of pollutant","mandate.These include water quality monitoring,public education,inspection of industrial facilities,BMP monitoring, annual reporting of pollutant","mandate.These include water quality monitoring,public education,inspection of industrial facilities,BMP monitoring, annual reporting of pollutant","mandate.These include water quality monitoring,public education,inspection of industrial facilities,BMP monitoring, annual reporting of pollutant",
"loads,TMDL Implementation studies,etc.","loads,TMDL Implementation studies,etc.",,,,,,
,,,,Rationale,,,
"We are operating with a State VPDES permit that requires a significant increase in our programmatic efforts,and ensuing costs,to meet the","We are operating with a State VPDES permit that requires a significant increase in our programmatic efforts,and ensuing costs,to meet the","We are operating with a State VPDES permit that requires a significant increase in our programmatic efforts,and ensuing costs,to meet the","We are operating with a State VPDES permit that requires a significant increase in our programmatic efforts,and ensuing costs,to meet the","We are operating with a State VPDES permit that requires a significant increase in our programmatic efforts,and ensuing costs,to meet the","We are operating with a State VPDES permit that requires a significant increase in our programmatic efforts,and ensuing costs,to meet the","We are operating with a State VPDES permit that requires a significant increase in our programmatic efforts,and ensuing costs,to meet the",
mandates of the permit. It is important to track these efforts and their costs.,mandates of the permit. It is important to track these efforts and their costs.,mandates of the permit. It is important to track these efforts and their costs.,mandates of the permit. It is important to track these efforts and their costs.,,,,
,,,,Funding Strategy,,,
VPDES permit activities are funded primarily through the Stormwater Utility Fund. The Stormwater Utility ERU rate is being increase by $.50 in an,VPDES permit activities are funded primarily through the Stormwater Utility Fund. The Stormwater Utility ERU rate is being increase by $.50 in an,VPDES permit activities are funded primarily through the Stormwater Utility Fund. The Stormwater Utility ERU rate is being increase by $.50 in an,VPDES permit activities are funded primarily through the Stormwater Utility Fund. The Stormwater Utility ERU rate is being increase by $.50 in an,VPDES permit activities are funded primarily through the Stormwater Utility Fund. The Stormwater Utility ERU rate is being increase by $.50 in an,VPDES permit activities are funded primarily through the Stormwater Utility Fund. The Stormwater Utility ERU rate is being increase by $.50 in an,VPDES permit activities are funded primarily through the Stormwater Utility Fund. The Stormwater Utility ERU rate is being increase by $.50 in an,
effort to support the mandates of the permit.,effort to support the mandates of the permit.,,,,,,
,Project Map,Project Map,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,,Project Management,,07/08 - 06/15,"1,800,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"1,800,000"
,,,,,Means of Financing,Means of Financing,
,,,,,Funding Source,,Amount
,,,,Transfer from Stormwater Fund,,,"1,800,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"1,800,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,,60,,Capital Improvements,Capital Improvements
