Name: “Table 1 of 1 on page 40 of 108”,Name: “Table 1 of 1 on page 40 of 108”,Name: “Table 1 of 1 on page 40 of 108”,Name: “Table 1 of 1 on page 40 of 108”,Name: “Table 1 of 1 on page 40 of 108”,Name: “Table 1 of 1 on page 40 of 108”,Name: “Table 1 of 1 on page 40 of 108”,Name: “Table 1 of 1 on page 40 of 108”
Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,Drainage and Street Improvements,Drainage and Street Improvements,Drainage and Street Improvements,,,
Project: 10307,Title: Drainage Facilities Repair and Lake Management,Title: Drainage Facilities Repair and Lake Management,Title: Drainage Facilities Repair and Lake Management,Title: Drainage Facilities Repair and Lake Management,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,Project Location,
CIE Project:,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency:,"Project Need: Growth, Other","Project Need: Growth, Other",,Location: City-wide,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"34,008,223","19,420,968","2,917,451","2,917,451","2,917,451","2,917,451","2,917,451",0
,,,Description and Scope,Description and Scope,,,
The Drainage Facility Repair and Lake Management Program provides funding for City wide system maintenance and repair which includes cave-in,The Drainage Facility Repair and Lake Management Program provides funding for City wide system maintenance and repair which includes cave-in,The Drainage Facility Repair and Lake Management Program provides funding for City wide system maintenance and repair which includes cave-in,The Drainage Facility Repair and Lake Management Program provides funding for City wide system maintenance and repair which includes cave-in,The Drainage Facility Repair and Lake Management Program provides funding for City wide system maintenance and repair which includes cave-in,The Drainage Facility Repair and Lake Management Program provides funding for City wide system maintenance and repair which includes cave-in,The Drainage Facility Repair and Lake Management Program provides funding for City wide system maintenance and repair which includes cave-in,
"repairs, cleaning, TVing, lining of pipes, outfall and ditch maintenance; lake management such as aerators, trash booms, and dam maintenance; and","repairs, cleaning, TVing, lining of pipes, outfall and ditch maintenance; lake management such as aerators, trash booms, and dam maintenance; and","repairs, cleaning, TVing, lining of pipes, outfall and ditch maintenance; lake management such as aerators, trash booms, and dam maintenance; and","repairs, cleaning, TVing, lining of pipes, outfall and ditch maintenance; lake management such as aerators, trash booms, and dam maintenance; and","repairs, cleaning, TVing, lining of pipes, outfall and ditch maintenance; lake management such as aerators, trash booms, and dam maintenance; and","repairs, cleaning, TVing, lining of pipes, outfall and ditch maintenance; lake management such as aerators, trash booms, and dam maintenance; and","repairs, cleaning, TVing, lining of pipes, outfall and ditch maintenance; lake management such as aerators, trash booms, and dam maintenance; and",
"VPDES permit compliance which includes water quality monitoring, public education, and regional studies; program administration/management and","VPDES permit compliance which includes water quality monitoring, public education, and regional studies; program administration/management and","VPDES permit compliance which includes water quality monitoring, public education, and regional studies; program administration/management and","VPDES permit compliance which includes water quality monitoring, public education, and regional studies; program administration/management and","VPDES permit compliance which includes water quality monitoring, public education, and regional studies; program administration/management and","VPDES permit compliance which includes water quality monitoring, public education, and regional studies; program administration/management and","VPDES permit compliance which includes water quality monitoring, public education, and regional studies; program administration/management and",
cost sharing in programs such as the Citywide Drainage Assessment Study and the Downtown Master Utility study.,cost sharing in programs such as the Citywide Drainage Assessment Study and the Downtown Master Utility study.,cost sharing in programs such as the Citywide Drainage Assessment Study and the Downtown Master Utility study.,cost sharing in programs such as the Citywide Drainage Assessment Study and the Downtown Master Utility study.,cost sharing in programs such as the Citywide Drainage Assessment Study and the Downtown Master Utility study.,,,
,,,Rationale,Rationale,,,
,,,Funding Strategy,Funding Strategy,,,
This project is funded through transfers from the Stormwater operating budget and Stormwater fund balance.,This project is funded through transfers from the Stormwater operating budget and Stormwater fund balance.,This project is funded through transfers from the Stormwater operating budget and Stormwater fund balance.,This project is funded through transfers from the Stormwater operating budget and Stormwater fund balance.,This project is funded through transfers from the Stormwater operating budget and Stormwater fund balance.,,,
,Project Map,Project Map,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,07/06 - 06/15,"34,008,223"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"34,008,223"
,,,,,Means of Financing,Means of Financing,
,,,,,Funding Source,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"13,500"
,,,Other - Federal Funding,Other - Federal Funding,,,"100,000"
,,,Transfer from Stormwater Fund,Transfer from Stormwater Fund,,,"33,894,723"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"34,008,223"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,40,40,,Capital Improvements,Capital Improvements
