Name: “Table 1 of 1 on page 23 of 108”,Name: “Table 1 of 1 on page 23 of 108”,Name: “Table 1 of 1 on page 23 of 108”,Name: “Table 1 of 1 on page 23 of 108”,Name: “Table 1 of 1 on page 23 of 108”,Name: “Table 1 of 1 on page 23 of 108”,Name: “Table 1 of 1 on page 23 of 108”,Name: “Table 1 of 1 on page 23 of 108”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Water,,,,
Project: 21807,Title: Lake Kilby Raw Water Pumping Station Replacement,Title: Lake Kilby Raw Water Pumping Station Replacement,Title: Lake Kilby Raw Water Pumping Station Replacement,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,,
CIE Project: N/A,Plan Reference: CC Vision – Neighborhood,Plan Reference: CC Vision – Neighborhood,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Lake Kilby Water Treatment Plant,Location: Lake Kilby Water Treatment Plant,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"7,749,000","7,749,000",0,0,0,0,0,0
,,,Description and Scope,,,,
The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the demolition of the abandoned,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the demolition of the abandoned,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the demolition of the abandoned,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the demolition of the abandoned,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the demolition of the abandoned,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the demolition of the abandoned,,
electrical building and construction of a combined Lake Kilby/Lake Meade raw water intake and pumping station on the same site. This project,electrical building and construction of a combined Lake Kilby/Lake Meade raw water intake and pumping station on the same site. This project,electrical building and construction of a combined Lake Kilby/Lake Meade raw water intake and pumping station on the same site. This project,electrical building and construction of a combined Lake Kilby/Lake Meade raw water intake and pumping station on the same site. This project,electrical building and construction of a combined Lake Kilby/Lake Meade raw water intake and pumping station on the same site. This project,electrical building and construction of a combined Lake Kilby/Lake Meade raw water intake and pumping station on the same site. This project,,
replaces facilities built in 1936 and 1952.,replaces facilities built in 1936 and 1952.,,,,,,
,,,Rationale,,,,
Replaces two antiquated and unreliable facilities with a new combined facility.,Replaces two antiquated and unreliable facilities with a new combined facility.,Replaces two antiquated and unreliable facilities with a new combined facility.,,,,,
,,,Funding Strategy,,,,
It is anticipated that the new facility design will be completed in FY 08 using previously allocated funding; demolition of the abandoned electrical,It is anticipated that the new facility design will be completed in FY 08 using previously allocated funding; demolition of the abandoned electrical,It is anticipated that the new facility design will be completed in FY 08 using previously allocated funding; demolition of the abandoned electrical,It is anticipated that the new facility design will be completed in FY 08 using previously allocated funding; demolition of the abandoned electrical,It is anticipated that the new facility design will be completed in FY 08 using previously allocated funding; demolition of the abandoned electrical,It is anticipated that the new facility design will be completed in FY 08 using previously allocated funding; demolition of the abandoned electrical,,
building will begin in FY 08 and construction of the new facility will begin in FY10 and be completed by FY12.,building will begin in FY 08 and construction of the new facility will begin in FY10 and be completed by FY12.,building will begin in FY 08 and construction of the new facility will begin in FY10 and be completed by FY12.,building will begin in FY 08 and construction of the new facility will begin in FY10 and be completed by FY12.,building will begin in FY 08 and construction of the new facility will begin in FY10 and be completed by FY12.,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
"No appreciable impact; some slight decrease in energy consumption may be realized with newer, more efficient equipment.","No appreciable impact; some slight decrease in energy consumption may be realized with newer, more efficient equipment.","No appreciable impact; some slight decrease in energy consumption may be realized with newer, more efficient equipment.","No appreciable impact; some slight decrease in energy consumption may be realized with newer, more efficient equipment.","No appreciable impact; some slight decrease in energy consumption may be realized with newer, more efficient equipment.","No appreciable impact; some slight decrease in energy consumption may be realized with newer, more efficient equipment.",,
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Project Management,,,07/04 - 06/05,"1,051,000"
,,,Construction,,,08/06 - 01/12,"6,698,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"7,749,000"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,,,"7,749,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"7,749,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,23,,,Capital Improvements,Capital Improvements
