Name: “Table 1 of 1 on page 95 of 108”,Name: “Table 1 of 1 on page 95 of 108”,Name: “Table 1 of 1 on page 95 of 108”,Name: “Table 1 of 1 on page 95 of 108”,Name: “Table 1 of 1 on page 95 of 108”,Name: “Table 1 of 1 on page 95 of 108”,Name: “Table 1 of 1 on page 95 of 108”,Name: “Table 1 of 1 on page 95 of 108”
Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,Municipal Facilities,,,
Project: 16507,Title: Roof Replacement,Title: Roof Replacement,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: Undefined,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"2,915,653","2,308,022","108,160","112,486","116,985","120,000","150,000",0
,,,Description and Scope,Description and Scope,,,
This CIP project is reoccurring. It is used to fund roof replacements in accordance with a roof replacement plan that has been established. The roof,This CIP project is reoccurring. It is used to fund roof replacements in accordance with a roof replacement plan that has been established. The roof,This CIP project is reoccurring. It is used to fund roof replacements in accordance with a roof replacement plan that has been established. The roof,This CIP project is reoccurring. It is used to fund roof replacements in accordance with a roof replacement plan that has been established. The roof,This CIP project is reoccurring. It is used to fund roof replacements in accordance with a roof replacement plan that has been established. The roof,This CIP project is reoccurring. It is used to fund roof replacements in accordance with a roof replacement plan that has been established. The roof,This CIP project is reoccurring. It is used to fund roof replacements in accordance with a roof replacement plan that has been established. The roof,
replacement plan was done after a thorough evaluation of all roofs. The evaluation used both non-destructive and destructive tests.,replacement plan was done after a thorough evaluation of all roofs. The evaluation used both non-destructive and destructive tests.,replacement plan was done after a thorough evaluation of all roofs. The evaluation used both non-destructive and destructive tests.,replacement plan was done after a thorough evaluation of all roofs. The evaluation used both non-destructive and destructive tests.,replacement plan was done after a thorough evaluation of all roofs. The evaluation used both non-destructive and destructive tests.,replacement plan was done after a thorough evaluation of all roofs. The evaluation used both non-destructive and destructive tests.,replacement plan was done after a thorough evaluation of all roofs. The evaluation used both non-destructive and destructive tests.,
,,,Rationale,Rationale,,,
The continued funding of this CIP allows the City to proactively maintain roofing systems in a systematic way that eliminates the need for large,The continued funding of this CIP allows the City to proactively maintain roofing systems in a systematic way that eliminates the need for large,The continued funding of this CIP allows the City to proactively maintain roofing systems in a systematic way that eliminates the need for large,The continued funding of this CIP allows the City to proactively maintain roofing systems in a systematic way that eliminates the need for large,The continued funding of this CIP allows the City to proactively maintain roofing systems in a systematic way that eliminates the need for large,The continued funding of this CIP allows the City to proactively maintain roofing systems in a systematic way that eliminates the need for large,The continued funding of this CIP allows the City to proactively maintain roofing systems in a systematic way that eliminates the need for large,
capital expenses all at one time.,capital expenses all at one time.,,,,,,
,,,Funding Strategy,Funding Strategy,,,
There has been consistent funding over the past 12 years. This funding has improved the overall condition of roofs across the City.,There has been consistent funding over the past 12 years. This funding has improved the overall condition of roofs across the City.,There has been consistent funding over the past 12 years. This funding has improved the overall condition of roofs across the City.,There has been consistent funding over the past 12 years. This funding has improved the overall condition of roofs across the City.,There has been consistent funding over the past 12 years. This funding has improved the overall condition of roofs across the City.,There has been consistent funding over the past 12 years. This funding has improved the overall condition of roofs across the City.,There has been consistent funding over the past 12 years. This funding has improved the overall condition of roofs across the City.,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
The continued funding of this project minimizes repair expenses due to damages caused by leaking roofs.,The continued funding of this project minimizes repair expenses due to damages caused by leaking roofs.,The continued funding of this project minimizes repair expenses due to damages caused by leaking roofs.,The continued funding of this project minimizes repair expenses due to damages caused by leaking roofs.,The continued funding of this project minimizes repair expenses due to damages caused by leaking roofs.,,,
,Project Map,Project Map,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,,"2,104,022"
,,,Construction,Construction,,07/06 - 06/15,"811,631"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"2,915,653"
,,,,,Means of Financing,Means of Financing,
,,,,,Funding Source,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"2,793,653"
,,,Other - Federal Funding,Other - Federal Funding,,,"122,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"2,915,653"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,95,95,,Capital Improvements,Capital Improvements
