Name: “Table 1 of 1 on page 24 of 108”,Name: “Table 1 of 1 on page 24 of 108”,Name: “Table 1 of 1 on page 24 of 108”,Name: “Table 1 of 1 on page 24 of 108”,Name: “Table 1 of 1 on page 24 of 108”,Name: “Table 1 of 1 on page 24 of 108”,Name: “Table 1 of 1 on page 24 of 108”,Name: “Table 1 of 1 on page 24 of 108”
Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,
,,,,Water,,,
Project: 23007,Title: Lake Kilby Replacement Filters 1-10,Title: Lake Kilby Replacement Filters 1-10,Title: Lake Kilby Replacement Filters 1-10,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference: CC Vision – Neighborhood,Plan Reference: CC Vision – Neighborhood,Plan Reference: CC Vision – Neighborhood,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Lake Kilby Water Treatment Facility,Location: Lake Kilby Water Treatment Facility,Location: Lake Kilby Water Treatment Facility,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"37,600,000","1,600,000",0,"1,000,000","15,000,000","10,000,000","10,000,000",0
,,,Description and Scope,Description and Scope,,,
The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the replacement of filters 1 through 10,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the replacement of filters 1 through 10,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the replacement of filters 1 through 10,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the replacement of filters 1 through 10,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the replacement of filters 1 through 10,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the replacement of filters 1 through 10,The Department of Public Utilities operates the Lake Kilby Water Treatment Facility. This project provides for the replacement of filters 1 through 10,
at the treatment facility with conventional media filters or with membrane technology.,at the treatment facility with conventional media filters or with membrane technology.,at the treatment facility with conventional media filters or with membrane technology.,at the treatment facility with conventional media filters or with membrane technology.,,,,
,,,,Rationale,,,
•Filters 1-4 were constructed in 1947 and filters 5-10 were constructed in 1968. The concrete filter boxes for some of these filters were,•Filters 1-4 were constructed in 1947 and filters 5-10 were constructed in 1968. The concrete filter boxes for some of these filters were,•Filters 1-4 were constructed in 1947 and filters 5-10 were constructed in 1968. The concrete filter boxes for some of these filters were,•Filters 1-4 were constructed in 1947 and filters 5-10 were constructed in 1968. The concrete filter boxes for some of these filters were,•Filters 1-4 were constructed in 1947 and filters 5-10 were constructed in 1968. The concrete filter boxes for some of these filters were,•Filters 1-4 were constructed in 1947 and filters 5-10 were constructed in 1968. The concrete filter boxes for some of these filters were,•Filters 1-4 were constructed in 1947 and filters 5-10 were constructed in 1968. The concrete filter boxes for some of these filters were,
