Name: “Table 1 of 1 on page 45 of 108”,Name: “Table 1 of 1 on page 45 of 108”,Name: “Table 1 of 1 on page 45 of 108”,Name: “Table 1 of 1 on page 45 of 108”,Name: “Table 1 of 1 on page 45 of 108”,Name: “Table 1 of 1 on page 45 of 108”,Name: “Table 1 of 1 on page 45 of 108”,Name: “Table 1 of 1 on page 45 of 108”
Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,Drainage and Street Improvements,Drainage and Street Improvements,Drainage and Street Improvements,,,
Project: 12507,Title: Hope 6 Project - Jeffry Wilson,Title: Hope 6 Project - Jeffry Wilson,,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,,
CIE Project:,Plan Reference:,,,District:,,,
LOS/Concurrency:,"Project Need: Growth, Other","Project Need: Growth, Other",,Location: Undefined,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"2,100,000","2,100,000",0,0,0,0,0,0
,,,Description and Scope,,,,
This project provides supports to Portsmouth’s Redevelopment and Housing Authority’s (PRHA) 2005 HOPE VI Application to revitalize the Jeffry,This project provides supports to Portsmouth’s Redevelopment and Housing Authority’s (PRHA) 2005 HOPE VI Application to revitalize the Jeffry,This project provides supports to Portsmouth’s Redevelopment and Housing Authority’s (PRHA) 2005 HOPE VI Application to revitalize the Jeffry,This project provides supports to Portsmouth’s Redevelopment and Housing Authority’s (PRHA) 2005 HOPE VI Application to revitalize the Jeffry,This project provides supports to Portsmouth’s Redevelopment and Housing Authority’s (PRHA) 2005 HOPE VI Application to revitalize the Jeffry,This project provides supports to Portsmouth’s Redevelopment and Housing Authority’s (PRHA) 2005 HOPE VI Application to revitalize the Jeffry,,
Wilson neighborhood. This project represents the City’s commitment to provide new infrastructure to the site.,Wilson neighborhood. This project represents the City’s commitment to provide new infrastructure to the site.,Wilson neighborhood. This project represents the City’s commitment to provide new infrastructure to the site.,Wilson neighborhood. This project represents the City’s commitment to provide new infrastructure to the site.,Wilson neighborhood. This project represents the City’s commitment to provide new infrastructure to the site.,,,
,,,Rationale,,,,
Revitalization of this neighborhood is key to the overall long-range goal of improving the quality of life for all Portsmouth citizenry and is incorporated,Revitalization of this neighborhood is key to the overall long-range goal of improving the quality of life for all Portsmouth citizenry and is incorporated,Revitalization of this neighborhood is key to the overall long-range goal of improving the quality of life for all Portsmouth citizenry and is incorporated,Revitalization of this neighborhood is key to the overall long-range goal of improving the quality of life for all Portsmouth citizenry and is incorporated,Revitalization of this neighborhood is key to the overall long-range goal of improving the quality of life for all Portsmouth citizenry and is incorporated,Revitalization of this neighborhood is key to the overall long-range goal of improving the quality of life for all Portsmouth citizenry and is incorporated,Revitalization of this neighborhood is key to the overall long-range goal of improving the quality of life for all Portsmouth citizenry and is incorporated,
into the 2025 Comprehensive Plan. The City of Portsmouth ranks fourth on the list of 47 fiscally stressed cities in Virginia. The City’s fiscal,into the 2025 Comprehensive Plan. The City of Portsmouth ranks fourth on the list of 47 fiscally stressed cities in Virginia. The City’s fiscal,into the 2025 Comprehensive Plan. The City of Portsmouth ranks fourth on the list of 47 fiscally stressed cities in Virginia. The City’s fiscal,into the 2025 Comprehensive Plan. The City of Portsmouth ranks fourth on the list of 47 fiscally stressed cities in Virginia. The City’s fiscal,into the 2025 Comprehensive Plan. The City of Portsmouth ranks fourth on the list of 47 fiscally stressed cities in Virginia. The City’s fiscal,into the 2025 Comprehensive Plan. The City of Portsmouth ranks fourth on the list of 47 fiscally stressed cities in Virginia. The City’s fiscal,,
challenges are only heightened by non-tax generating neighborhoods such as Jeffry Wilson and the surrounding development of the area has been,challenges are only heightened by non-tax generating neighborhoods such as Jeffry Wilson and the surrounding development of the area has been,challenges are only heightened by non-tax generating neighborhoods such as Jeffry Wilson and the surrounding development of the area has been,challenges are only heightened by non-tax generating neighborhoods such as Jeffry Wilson and the surrounding development of the area has been,challenges are only heightened by non-tax generating neighborhoods such as Jeffry Wilson and the surrounding development of the area has been,challenges are only heightened by non-tax generating neighborhoods such as Jeffry Wilson and the surrounding development of the area has been,challenges are only heightened by non-tax generating neighborhoods such as Jeffry Wilson and the surrounding development of the area has been,
