Name: “Table 1 of 1 on page 50 of 108”,Name: “Table 1 of 1 on page 50 of 108”,Name: “Table 1 of 1 on page 50 of 108”,Name: “Table 1 of 1 on page 50 of 108”,Name: “Table 1 of 1 on page 50 of 108”,Name: “Table 1 of 1 on page 50 of 108”,Name: “Table 1 of 1 on page 50 of 108”,Name: “Table 1 of 1 on page 50 of 108”
Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,Drainage and Street Improvements,Drainage and Street Improvements,Drainage and Street Improvements,,,
Project: 10109,Title: Pinner's Point Repayment,Title: Pinner's Point Repayment,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,,
CIE Project: N/A,Plan Reference:,,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location:,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"462,000","231,000","77,000","77,000","77,000",0,0,0
,,,Description and Scope,,,,
"The project involved the construction of a highway interchange between the Western Freeway, Martin Luther King Freeway and the Midtown","The project involved the construction of a highway interchange between the Western Freeway, Martin Luther King Freeway and the Midtown","The project involved the construction of a highway interchange between the Western Freeway, Martin Luther King Freeway and the Midtown","The project involved the construction of a highway interchange between the Western Freeway, Martin Luther King Freeway and the Midtown","The project involved the construction of a highway interchange between the Western Freeway, Martin Luther King Freeway and the Midtown","The project involved the construction of a highway interchange between the Western Freeway, Martin Luther King Freeway and the Midtown",,
Tunnel. This was a VDOT managed project and required a 2% local funding match. This project provides the 2% funding of the project as,Tunnel. This was a VDOT managed project and required a 2% local funding match. This project provides the 2% funding of the project as,Tunnel. This was a VDOT managed project and required a 2% local funding match. This project provides the 2% funding of the project as,Tunnel. This was a VDOT managed project and required a 2% local funding match. This project provides the 2% funding of the project as,Tunnel. This was a VDOT managed project and required a 2% local funding match. This project provides the 2% funding of the project as,Tunnel. This was a VDOT managed project and required a 2% local funding match. This project provides the 2% funding of the project as,,
projected by VDOT.,,,,,,,
,,,Rationale,,,,
,,,Funding Strategy,,,,
The city owes up to $24m to state of virginia.Repayment was scheduled to be made from the city share of Urban funding. The city is no longer,The city owes up to $24m to state of virginia.Repayment was scheduled to be made from the city share of Urban funding. The city is no longer,The city owes up to $24m to state of virginia.Repayment was scheduled to be made from the city share of Urban funding. The city is no longer,The city owes up to $24m to state of virginia.Repayment was scheduled to be made from the city share of Urban funding. The city is no longer,The city owes up to $24m to state of virginia.Repayment was scheduled to be made from the city share of Urban funding. The city is no longer,The city owes up to $24m to state of virginia.Repayment was scheduled to be made from the city share of Urban funding. The city is no longer,,
recieving funding for the Urban funding and so far in the last six months has not recieved the bill for repayment of the loan from the State.City,recieving funding for the Urban funding and so far in the last six months has not recieved the bill for repayment of the loan from the State.City,recieving funding for the Urban funding and so far in the last six months has not recieved the bill for repayment of the loan from the State.City,recieving funding for the Urban funding and so far in the last six months has not recieved the bill for repayment of the loan from the State.City,recieving funding for the Urban funding and so far in the last six months has not recieved the bill for repayment of the loan from the State.City,recieving funding for the Urban funding and so far in the last six months has not recieved the bill for repayment of the loan from the State.City,,
Engineer (R.Hartman) to contact state to request a paid in full letter if loan is cancelled if not accounting ought to notate the liability in the city book.,Engineer (R.Hartman) to contact state to request a paid in full letter if loan is cancelled if not accounting ought to notate the liability in the city book.,Engineer (R.Hartman) to contact state to request a paid in full letter if loan is cancelled if not accounting ought to notate the liability in the city book.,Engineer (R.Hartman) to contact state to request a paid in full letter if loan is cancelled if not accounting ought to notate the liability in the city book.,Engineer (R.Hartman) to contact state to request a paid in full letter if loan is cancelled if not accounting ought to notate the liability in the city book.,Engineer (R.Hartman) to contact state to request a paid in full letter if loan is cancelled if not accounting ought to notate the liability in the city book.,Engineer (R.Hartman) to contact state to request a paid in full letter if loan is cancelled if not accounting ought to notate the liability in the city book.,
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Project Management,,,07/09 - 06/17,"462,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"462,000"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"462,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"462,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,50,,,Capital Improvements,Capital Improvements
