Name: “Table 1 of 1 on page 16 of 86”,Name: “Table 1 of 1 on page 16 of 86”,Name: “Table 1 of 1 on page 16 of 86”,Name: “Table 1 of 1 on page 16 of 86”,Name: “Table 1 of 1 on page 16 of 86”,Name: “Table 1 of 1 on page 16 of 86”,Name: “Table 1 of 1 on page 16 of 86”,Name: “Table 1 of 1 on page 16 of 86”,Name: “Table 1 of 1 on page 16 of 86”
Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15
,,,,,,,,
,FY 2012 - FY 2016 Capital Improvement Plan,FY 2012 - FY 2016 Capital Improvement Plan,FY 2012 - FY 2016 Capital Improvement Plan,FY 2012 - FY 2016 Capital Improvement Plan,FY 2012 - FY 2016 Capital Improvement Plan,FY 2012 - FY 2016 Capital Improvement Plan,,
,,Originally,,,Planned,Planned,,
,,Planned,Approved,,,,,
Project Title,Page,FY 2012,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Total
Neighborhood Development,Neighborhood Development,Neighborhood Development,,,,,,
Address Street Flooding,385,"1,500,000","1,500,000","1,500,000","1,500,000",-,-,"4,500,000"
Citywide,,,,,,,,
Create Special Service Areas,386,"250,000","250,000","250,000",-,-,-,"500,000"
Fund Neighborhood,387,"4,000,000","4,000,000","4,000,000","3,000,000","3,000,000","3,000,000","17,000,000"
Conservation/Redevelopment,,,,,,,,
Improve Citywide Dredging and,388,-,-,"300,000","300,000","300,000","300,000","1,200,000"
Waterways,,,,,,,,
Improve Coleman Place,389,"600,000","600,000",-,-,-,-,"600,000"
Neighborhood Streets,,,,,,,,
Improve Neighborhood,390,"600,000","600,000","600,000","600,000","600,000","600,000","3,000,000"
Streets-Major,,,,,,,,
Improve Street Lights,391,"135,000","135,000","135,000","135,000","135,000","135,000","675,000"
Repair Neigh.,392,"500,000","500,000","500,000","500,000","500,000","500,000","2,500,000"
Sts/Sidewalks/Walkways,,,,,,,,
Repair and Maintain Bridges -,393,"400,000","475,000","400,000","400,000","400,000","400,000","2,075,000"
Minor,,,,,,,,
Support Neighbors Building,394,-,"500,000",-,-,-,-,"500,000"
Neighborhoods,,,,,,,,
Implement Broad Creek,395,"1,000,000","1,000,000","1,000,000",-,-,-,"2,000,000"
Neighborhood Plan,,,,,,,,
Improve Fairmount Park,396,"1,850,000","1,850,000","1,850,000","1,850,000","1,850,000",-,"7,400,000"
Infrastructure,,,,,,,,
Support Fairmount Pk/Laf. Blvd.,397,"750,000","750,000","750,000",-,-,-,"1,500,000"
Neigh. Plan,,,,,,,,
Implement Southside,398,"1,000,000","1,000,000","1,000,000",-,-,-,"2,000,000"
Neighborhood Plan,,,,,,,,
Implement Wards Corner,399,"1,000,000","1,000,000","1,000,000",-,-,-,"2,000,000"
Neighborhood Plan,,,,,,,,
Subtotal Neighborhood,,"13,585,000","14,160,000","13,285,000","8,285,000","6,785,000","4,935,000","47,450,000"
Development,,,,,,,,
Public Buildings,,,,,,,,
Design and Construct,401,"19,120,853","19,120,900","6,062,300","39,982,000","3,109,600",-,"68,274,800"
Courthouse Complex,,,,,,,,
Improve HVAC Systems,402,"600,000","440,000","300,000","300,000","300,000","300,000","1,640,000"
Citywide,,,,,,,,
Improve Roof Repair and,403,"982,000","750,000","750,000","750,000","750,000","750,000","3,750,000"
Moisture Protection,,,,,,,,
Resurface Parking Lots,404,-,-,"100,000","100,000","100,000","100,000","400,000"
Subtotal Public Buildings,Subtotal Public Buildings,"20,702,853","20,310,900","7,212,300","41,132,000","4,259,600","1,150,000","74,064,800"
362 - CIP Five-year Plan Summary,362 - CIP Five-year Plan Summary,,,,,,,
