Name: “Table 1 of 1 on page 50 of 86”,Name: “Table 1 of 1 on page 50 of 86”,Name: “Table 1 of 1 on page 50 of 86”,Name: “Table 1 of 1 on page 50 of 86”,Name: “Table 1 of 1 on page 50 of 86”,Name: “Table 1 of 1 on page 50 of 86”,Name: “Table 1 of 1 on page 50 of 86”,Name: “Table 1 of 1 on page 50 of 86”,Name: “Table 1 of 1 on page 50 of 86”
Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49
,,,,,,,,
,Improve Fairmount Park Infrastructure,Improve Fairmount Park Infrastructure,Improve Fairmount Park Infrastructure,Improve Fairmount Park Infrastructure,Improve Fairmount Park Infrastructure,Improve Fairmount Park Infrastructure,,
Department,,,,,Project Description,Project Description,,
Public Works,,,,Provide funds to continue the installation of storm,Provide funds to continue the installation of storm,Provide funds to continue the installation of storm,Provide funds to continue the installation of storm,Provide funds to continue the installation of storm
,,,,"drainage pipes, construction of curbs and gutters, and","drainage pipes, construction of curbs and gutters, and","drainage pipes, construction of curbs and gutters, and","drainage pipes, construction of curbs and gutters, and","drainage pipes, construction of curbs and gutters, and"
Account #,,,,repair or construction of sidewalks which are in poor,repair or construction of sidewalks which are in poor,repair or construction of sidewalks which are in poor,repair or construction of sidewalks which are in poor,repair or construction of sidewalks which are in poor
4000 10 3129,,,,condition.,This project is timed with utility repairs that,This project is timed with utility repairs that,This project is timed with utility repairs that,This project is timed with utility repairs that
,,,,are currently underway.,are currently underway.,This project is part of the,This project is part of the,This project is part of the
Fairmount/Lafayette Blvd.,Fairmount/Lafayette Blvd.,,,Fairmount/Lafayette Boulevard Neighborhood Plan.,Fairmount/Lafayette Boulevard Neighborhood Plan.,Fairmount/Lafayette Boulevard Neighborhood Plan.,Fairmount/Lafayette Boulevard Neighborhood Plan.,Fairmount/Lafayette Boulevard Neighborhood Plan.
Neighborhood Plan,,,,,,,,
Customers Served,Customers Served,,,,,,,
Residents v,Business v,City Services,,,,,,
Educational Community,Educational Community,Tourists/Visitors,,,,,,
,,,Financial Summary,Financial Summary,Financial Summary,,,
,FY 2011,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,TOTAL
FY 2012 Approved,,N/A,"1,850,000","1,850,000","1,850,000","1,850,000",0,"7,400,000"
FY 2011 Approved,"1,850,000","1,850,000","1,850,000","1,850,000","1,850,000","1,850,000",N/A,"9,250,000"
Operating Budget,,N/A,0,0,0,0,0,0
Impact,,,,,,,,
FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,,,,,,
Planning / Design,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,,0,,,,,
Site Improvements,,,"1,850,000",Prior Capital Funding,Prior Capital Funding,,"10,777,500",
Construction,,,0,FY 2012 Approved,FY 2012 Approved,,"1,850,000",
Inspections / Permits,,,0,Capital Share Remaining,Capital Share Remaining,,"5,550,000",
,Total,,"1,850,000",Project Total,Project Total,,"18,177,500",
,,Property Address:,Fairmount Park Area,Fairmount Park Area,,,,
396 - Neighborhood Development CIP,396 - Neighborhood Development CIP,396 - Neighborhood Development CIP,,,,,,
