Name: “Table 1 of 1 on page 52 of 86”,Name: “Table 1 of 1 on page 52 of 86”,Name: “Table 1 of 1 on page 52 of 86”,Name: “Table 1 of 1 on page 52 of 86”,Name: “Table 1 of 1 on page 52 of 86”,Name: “Table 1 of 1 on page 52 of 86”,Name: “Table 1 of 1 on page 52 of 86”,Name: “Table 1 of 1 on page 52 of 86”,Name: “Table 1 of 1 on page 52 of 86”
Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51
,,,,,,,,
,Implement Southside Neighborhood Plan,Implement Southside Neighborhood Plan,Implement Southside Neighborhood Plan,Implement Southside Neighborhood Plan,Implement Southside Neighborhood Plan,Implement Southside Neighborhood Plan,,
Department,,,,,Project Description,Project Description,,
City Planning & Comm. Dev.,City Planning & Comm. Dev.,,,Provide funds to support activities outlined in the,Provide funds to support activities outlined in the,Provide funds to support activities outlined in the,Provide funds to support activities outlined in the,Provide funds to support activities outlined in the
,,,,Southside Neighborhood Plan. Funding for this project,Southside Neighborhood Plan. Funding for this project,Southside Neighborhood Plan. Funding for this project,Southside Neighborhood Plan. Funding for this project,Southside Neighborhood Plan. Funding for this project
Account #,,,,"also supports land acquisition, infrastructure","also supports land acquisition, infrastructure","also supports land acquisition, infrastructure","also supports land acquisition, infrastructure",
4000 15 3098,,,,improvements and for the support of redevelopment,improvements and for the support of redevelopment,improvements and for the support of redevelopment,improvements and for the support of redevelopment,improvements and for the support of redevelopment
,,,,initiatives which allow the strategic revitalization of the,initiatives which allow the strategic revitalization of the,initiatives which allow the strategic revitalization of the,initiatives which allow the strategic revitalization of the,initiatives which allow the strategic revitalization of the
Southside,,,,area in accordance with the Southside Neighborhood,area in accordance with the Southside Neighborhood,area in accordance with the Southside Neighborhood,area in accordance with the Southside Neighborhood,area in accordance with the Southside Neighborhood
Neighborhood Plan,,,,Plan.,,,,
Customers Served,Customers Served,,,,,,,
Residents v,Business v,City Services,,,,,,
Educational Community v,Educational Community v,Tourists/Visitors,,,,,,
,,,Financial Summary,Financial Summary,Financial Summary,,,
,FY 2011,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,TOTAL
FY 2012 Approved,,N/A,"1,000,000","1,000,000",0,0,0,"2,000,000"
FY 2011 Approved,"1,010,000","1,010,000","1,000,000","1,000,000","1,000,000","1,000,000",N/A,"5,010,000"
Operating Budget,,N/A,0,0,0,0,0,0
Impact,,,,,,,,
FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,,,,,,
Planning / Design,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,,0,,,,,
Site Improvements,,,0,Prior Capital Funding,Prior Capital Funding,,"7,550,000",
Construction,,,"1,000,000",FY 2012 Approved,FY 2012 Approved,,"1,000,000",
Inspections / Permits,,,0,Capital Share Remaining,Capital Share Remaining,,"1,000,000",
,Total,,"1,000,000",Project Total,,,"9,550,000",
,,Property Address:,Southside Area,Southside Area,,,,
398 - Neighborhood Development CIP,398 - Neighborhood Development CIP,398 - Neighborhood Development CIP,,,,,,
