Name: “Table 1 of 1 on page 49 of 86”,Name: “Table 1 of 1 on page 49 of 86”,Name: “Table 1 of 1 on page 49 of 86”,Name: “Table 1 of 1 on page 49 of 86”,Name: “Table 1 of 1 on page 49 of 86”,Name: “Table 1 of 1 on page 49 of 86”,Name: “Table 1 of 1 on page 49 of 86”,Name: “Table 1 of 1 on page 49 of 86”,Name: “Table 1 of 1 on page 49 of 86”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,,,,
,Implement Broad Creek Neighborhood Plan,Implement Broad Creek Neighborhood Plan,Implement Broad Creek Neighborhood Plan,Implement Broad Creek Neighborhood Plan,Implement Broad Creek Neighborhood Plan,Implement Broad Creek Neighborhood Plan,,
Department,,,,,Project Description,Project Description,,
City Planning & Comm. Dev.,City Planning & Comm. Dev.,,,"Provide funds for land acquisition, infrastructure","Provide funds for land acquisition, infrastructure","Provide funds for land acquisition, infrastructure","Provide funds for land acquisition, infrastructure",
,,,,improvements and rehabilitation efforts of the Broad,improvements and rehabilitation efforts of the Broad,improvements and rehabilitation efforts of the Broad,improvements and rehabilitation efforts of the Broad,improvements and rehabilitation efforts of the Broad
Account #,,,,"Creek Neighborhood Plan in the Haynes Tract, Douglas","Creek Neighborhood Plan in the Haynes Tract, Douglas","Creek Neighborhood Plan in the Haynes Tract, Douglas","Creek Neighborhood Plan in the Haynes Tract, Douglas","Creek Neighborhood Plan in the Haynes Tract, Douglas"
4000 15 3096,,,,Park and other areas of Broad Creek.,Park and other areas of Broad Creek.,Park and other areas of Broad Creek.,,
Broad Creek,,,,,,,,
Neighborhood Plan,,,,,,,,
Customers Served,Customers Served,,,,,,,
Residents v,Business v,City Services,,,,,,
Educational Community,Educational Community,Tourists/Visitors,,,,,,
,,,Financial Summary,Financial Summary,Financial Summary,,,
,FY 2011,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,TOTAL
FY 2012 Approved,,N/A,"1,000,000","1,000,000",0,0,0,"2,000,000"
FY 2011 Approved,"1,515,000","1,515,000","1,000,000","1,000,000","1,000,000","1,000,000",N/A,"5,515,000"
Operating Budget,,N/A,0,0,0,0,0,0
Impact,,,,,,,,
FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,,,,,,
Planning / Design,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,,0,,,,,
Site Improvements,,,0,Prior Capital Funding,Prior Capital Funding,,"8,570,000",
Construction,,,"1,000,000",FY 2012 Approved,FY 2012 Approved,,"1,000,000",
Inspections / Permits,,,0,Capital Share Remaining,Capital Share Remaining,,"1,000,000",
,Total,,"1,000,000",Project Total,,,"10,570,000",
,,Property Address:,Broad Creek Area,Broad Creek Area,,,,
,,,,,,Neighborhood Development CIP - 395,Neighborhood Development CIP - 395,Neighborhood Development CIP - 395
