Name: “Table 1 of 1 on page 19 of 86”,Name: “Table 1 of 1 on page 19 of 86”,Name: “Table 1 of 1 on page 19 of 86”,Name: “Table 1 of 1 on page 19 of 86”,Name: “Table 1 of 1 on page 19 of 86”,Name: “Table 1 of 1 on page 19 of 86”,Name: “Table 1 of 1 on page 19 of 86”,Name: “Table 1 of 1 on page 19 of 86”,Name: “Table 1 of 1 on page 19 of 86”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,
,,Address School Major Maintenance,Address School Major Maintenance,Address School Major Maintenance,Address School Major Maintenance,Address School Major Maintenance,,
Department,,,,,Project Description,Project Description,Project Description,
Education,,,,Provide City support of major maintenance and repair to,Provide City support of major maintenance and repair to,Provide City support of major maintenance and repair to,Provide City support of major maintenance and repair to,Provide City support of major maintenance and repair to
,,,,school facilities.,Expenditures in this category are to,Expenditures in this category are to,Expenditures in this category are to,Expenditures in this category are to
Account #,,,,"preserve the life of buildings, perform major","preserve the life of buildings, perform major","preserve the life of buildings, perform major","preserve the life of buildings, perform major",
4000 12 3193,,,,preventative maintenance and significant repairs.,preventative maintenance and significant repairs.,preventative maintenance and significant repairs.,preventative maintenance and significant repairs.,Each
,,,,"year, Norfolk Public Schools shall provide a list of","year, Norfolk Public Schools shall provide a list of","year, Norfolk Public Schools shall provide a list of","year, Norfolk Public Schools shall provide a list of",
,,,,planned projects as well as the results of prior year's,planned projects as well as the results of prior year's,planned projects as well as the results of prior year's,planned projects as well as the results of prior year's,planned projects as well as the results of prior year's
,,,,efforts.,,,,
Customers Served,Customers Served,,,,,,,
Residents v,Business,City Services,,,,,,
Educational Community v,Educational Community v,Tourists/Visitors,,,,,,
,,,Financial Summary,Financial Summary,Financial Summary,,,
,FY 2011,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,TOTAL
FY 2012 Approved,,N/A,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","15,000,000"
FY 2011 Approved,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000",N/A,"15,000,000"
Operating Budget,,N/A,0,0,0,0,0,0
Impact,,,,,,,,
FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,,,,,,
Planning / Design,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,,0,,,,,
Site Improvements,,,0,Prior Capital Funding,Prior Capital Funding,,"11,500,000",
Construction,,,"3,000,000",FY 2012 Approved,FY 2012 Approved,,"3,000,000",
Inspections / Permits,,,0,Capital Share Remaining,Capital Share Remaining,,"12,000,000",
,Total,,"3,000,000",Project Total,,,"26,500,000",
,,Property Address:,Citywide,,,,,
,,,,,,,Education CIP - 365,Education CIP - 365
