Name: “Table 1 of 1 on page 33 of 86”,Name: “Table 1 of 1 on page 33 of 86”,Name: “Table 1 of 1 on page 33 of 86”,Name: “Table 1 of 1 on page 33 of 86”,Name: “Table 1 of 1 on page 33 of 86”,Name: “Table 1 of 1 on page 33 of 86”,Name: “Table 1 of 1 on page 33 of 86”,Name: “Table 1 of 1 on page 33 of 86”,Name: “Table 1 of 1 on page 33 of 86”,Name: “Table 1 of 1 on page 33 of 86”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,,,,,,
,,Improve Cultural Facilities (PA),Improve Cultural Facilities (PA),Improve Cultural Facilities (PA),Improve Cultural Facilities (PA),Improve Cultural Facilities (PA),Improve Cultural Facilities (PA),,
Department,,,,,,Project Description,Project Description,Project Description,
"Cultural Fac., Arts & Ent.","Cultural Fac., Arts & Ent.",,,,Provide funds for general improvements and renovation,Provide funds for general improvements and renovation,Provide funds for general improvements and renovation,Provide funds for general improvements and renovation,Provide funds for general improvements and renovation
,,,,,to cultural facilities. Improvements will increase and,to cultural facilities. Improvements will increase and,to cultural facilities. Improvements will increase and,to cultural facilities. Improvements will increase and,to cultural facilities. Improvements will increase and
Account #,,,,,enhance the cultural experience of visitors and,enhance the cultural experience of visitors and,enhance the cultural experience of visitors and,enhance the cultural experience of visitors and,
4000 16 4098,,,,,residents.,Public Amenities funds are used to support,Public Amenities funds are used to support,Public Amenities funds are used to support,Public Amenities funds are used to support
,,,,,this project.,this project.,,,
Customers Served,Customers Served,,,,,,,,
Residents v,Business v,City Services,City Services,,,,,,
Educational Community,Educational Community,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,Financial Summary,Financial Summary,Financial Summary,,,
,FY 2011,FY 2011,FY 2012,,FY 2013,FY 2014,FY 2015,FY 2016,TOTAL
FY 2012 Approved,,N/A,"175,000","175,000","250,000","250,000","250,000","250,000","1,175,000"
FY 2011 Approved,,0,,0,0,0,0,N/A,0
Operating Budget,,N/A,,0,0,0,0,0,0
Impact,,,,,,,,,
FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,,,,,,
Planning / Design,,,0,,,,,,
Acquisition / Relocation,Acquisition / Relocation,,0,,,,,,
Site Improvements,,,0,,Prior Capital Funding,Prior Capital Funding,,"2,323,000",
Construction,,,"175,000",,FY 2012 Approved,FY 2012 Approved,,"175,000",
Inspections / Permits,,,0,,Capital Share Remaining,Capital Share Remaining,,"1,000,000",
,Total,,"175,000",,Project Total,Project Total,,"3,498,000",
,,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,Cultural Facilities CIP - 379,Cultural Facilities CIP - 379
