Name: “Table 1 of 1 on page 51 of 86”,Name: “Table 1 of 1 on page 51 of 86”,Name: “Table 1 of 1 on page 51 of 86”,Name: “Table 1 of 1 on page 51 of 86”,Name: “Table 1 of 1 on page 51 of 86”,Name: “Table 1 of 1 on page 51 of 86”,Name: “Table 1 of 1 on page 51 of 86”,Name: “Table 1 of 1 on page 51 of 86”,Name: “Table 1 of 1 on page 51 of 86”
Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50
,,,,,,,,
,Support Fairmount Pk/Laf. Blvd. Neigh. Plan,Support Fairmount Pk/Laf. Blvd. Neigh. Plan,Support Fairmount Pk/Laf. Blvd. Neigh. Plan,Support Fairmount Pk/Laf. Blvd. Neigh. Plan,Support Fairmount Pk/Laf. Blvd. Neigh. Plan,Support Fairmount Pk/Laf. Blvd. Neigh. Plan,,
Department,,,,,Project Description,Project Description,,
City Planning & Comm. Dev.,City Planning & Comm. Dev.,,,"Provide funds for land acquisition, infrastructure","Provide funds for land acquisition, infrastructure","Provide funds for land acquisition, infrastructure","Provide funds for land acquisition, infrastructure",
,,,,improvements and for the support of redevelopment,improvements and for the support of redevelopment,improvements and for the support of redevelopment,improvements and for the support of redevelopment,improvements and for the support of redevelopment
Account #,,,,initiatives which allow the strategic revitalization of the,initiatives which allow the strategic revitalization of the,initiatives which allow the strategic revitalization of the,initiatives which allow the strategic revitalization of the,initiatives which allow the strategic revitalization of the
4000 15 3177,,,,area in accordance with the Fairmount Park/Lafayette,area in accordance with the Fairmount Park/Lafayette,area in accordance with the Fairmount Park/Lafayette,area in accordance with the Fairmount Park/Lafayette,area in accordance with the Fairmount Park/Lafayette
,,,,Neighborhood Plan.,Neighborhood Plan.,,,
Fairmount/Lafayette Blvd.,Fairmount/Lafayette Blvd.,,,,,,,
Neighborhood Plan,,,,,,,,
Customers Served,Customers Served,,,,,,,
Residents v,Business v,City Services,,,,,,
Educational Community,Educational Community,Tourists/Visitors,,,,,,
,,,Financial Summary,Financial Summary,Financial Summary,,,
,FY 2011,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,TOTAL
FY 2012 Approved,,N/A,"750,000","750,000",0,0,0,"1,500,000"
FY 2011 Approved,,"505,000","750,000","750,000","1,000,000","1,000,000",N/A,"4,005,000"
Operating Budget,,N/A,0,0,0,0,0,0
Impact,,,,,,,,
FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,,,,,,
Planning / Design,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,,0,,,,,
Site Improvements,,,0,Prior Capital Funding,Prior Capital Funding,,"2,165,000",
Construction,,,"750,000",FY 2012 Approved,FY 2012 Approved,,"750,000",
Inspections / Permits,,,0,Capital Share Remaining,Capital Share Remaining,,"750,000",
,Total,,"750,000",Project Total,,,"3,665,000",
,,Property Address:,Fairmount Park/Lafyatte Boulevard,Fairmount Park/Lafyatte Boulevard,Fairmount Park/Lafyatte Boulevard,,,
,,,,,,Neighborhood Development CIP - 397,Neighborhood Development CIP - 397,Neighborhood Development CIP - 397
