Name: “Table 1 of 1 on page 83 of 86”,Name: “Table 1 of 1 on page 83 of 86”,Name: “Table 1 of 1 on page 83 of 86”,Name: “Table 1 of 1 on page 83 of 86”,Name: “Table 1 of 1 on page 83 of 86”,Name: “Table 1 of 1 on page 83 of 86”,Name: “Table 1 of 1 on page 83 of 86”,Name: “Table 1 of 1 on page 83 of 86”,Name: “Table 1 of 1 on page 83 of 86”
Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82
,,,,,,,,
,,,Replace Master Meters,Replace Master Meters,Replace Master Meters,,,
Department,,,,,Project Description,Project Description,,
Water Utility,,,,Provide funds to replace Water Distribution master,Provide funds to replace Water Distribution master,Provide funds to replace Water Distribution master,Provide funds to replace Water Distribution master,Provide funds to replace Water Distribution master
,,,,meters that are no longer being supported by the,meters that are no longer being supported by the,meters that are no longer being supported by the,meters that are no longer being supported by the,meters that are no longer being supported by the
Account #,,,,manufacturer.,,,,
5300 33 4169,,,,,,,,
Customers Served,Customers Served,,,,,,,
Residents v,Business v,City Services,,,,,,
Educational Community,Educational Community,Tourists/Visitors,,,,,,
,,,Financial Summary,Financial Summary,Financial Summary,,,
,FY 2011,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,TOTAL
FY 2012 Approved,,N/A,"100,000","120,000",0,0,0,"220,000"
FY 2011 Approved,,0,0,0,0,0,N/A,0
Operating Budget,,N/A,0,0,0,0,0,0
Impact,,,,,,,,
FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,FY 2012 Anticipated Budget Distribution:,,,,,,
Planning / Design,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,,0,,,,,
Site Improvements,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,,,"100,000",FY 2012 Approved,FY 2012 Approved,,"100,000",
Inspections / Permits,,,0,Capital Share Remaining,Capital Share Remaining,,"120,000",
,Total,,"100,000",Project Total,,,"220,000",
,,Property Address:,,,,,,
,,,,,,,Water Utility CIP - 429,Water Utility CIP - 429
