Name: “Table 1 of 1 on page 63 of 70”,Name: “Table 1 of 1 on page 63 of 70”,Name: “Table 1 of 1 on page 63 of 70”,Name: “Table 1 of 1 on page 63 of 70”,Name: “Table 1 of 1 on page 63 of 70”,Name: “Table 1 of 1 on page 63 of 70”,Name: “Table 1 of 1 on page 63 of 70”,Name: “Table 1 of 1 on page 63 of 70”
Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,Municipal Facilities,,,
Project: 16807,Title: Replacement of HVAC,,,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference:,,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: N/A,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"2,236,052","1,836,052",0,"100,000","100,000","100,000","100,000",0
,,,Description and Scope,Description and Scope,,,
"This project provides the neccesary funding to replace aging Heating, Ventilation and Air Conditioning systems proactively using life cycle cost","This project provides the neccesary funding to replace aging Heating, Ventilation and Air Conditioning systems proactively using life cycle cost","This project provides the neccesary funding to replace aging Heating, Ventilation and Air Conditioning systems proactively using life cycle cost","This project provides the neccesary funding to replace aging Heating, Ventilation and Air Conditioning systems proactively using life cycle cost","This project provides the neccesary funding to replace aging Heating, Ventilation and Air Conditioning systems proactively using life cycle cost","This project provides the neccesary funding to replace aging Heating, Ventilation and Air Conditioning systems proactively using life cycle cost","This project provides the neccesary funding to replace aging Heating, Ventilation and Air Conditioning systems proactively using life cycle cost",
methodology.,,,,,,,
,,,Rationale,Rationale,,,
The continued funding of this project allows for a more reliable and efficient inventory of equipment. Repair cost decrease and reliability increases.,The continued funding of this project allows for a more reliable and efficient inventory of equipment. Repair cost decrease and reliability increases.,The continued funding of this project allows for a more reliable and efficient inventory of equipment. Repair cost decrease and reliability increases.,The continued funding of this project allows for a more reliable and efficient inventory of equipment. Repair cost decrease and reliability increases.,The continued funding of this project allows for a more reliable and efficient inventory of equipment. Repair cost decrease and reliability increases.,The continued funding of this project allows for a more reliable and efficient inventory of equipment. Repair cost decrease and reliability increases.,The continued funding of this project allows for a more reliable and efficient inventory of equipment. Repair cost decrease and reliability increases.,
,,,Funding Strategy,Funding Strategy,,,
In past CIP budgets this project has been funded by GO bonds.,In past CIP budgets this project has been funded by GO bonds.,In past CIP budgets this project has been funded by GO bonds.,,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
Continued funding of this project minimizes repair cost of existing equipment and allows for the installation of more efficient equipment that utilizes,Continued funding of this project minimizes repair cost of existing equipment and allows for the installation of more efficient equipment that utilizes,Continued funding of this project minimizes repair cost of existing equipment and allows for the installation of more efficient equipment that utilizes,Continued funding of this project minimizes repair cost of existing equipment and allows for the installation of more efficient equipment that utilizes,Continued funding of this project minimizes repair cost of existing equipment and allows for the installation of more efficient equipment that utilizes,Continued funding of this project minimizes repair cost of existing equipment and allows for the installation of more efficient equipment that utilizes,Continued funding of this project minimizes repair cost of existing equipment and allows for the installation of more efficient equipment that utilizes,
less energy.,,,,,,,
,Project Map,,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,07/07 - 06/06,"1,411,406"
,,,Construction,Construction,,07/06 - 06/17,"824,646"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"2,236,052"
,,,,,Means of Financing,Means of Financing,
,,,,,Funding Source,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"1,511,782"
,,,Transfer from General Fund,Transfer from General Fund,,,"562,624"
,,,Other - Local Funding,Other - Local Funding,,,"161,646"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"2,236,052"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 63,14 - 63,,Capital Improvements,Capital Improvements
