Name: “Table 1 of 1 on page 9 of 70”,Name: “Table 1 of 1 on page 9 of 70”,Name: “Table 1 of 1 on page 9 of 70”,Name: “Table 1 of 1 on page 9 of 70”,Name: “Table 1 of 1 on page 9 of 70”,Name: “Table 1 of 1 on page 9 of 70”,Name: “Table 1 of 1 on page 9 of 70”,Name: “Table 1 of 1 on page 9 of 70”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Sewer,Sewer,,,
Project: 19507,Title: Sanitary Sewer Overflow Elimination Program,Title: Sanitary Sewer Overflow Elimination Program,Title: Sanitary Sewer Overflow Elimination Program,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference: CC Vision - Neighborhood,Plan Reference: CC Vision - Neighborhood,Plan Reference: CC Vision - Neighborhood,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Citywide,,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"49,600,000","17,100,000","6,857,100","6,857,100","6,857,100","5,964,350","5,964,350",0
,,,Description and Scope,Description and Scope,,,
The objective of this program is to markedly reduce the overflows of sewage caused by the infiltration or inflow of ground or rain water into,The objective of this program is to markedly reduce the overflows of sewage caused by the infiltration or inflow of ground or rain water into,The objective of this program is to markedly reduce the overflows of sewage caused by the infiltration or inflow of ground or rain water into,The objective of this program is to markedly reduce the overflows of sewage caused by the infiltration or inflow of ground or rain water into,The objective of this program is to markedly reduce the overflows of sewage caused by the infiltration or inflow of ground or rain water into,The objective of this program is to markedly reduce the overflows of sewage caused by the infiltration or inflow of ground or rain water into,The objective of this program is to markedly reduce the overflows of sewage caused by the infiltration or inflow of ground or rain water into,
Portsmouth's sanitary sewer system as required by the Federal Clean Water Act and under the conditions of a voluntary consent order negotiated by,Portsmouth's sanitary sewer system as required by the Federal Clean Water Act and under the conditions of a voluntary consent order negotiated by,Portsmouth's sanitary sewer system as required by the Federal Clean Water Act and under the conditions of a voluntary consent order negotiated by,Portsmouth's sanitary sewer system as required by the Federal Clean Water Act and under the conditions of a voluntary consent order negotiated by,Portsmouth's sanitary sewer system as required by the Federal Clean Water Act and under the conditions of a voluntary consent order negotiated by,Portsmouth's sanitary sewer system as required by the Federal Clean Water Act and under the conditions of a voluntary consent order negotiated by,Portsmouth's sanitary sewer system as required by the Federal Clean Water Act and under the conditions of a voluntary consent order negotiated by,
the Hampton Roads localities with the State Department of Environmental Quality.,the Hampton Roads localities with the State Department of Environmental Quality.,the Hampton Roads localities with the State Department of Environmental Quality.,the Hampton Roads localities with the State Department of Environmental Quality.,,,,
,,,Rationale,Rationale,,,
This project is a result of a voluntary consent order with the State Department of Environmental Quality. The capacity of wastewater components,This project is a result of a voluntary consent order with the State Department of Environmental Quality. The capacity of wastewater components,This project is a result of a voluntary consent order with the State Department of Environmental Quality. The capacity of wastewater components,This project is a result of a voluntary consent order with the State Department of Environmental Quality. The capacity of wastewater components,This project is a result of a voluntary consent order with the State Department of Environmental Quality. The capacity of wastewater components,This project is a result of a voluntary consent order with the State Department of Environmental Quality. The capacity of wastewater components,This project is a result of a voluntary consent order with the State Department of Environmental Quality. The capacity of wastewater components,
such as mains and pump stations is finite. Infiltration and inflow of ground or rain water takes up the capacity of these components reserved for,such as mains and pump stations is finite. Infiltration and inflow of ground or rain water takes up the capacity of these components reserved for,such as mains and pump stations is finite. Infiltration and inflow of ground or rain water takes up the capacity of these components reserved for,such as mains and pump stations is finite. Infiltration and inflow of ground or rain water takes up the capacity of these components reserved for,such as mains and pump stations is finite. Infiltration and inflow of ground or rain water takes up the capacity of these components reserved for,such as mains and pump stations is finite. Infiltration and inflow of ground or rain water takes up the capacity of these components reserved for,such as mains and pump stations is finite. Infiltration and inflow of ground or rain water takes up the capacity of these components reserved for,
"wastewater, and can cause sewage overflow. This can result in increased maintenance and capacity costs to customers, and poses a potential","wastewater, and can cause sewage overflow. This can result in increased maintenance and capacity costs to customers, and poses a potential","wastewater, and can cause sewage overflow. This can result in increased maintenance and capacity costs to customers, and poses a potential","wastewater, and can cause sewage overflow. This can result in increased maintenance and capacity costs to customers, and poses a potential","wastewater, and can cause sewage overflow. This can result in increased maintenance and capacity costs to customers, and poses a potential","wastewater, and can cause sewage overflow. This can result in increased maintenance and capacity costs to customers, and poses a potential","wastewater, and can cause sewage overflow. This can result in increased maintenance and capacity costs to customers, and poses a potential",
health risk to the public.,,,,,,,
,,,Funding Strategy,Funding Strategy,,,
"The first step in this program will be to conduct a city-wide Sanitary Sewer System Evaluation Study (SSES) to identify, categorize and prioritize","The first step in this program will be to conduct a city-wide Sanitary Sewer System Evaluation Study (SSES) to identify, categorize and prioritize","The first step in this program will be to conduct a city-wide Sanitary Sewer System Evaluation Study (SSES) to identify, categorize and prioritize","The first step in this program will be to conduct a city-wide Sanitary Sewer System Evaluation Study (SSES) to identify, categorize and prioritize","The first step in this program will be to conduct a city-wide Sanitary Sewer System Evaluation Study (SSES) to identify, categorize and prioritize","The first step in this program will be to conduct a city-wide Sanitary Sewer System Evaluation Study (SSES) to identify, categorize and prioritize","The first step in this program will be to conduct a city-wide Sanitary Sewer System Evaluation Study (SSES) to identify, categorize and prioritize",
"sanitary sewer deficiencies and the necessary actions, phasing, and costs to correct them. This 18-24 month process will be followed by phased,","sanitary sewer deficiencies and the necessary actions, phasing, and costs to correct them. This 18-24 month process will be followed by phased,","sanitary sewer deficiencies and the necessary actions, phasing, and costs to correct them. This 18-24 month process will be followed by phased,","sanitary sewer deficiencies and the necessary actions, phasing, and costs to correct them. This 18-24 month process will be followed by phased,","sanitary sewer deficiencies and the necessary actions, phasing, and costs to correct them. This 18-24 month process will be followed by phased,","sanitary sewer deficiencies and the necessary actions, phasing, and costs to correct them. This 18-24 month process will be followed by phased,","sanitary sewer deficiencies and the necessary actions, phasing, and costs to correct them. This 18-24 month process will be followed by phased,",
multi-year corrective activities. FY2014 will see significant increases due to start up of projects mandated once the SSES is approved.,multi-year corrective activities. FY2014 will see significant increases due to start up of projects mandated once the SSES is approved.,multi-year corrective activities. FY2014 will see significant increases due to start up of projects mandated once the SSES is approved.,multi-year corrective activities. FY2014 will see significant increases due to start up of projects mandated once the SSES is approved.,multi-year corrective activities. FY2014 will see significant increases due to start up of projects mandated once the SSES is approved.,multi-year corrective activities. FY2014 will see significant increases due to start up of projects mandated once the SSES is approved.,multi-year corrective activities. FY2014 will see significant increases due to start up of projects mandated once the SSES is approved.,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
"Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.","Project will reduce the annual maintenance requirements, provide for reliable operations and reduce the potential for sanitary sewage overflows.",
,Project Map,,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Project Management,Project Management,,07/06 - 06/08,"1,850,000"
,,,Design,Design,,07/06 - 06/17,"3,390,000"
,,,Construction,Construction,,07/08 - 06/17,"44,360,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"49,600,000"
,,,,,Means of Financing,Means of Financing,
,,,,,Funding Source,,Amount
,,,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,,"46,962,865"
,,,Transfer from Public Utilities Fund,Transfer from Public Utilities Fund,,,"2,637,135"
