Name: “Table 1 of 1 on page 15 of 70”,Name: “Table 1 of 1 on page 15 of 70”,Name: “Table 1 of 1 on page 15 of 70”,Name: “Table 1 of 1 on page 15 of 70”,Name: “Table 1 of 1 on page 15 of 70”,Name: “Table 1 of 1 on page 15 of 70”,Name: “Table 1 of 1 on page 15 of 70”,Name: “Table 1 of 1 on page 15 of 70”
Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15
,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Water,Water,,,
Project: 21907,Title: Downtown Master Utility Replacement Program,Title: Downtown Master Utility Replacement Program,Title: Downtown Master Utility Replacement Program,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,,Project Location,
CIE Project: N/A,Plan Reference: CC Vision - Neighborhood,Plan Reference: CC Vision - Neighborhood,Plan Reference: CC Vision - Neighborhood,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: Downtown Portsmouth,Location: Downtown Portsmouth,,
,,,Programmed Funding,Programmed Funding,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"29,800,000","16,900,000","1,000,000","3,900,000","4,000,000","4,000,000",0,0
,,,Description and Scope,Description and Scope,,,
The Downtown Area contains some of Portsmouth oldest water and wastewater system components. Replacement of aged and inadequate water,The Downtown Area contains some of Portsmouth oldest water and wastewater system components. Replacement of aged and inadequate water,The Downtown Area contains some of Portsmouth oldest water and wastewater system components. Replacement of aged and inadequate water,The Downtown Area contains some of Portsmouth oldest water and wastewater system components. Replacement of aged and inadequate water,The Downtown Area contains some of Portsmouth oldest water and wastewater system components. Replacement of aged and inadequate water,The Downtown Area contains some of Portsmouth oldest water and wastewater system components. Replacement of aged and inadequate water,,
distribution and wastewater collection and conveyance systems in the Downtown Area are required to support the redevelopment of this critical area,distribution and wastewater collection and conveyance systems in the Downtown Area are required to support the redevelopment of this critical area,distribution and wastewater collection and conveyance systems in the Downtown Area are required to support the redevelopment of this critical area,distribution and wastewater collection and conveyance systems in the Downtown Area are required to support the redevelopment of this critical area,distribution and wastewater collection and conveyance systems in the Downtown Area are required to support the redevelopment of this critical area,distribution and wastewater collection and conveyance systems in the Downtown Area are required to support the redevelopment of this critical area,distribution and wastewater collection and conveyance systems in the Downtown Area are required to support the redevelopment of this critical area,
"as envisioned by the Downtown Strategic Plan prepared by Urban Design Associates. Expected limits of the area are the Elizabeth River on the east,","as envisioned by the Downtown Strategic Plan prepared by Urban Design Associates. Expected limits of the area are the Elizabeth River on the east,","as envisioned by the Downtown Strategic Plan prepared by Urban Design Associates. Expected limits of the area are the Elizabeth River on the east,","as envisioned by the Downtown Strategic Plan prepared by Urban Design Associates. Expected limits of the area are the Elizabeth River on the east,","as envisioned by the Downtown Strategic Plan prepared by Urban Design Associates. Expected limits of the area are the Elizabeth River on the east,","as envisioned by the Downtown Strategic Plan prepared by Urban Design Associates. Expected limits of the area are the Elizabeth River on the east,","as envisioned by the Downtown Strategic Plan prepared by Urban Design Associates. Expected limits of the area are the Elizabeth River on the east,",
"Crawford Parkway on the north, Chestnut Street/Fort Lane on the west, and I-264 on the south.","Crawford Parkway on the north, Chestnut Street/Fort Lane on the west, and I-264 on the south.","Crawford Parkway on the north, Chestnut Street/Fort Lane on the west, and I-264 on the south.","Crawford Parkway on the north, Chestnut Street/Fort Lane on the west, and I-264 on the south.","Crawford Parkway on the north, Chestnut Street/Fort Lane on the west, and I-264 on the south.",,,
,,,Rationale,Rationale,,,
"The average age of these water and wastewater components is 100 years, well beyond their useful life. In order to adequately support the proposed","The average age of these water and wastewater components is 100 years, well beyond their useful life. In order to adequately support the proposed","The average age of these water and wastewater components is 100 years, well beyond their useful life. In order to adequately support the proposed","The average age of these water and wastewater components is 100 years, well beyond their useful life. In order to adequately support the proposed","The average age of these water and wastewater components is 100 years, well beyond their useful life. In order to adequately support the proposed","The average age of these water and wastewater components is 100 years, well beyond their useful life. In order to adequately support the proposed","The average age of these water and wastewater components is 100 years, well beyond their useful life. In order to adequately support the proposed",
"redevelopment, replacement of these components is critical.","redevelopment, replacement of these components is critical.","redevelopment, replacement of these components is critical.",,,,,
,,,Funding Strategy,Funding Strategy,,,
