Name: “Table 1 of 1 on page 27 of 70”,Name: “Table 1 of 1 on page 27 of 70”,Name: “Table 1 of 1 on page 27 of 70”,Name: “Table 1 of 1 on page 27 of 70”,Name: “Table 1 of 1 on page 27 of 70”,Name: “Table 1 of 1 on page 27 of 70”,Name: “Table 1 of 1 on page 27 of 70”,Name: “Table 1 of 1 on page 27 of 70”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,Drainage and Street Improvements,Drainage and Street Improvements,Drainage and Street Improvements,,,
Project: 10009,Title: Churchland Bridge,,,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,,
CIE Project: N/A,Plan Reference:,,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: High Street,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"29,500,000","5,822,697",0,"23,677,303",0,0,0,0
,,,Description and Scope,,,,
This project provides funding to replace the two westbound lanes of the Churchland Bridge with a totally new structure. The funding identified will,This project provides funding to replace the two westbound lanes of the Churchland Bridge with a totally new structure. The funding identified will,This project provides funding to replace the two westbound lanes of the Churchland Bridge with a totally new structure. The funding identified will,This project provides funding to replace the two westbound lanes of the Churchland Bridge with a totally new structure. The funding identified will,This project provides funding to replace the two westbound lanes of the Churchland Bridge with a totally new structure. The funding identified will,This project provides funding to replace the two westbound lanes of the Churchland Bridge with a totally new structure. The funding identified will,,
address the eventual replacement of the bridge. Inspections will continue to be required on an annual basis and may generate the need to fund,address the eventual replacement of the bridge. Inspections will continue to be required on an annual basis and may generate the need to fund,address the eventual replacement of the bridge. Inspections will continue to be required on an annual basis and may generate the need to fund,address the eventual replacement of the bridge. Inspections will continue to be required on an annual basis and may generate the need to fund,address the eventual replacement of the bridge. Inspections will continue to be required on an annual basis and may generate the need to fund,address the eventual replacement of the bridge. Inspections will continue to be required on an annual basis and may generate the need to fund,,
necessary repairs until the total replacement funding is in place.,necessary repairs until the total replacement funding is in place.,necessary repairs until the total replacement funding is in place.,The proposed funding schedule will also allow for the design of replacement plans,The proposed funding schedule will also allow for the design of replacement plans,The proposed funding schedule will also allow for the design of replacement plans,The proposed funding schedule will also allow for the design of replacement plans,
prior to the availability of total funding.,prior to the availability of total funding.,,,,,,
,,,Rationale,,,,
This bridge was originally built as a two lane bridge in 1950 and widened with two additional lanes in 1974. Several of support structures of the,This bridge was originally built as a two lane bridge in 1950 and widened with two additional lanes in 1974. Several of support structures of the,This bridge was originally built as a two lane bridge in 1950 and widened with two additional lanes in 1974. Several of support structures of the,This bridge was originally built as a two lane bridge in 1950 and widened with two additional lanes in 1974. Several of support structures of the,This bridge was originally built as a two lane bridge in 1950 and widened with two additional lanes in 1974. Several of support structures of the,This bridge was originally built as a two lane bridge in 1950 and widened with two additional lanes in 1974. Several of support structures of the,,
original two lane bridge are severely deteriorated to the point that repairs need to be made as soon as possible to avoid a future condition of possible,original two lane bridge are severely deteriorated to the point that repairs need to be made as soon as possible to avoid a future condition of possible,original two lane bridge are severely deteriorated to the point that repairs need to be made as soon as possible to avoid a future condition of possible,original two lane bridge are severely deteriorated to the point that repairs need to be made as soon as possible to avoid a future condition of possible,original two lane bridge are severely deteriorated to the point that repairs need to be made as soon as possible to avoid a future condition of possible,original two lane bridge are severely deteriorated to the point that repairs need to be made as soon as possible to avoid a future condition of possible,original two lane bridge are severely deteriorated to the point that repairs need to be made as soon as possible to avoid a future condition of possible,
failure. Bridges in Virginia are inspected in accordance with National Bridge Inspection Standards (NBIS) and the Virginia Department of,failure. Bridges in Virginia are inspected in accordance with National Bridge Inspection Standards (NBIS) and the Virginia Department of,failure. Bridges in Virginia are inspected in accordance with National Bridge Inspection Standards (NBIS) and the Virginia Department of,failure. Bridges in Virginia are inspected in accordance with National Bridge Inspection Standards (NBIS) and the Virginia Department of,failure. Bridges in Virginia are inspected in accordance with National Bridge Inspection Standards (NBIS) and the Virginia Department of,failure. Bridges in Virginia are inspected in accordance with National Bridge Inspection Standards (NBIS) and the Virginia Department of,,
"Transportation (VDOT). The bridge rating criteria rated the Churchland Bridge as a 4. Bridges are rated on a scale from 0-9, with 0 being a failed","Transportation (VDOT). The bridge rating criteria rated the Churchland Bridge as a 4. Bridges are rated on a scale from 0-9, with 0 being a failed","Transportation (VDOT). The bridge rating criteria rated the Churchland Bridge as a 4. Bridges are rated on a scale from 0-9, with 0 being a failed","Transportation (VDOT). The bridge rating criteria rated the Churchland Bridge as a 4. Bridges are rated on a scale from 0-9, with 0 being a failed","Transportation (VDOT). The bridge rating criteria rated the Churchland Bridge as a 4. Bridges are rated on a scale from 0-9, with 0 being a failed","Transportation (VDOT). The bridge rating criteria rated the Churchland Bridge as a 4. Bridges are rated on a scale from 0-9, with 0 being a failed","Transportation (VDOT). The bridge rating criteria rated the Churchland Bridge as a 4. Bridges are rated on a scale from 0-9, with 0 being a failed",
"condition and 9 being excellent. A four rating means the bridge is in poor condition and requires immediate repairs. Further, this rating has","condition and 9 being excellent. A four rating means the bridge is in poor condition and requires immediate repairs. Further, this rating has","condition and 9 being excellent. A four rating means the bridge is in poor condition and requires immediate repairs. Further, this rating has","condition and 9 being excellent. A four rating means the bridge is in poor condition and requires immediate repairs. Further, this rating has","condition and 9 being excellent. A four rating means the bridge is in poor condition and requires immediate repairs. Further, this rating has","condition and 9 being excellent. A four rating means the bridge is in poor condition and requires immediate repairs. Further, this rating has",,
"mandated that the bridge is inspected once a year as compared to every two years, and a downgrading of the bridge rating would force the City to","mandated that the bridge is inspected once a year as compared to every two years, and a downgrading of the bridge rating would force the City to","mandated that the bridge is inspected once a year as compared to every two years, and a downgrading of the bridge rating would force the City to","mandated that the bridge is inspected once a year as compared to every two years, and a downgrading of the bridge rating would force the City to","mandated that the bridge is inspected once a year as compared to every two years, and a downgrading of the bridge rating would force the City to","mandated that the bridge is inspected once a year as compared to every two years, and a downgrading of the bridge rating would force the City to","mandated that the bridge is inspected once a year as compared to every two years, and a downgrading of the bridge rating would force the City to",
place load limits on crossing vehicles. A replacement bridge will have a minimum of a 50-year service life.,place load limits on crossing vehicles. A replacement bridge will have a minimum of a 50-year service life.,place load limits on crossing vehicles. A replacement bridge will have a minimum of a 50-year service life.,place load limits on crossing vehicles. A replacement bridge will have a minimum of a 50-year service life.,place load limits on crossing vehicles. A replacement bridge will have a minimum of a 50-year service life.,,,
,,,Funding Strategy,,,,
"The total project cost, which has been projected out through FY16, is $29.5 million. At this point in time, no other funding sources have been","The total project cost, which has been projected out through FY16, is $29.5 million. At this point in time, no other funding sources have been","The total project cost, which has been projected out through FY16, is $29.5 million. At this point in time, no other funding sources have been","The total project cost, which has been projected out through FY16, is $29.5 million. At this point in time, no other funding sources have been","The total project cost, which has been projected out through FY16, is $29.5 million. At this point in time, no other funding sources have been","The total project cost, which has been projected out through FY16, is $29.5 million. At this point in time, no other funding sources have been",,
identified. The Engineering Department will continue to research state/federal funding that could be available for this project.,identified. The Engineering Department will continue to research state/federal funding that could be available for this project.,identified. The Engineering Department will continue to research state/federal funding that could be available for this project.,identified. The Engineering Department will continue to research state/federal funding that could be available for this project.,identified. The Engineering Department will continue to research state/federal funding that could be available for this project.,identified. The Engineering Department will continue to research state/federal funding that could be available for this project.,,
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Design,,,07/09 - 06/17,"2,000,000"
,,,Construction,,,07/08 - 06/17,"27,500,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"29,500,000"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"5,822,697"
,,,State-Other Categorical Aid,State-Other Categorical Aid,,,"10,000,000"
