Name: “Table 1 of 1 on page 62 of 70”,Name: “Table 1 of 1 on page 62 of 70”,Name: “Table 1 of 1 on page 62 of 70”,Name: “Table 1 of 1 on page 62 of 70”,Name: “Table 1 of 1 on page 62 of 70”,Name: “Table 1 of 1 on page 62 of 70”,Name: “Table 1 of 1 on page 62 of 70”,Name: “Table 1 of 1 on page 62 of 70”
Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62
,,,,,,,
,,,City of Portsmouth,,,,
,,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,,,,
Project: 17407,Title: Repair of Seawall,Title: Repair of Seawall,,,,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,Project Location,
CIE Project: N/A,Plan Reference:,,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,Location: Downtown Waterfront,Location: Downtown Waterfront,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,
Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
"1,141,158","941,158","40,000","40,000","40,000","40,000","40,000",0
,,,Description and Scope,,,,
Continuous maintenance of the seawall structure,Continuous maintenance of the seawall structure,,,,,,
,,,Rationale,,,,
The waterfront seawall and bulkhead is a major element of the downtown waterfront. This funding is for the seawall's maintenance to ensure safety of,The waterfront seawall and bulkhead is a major element of the downtown waterfront. This funding is for the seawall's maintenance to ensure safety of,The waterfront seawall and bulkhead is a major element of the downtown waterfront. This funding is for the seawall's maintenance to ensure safety of,The waterfront seawall and bulkhead is a major element of the downtown waterfront. This funding is for the seawall's maintenance to ensure safety of,The waterfront seawall and bulkhead is a major element of the downtown waterfront. This funding is for the seawall's maintenance to ensure safety of,The waterfront seawall and bulkhead is a major element of the downtown waterfront. This funding is for the seawall's maintenance to ensure safety of,The waterfront seawall and bulkhead is a major element of the downtown waterfront. This funding is for the seawall's maintenance to ensure safety of,
"citizens and visitors. This maintenance will address the concrete, steel and other materials that are exposed to and impacted by pedestrian and","citizens and visitors. This maintenance will address the concrete, steel and other materials that are exposed to and impacted by pedestrian and","citizens and visitors. This maintenance will address the concrete, steel and other materials that are exposed to and impacted by pedestrian and","citizens and visitors. This maintenance will address the concrete, steel and other materials that are exposed to and impacted by pedestrian and","citizens and visitors. This maintenance will address the concrete, steel and other materials that are exposed to and impacted by pedestrian and","citizens and visitors. This maintenance will address the concrete, steel and other materials that are exposed to and impacted by pedestrian and","citizens and visitors. This maintenance will address the concrete, steel and other materials that are exposed to and impacted by pedestrian and",
"vessel use, weather and the waters of the river.","vessel use, weather and the waters of the river.",,,,,,
,,,Funding Strategy,,,,
,Project Map,,,,Schedule of Activities,Schedule of Activities,
,,,,Project Activities,,From - To,Amount
,,,Project Management,,,07/06 - 06/17,"1,141,158"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"1,141,158"
,,,,,Means of Financing,Means of Financing,
,,,,Funding Source,Funding Source,,Amount
,,,General Obligation Bonds,General Obligation Bonds,,,"937,658"
,,,Transfer from General Fund,Transfer from General Fund,,,"200,000"
,,,Other - Local Funding,,,,"3,500"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"1,141,158"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,,,14 - 62,,,Capital Improvements,Capital Improvements
