Name: “Table 1 of 1 on page 158 of 212”,Name: “Table 1 of 1 on page 158 of 212”,Name: “Table 1 of 1 on page 158 of 212”,Name: “Table 1 of 1 on page 158 of 212”,Name: “Table 1 of 1 on page 158 of 212”,Name: “Table 1 of 1 on page 158 of 212”,Name: “Table 1 of 1 on page 158 of 212”,Name: “Table 1 of 1 on page 158 of 212”
Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158
,,,,,,,
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Accountant IV,Accountant IV,MAP009,"46,289","74,003",1,0,1
Accounting Technician,Accounting Technician,OPS007,"25,622","40,963",2,0,2
Administrative Secretary,Administrative Secretary,OPS009,"29,968","47,912",1,0,1
Assistant Director of Maritime,Assistant Director of Maritime,,,,,,
,,SRM006,"64,848","114,132",2,0,2
Center,Center,,,,,,
Carpenter II,Carpenter II,OPS009,"29,968","47,912",1,0,1
Curator,Curator,MAP007,"40,874","65,345",1,0,1
Director of Maritime Center,Director of Maritime Center,EXE003,"86,070","148,838",1,0,1
Education Specialist,Education Specialist,OPS008,"27,697","44,276",4,0,4
Electrician II,Electrician II,OPS009,"29,968","47,912",2,0,2
Electrician IV,Electrician IV,OPS011,"35,182","56,247",1,0,1
Electronics Technician I,Electronics Technician I,OPS009,"29,968","47,912",1,0,1
Electronics Technician II,Electronics Technician II,OPS010,"32,456","51,882",2,0,2
Enterprise Controller,Enterprise Controller,MAP012,"56,106","89,693",1,0,1
Grants & Development,Grants & Development,,,,,,
,,MAP009,"46,289","74,003",3,0,3
Coordinator,Coordinator,,,,,,
Maintenance Mechanic I,Maintenance Mechanic I,OPS007,"25,622","40,963",1,0,1
Maintenance Mechanic II,Maintenance Mechanic II,OPS008,"27,697","44,276",2,0,2
Maintenance Supervisor I,Maintenance Supervisor I,MAP005,"36,200","57,872",1,0,1
Maintenance Supervisor II,Maintenance Supervisor II,MAP007,"40,874","65,345",1,0,1
Management Analyst III,Management Analyst III,MAP009,"46,289","74,003",1,0,1
Manager of Visitor Marketing,Manager of Visitor Marketing,MAP010,"49,317","78,839",1,0,1
Manager of Visitor Services,Manager of Visitor Services,MAP007,"40,874","65,345",1,0,1
Maritime Operations,Maritime Operations,,,,,,
,,MAP010,"49,317","78,839",1,0,1
Manager,Manager,,,,,,
Plumber III,Plumber III,OPS009,"29,968","47,912",1,0,1
Property Manager,Property Manager,MAP011,"52,582","84,061",1,0,1
Public Relations Specialist,Public Relations Specialist,MAP007,"40,874","65,345",1,0,1
Sales Representative,Sales Representative,MAP006,"38,452","61,471",2,0,2
Senior Exhibits Manager /,Senior Exhibits Manager /,,,,,,
,,MAP008,"43,481","69,509",1,0,1
Designer,Designer,,,,,,
Support Technician,Support Technician,OPS006,"23,724","37,926",1,0,1
Visitor Services Assistant,Visitor Services Assistant,OPS006,"23,724","37,926",6,0,6
Visitor Services Coordinator,Visitor Services Coordinator,OPS009,"29,968","47,912",1,0,1
Visitor Services Specialist,Visitor Services Specialist,MAP004,"34,106","54,524",3,0,3
Welder,Welder,OPS009,"29,968","47,912",1,0,1
Total,Total,,,,50,,50
222,The National Maritime Center,,,,,,
