Name: “Table 1 of 1 on page 44 of 212”,Name: “Table 1 of 1 on page 44 of 212”,Name: “Table 1 of 1 on page 44 of 212”,Name: “Table 1 of 1 on page 44 of 212”,Name: “Table 1 of 1 on page 44 of 212”,Name: “Table 1 of 1 on page 44 of 212”,Name: “Table 1 of 1 on page 44 of 212”,Name: “Table 1 of 1 on page 44 of 212”
Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44
,,,,,,,
Programs & Services,Programs & Services,,,,,,
,,,FY 2010,FY 2011,FY 2011,FY 2012,
,,,Actual,Approved,Approved,Approved,Positions
City Treasurer,City Treasurer,,,,,,
Tax Administration & Collection,Tax Administration & Collection,Tax Administration & Collection,"2,264,098","2,202,700","2,202,700","2,311,600",31
Administer the collection and deposit of current,Administer the collection and deposit of current,Administer the collection and deposit of current,,,,,
and delinquent revenues.,and delinquent revenues.,,,,,,
Total,Total,,"2,264,098","2,202,700","2,202,700","2,311,600",31
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Accountant II - TR,Accountant II - TR,TRO003,"35,182","56,247",3,0,3
Accounting Manager - TR,Accounting Manager - TR,TRO006,"56,106","89,693",1,0,1
Accounting Supervisor - TR,Accounting Supervisor - TR,TRO004,"46,289","74,003",2,0,2
Accounting Technician - TR,Accounting Technician - TR,TRO001,"23,724","37,926",6,0,6
Assistant Treasurer,Assistant Treasurer,TRO007,"59,911","95,776",2,0,2
City Treasurer,City Treasurer,COF011,"82,496","131,169",1,0,1
Customer Service,Customer Service,,,,,,
,,TRO001,"23,724","37,926",2,0,2
Representative-TR,Representative-TR,,,,,,
Division Accounting,Division Accounting,,,,,,
,,TRO005,"49,317","78,839",3,0,3
Supervisor - TR,Supervisor - TR,,,,,,
Security Officer - TR,Security Officer - TR,TRO002,"25,622","40,963",2,0,2
Senior Accounting,Senior Accounting,,,,,,
,,TRO002,"25,622","40,963",9,0,9
Technician - TR,Technician - TR,,,,,,
Total,Total,,,,31,,31
114,City Treasurer,,,,,,
