Name: “Table 1 of 1 on page 190 of 212”,Name: “Table 1 of 1 on page 190 of 212”,Name: “Table 1 of 1 on page 190 of 212”,Name: “Table 1 of 1 on page 190 of 212”,Name: “Table 1 of 1 on page 190 of 212”,Name: “Table 1 of 1 on page 190 of 212”,Name: “Table 1 of 1 on page 190 of 212”,Name: “Table 1 of 1 on page 190 of 212”
Table: 190,Table: 190,Table: 190,Table: 190,Table: 190,Table: 190,Table: 190,Table: 190
,,,,,,,
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Accountant I,Accountant I,OPS010,"32,456","51,882",1,0,1
Accounting Technician,Accounting Technician,OPS007,"25,622","40,963",1,0,1
Administrative Secretary,Administrative Secretary,OPS009,"29,968","47,912",15,0,15
Assistant Chief Of Police,Assistant Chief Of Police,POL007,"100,371","116,399",3,0,3
Chief of Police,Chief of Police,EXE004,"96,312","156,550",1,0,1
Compliance Inspector,Compliance Inspector,OPS011,"35,182","56,247",2,0,2
Custodian,Custodian,OPS002,"17,601","28,140",2,0,2
Fiscal Manager II,Fiscal Manager II,MAP010,"49,317","78,839",1,0,1
Health & Fitness Facilitator,Health & Fitness Facilitator,MAP004,"34,106","54,524",1,0,1
Humane Officer I,Humane Officer I,OPS008,"27,697","44,276",7,0,7
Humane Officer II,Humane Officer II,OPS011,"35,182","56,247",1,0,1
Management Analyst I,Management Analyst I,MAP006,"38,452","61,471",3,0,3
Management Analyst II,Management Analyst II,MAP008,"43,481","69,509",5,0,5
Management Analyst III,Management Analyst III,MAP009,"46,289","74,003",1,0,1
Office Assistant,Office Assistant,OPS003,"18,939","30,279",1,0,1
Operations Manager,Operations Manager,MAP010,"49,317","78,839",1,0,1
Operations Officer I,Operations Officer I,OPS006,"23,724","37,926",17,0,17
Operations Officer II,Operations Officer II,OPS008,"27,697","44,276",13,0,13
Photographic Laboratory,Photographic Laboratory,,,,,,
,,OPS008,"27,697","44,276",1,0,1
Technician,Technician,,,,,,
Police Captain,Police Captain,POL006,"80,656","93,536",11,0,11
Police Corporal,Police Corporal,POL003,"47,720","63,830",2,0,2
Police Identification Clerk,Police Identification Clerk,OPS006,"23,724","37,926",7,0,7
Police Lieutenant,Police Lieutenant,POL005,"70,313","81,382",25,0,25
Police Officer,Police Officer,POL002,"39,390","58,466",578,0,578
Police Recruit,Police Recruit,POL001,"36,500","36,500",28,0,28
Police Sergeant,Police Sergeant,POL004,"55,698","74,559",109,0,109
Program Administrator,Program Administrator,MAP008,"43,481","69,509",1,0,1
Programmer/Analyst III,Programmer/Analyst III,ITM002,"43,682","69,831",1,0,1
Programmer/Analyst IV,Programmer/Analyst IV,ITM003,"46,586","74,474",1,0,1
Programmer/Analyst V,Programmer/Analyst V,ITM005,"53,063","84,826",1,0,1
Public Information Specialist,Public Information Specialist,,,,,,
,,MAP006,"38,452","61,471",1,0,1
II,,,,,,,
Stenographic Reporter II,Stenographic Reporter II,OPS008,"27,697","44,276",3,0,3
Support Technician,Support Technician,OPS006,"23,724","37,926",24,0,24
Total,Total,,,,869,,869
254,Police,,,,,,
