Name: “Table 1 of 1 on page 3 of 212”,Name: “Table 1 of 1 on page 3 of 212”,Name: “Table 1 of 1 on page 3 of 212”,Name: “Table 1 of 1 on page 3 of 212”,Name: “Table 1 of 1 on page 3 of 212”,Name: “Table 1 of 1 on page 3 of 212”,Name: “Table 1 of 1 on page 3 of 212”,Name: “Table 1 of 1 on page 3 of 212”,Name: “Table 1 of 1 on page 3 of 212”,Name: “Table 1 of 1 on page 3 of 212”,Name: “Table 1 of 1 on page 3 of 212”,Name: “Table 1 of 1 on page 3 of 212”,Name: “Table 1 of 1 on page 3 of 212”,Name: “Table 1 of 1 on page 3 of 212”
Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3
,,,,,,,,,,,,,
C ITY C LERK,C ITY C LERK,C ITY C LERK,C ITY C LERK,,,,,,,,,,
MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,,,,,,,,,
The,City,Clerk's,Office,provides,administrative,support,to,the,City,"Council,",records,and,maintains
"proceedings of the City Council, processes records and maintains City deeds, contracts and agreements,","proceedings of the City Council, processes records and maintains City deeds, contracts and agreements,","proceedings of the City Council, processes records and maintains City deeds, contracts and agreements,","proceedings of the City Council, processes records and maintains City deeds, contracts and agreements,","proceedings of the City Council, processes records and maintains City deeds, contracts and agreements,","proceedings of the City Council, processes records and maintains City deeds, contracts and agreements,","proceedings of the City Council, processes records and maintains City deeds, contracts and agreements,","proceedings of the City Council, processes records and maintains City deeds, contracts and agreements,","proceedings of the City Council, processes records and maintains City deeds, contracts and agreements,","proceedings of the City Council, processes records and maintains City deeds, contracts and agreements,","proceedings of the City Council, processes records and maintains City deeds, contracts and agreements,","proceedings of the City Council, processes records and maintains City deeds, contracts and agreements,","proceedings of the City Council, processes records and maintains City deeds, contracts and agreements,","proceedings of the City Council, processes records and maintains City deeds, contracts and agreements,"
"provides records management policies and procedures to departments of the City, provides support to","provides records management policies and procedures to departments of the City, provides support to","provides records management policies and procedures to departments of the City, provides support to","provides records management policies and procedures to departments of the City, provides support to","provides records management policies and procedures to departments of the City, provides support to","provides records management policies and procedures to departments of the City, provides support to","provides records management policies and procedures to departments of the City, provides support to","provides records management policies and procedures to departments of the City, provides support to","provides records management policies and procedures to departments of the City, provides support to","provides records management policies and procedures to departments of the City, provides support to","provides records management policies and procedures to departments of the City, provides support to","provides records management policies and procedures to departments of the City, provides support to","provides records management policies and procedures to departments of the City, provides support to","provides records management policies and procedures to departments of the City, provides support to"
"selected City Council appointed boards, commissions and task forces, and performs such other duties as","selected City Council appointed boards, commissions and task forces, and performs such other duties as","selected City Council appointed boards, commissions and task forces, and performs such other duties as","selected City Council appointed boards, commissions and task forces, and performs such other duties as","selected City Council appointed boards, commissions and task forces, and performs such other duties as","selected City Council appointed boards, commissions and task forces, and performs such other duties as","selected City Council appointed boards, commissions and task forces, and performs such other duties as","selected City Council appointed boards, commissions and task forces, and performs such other duties as","selected City Council appointed boards, commissions and task forces, and performs such other duties as","selected City Council appointed boards, commissions and task forces, and performs such other duties as","selected City Council appointed boards, commissions and task forces, and performs such other duties as","selected City Council appointed boards, commissions and task forces, and performs such other duties as","selected City Council appointed boards, commissions and task forces, and performs such other duties as","selected City Council appointed boards, commissions and task forces, and performs such other duties as"
assigned by City Council.,assigned by City Council.,assigned by City Council.,assigned by City Council.,assigned by City Council.,,,,,,,,,
BUDGET HIGHLIGHTS,BUDGET HIGHLIGHTS,BUDGET HIGHLIGHTS,BUDGET HIGHLIGHTS,BUDGET HIGHLIGHTS,,,,,,,,,
"The total FY 2012 budget for the City Clerk's Office is $1,404,600.","The total FY 2012 budget for the City Clerk's Office is $1,404,600.","The total FY 2012 budget for the City Clerk's Office is $1,404,600.","The total FY 2012 budget for the City Clerk's Office is $1,404,600.","The total FY 2012 budget for the City Clerk's Office is $1,404,600.","The total FY 2012 budget for the City Clerk's Office is $1,404,600.","The total FY 2012 budget for the City Clerk's Office is $1,404,600.","The total FY 2012 budget for the City Clerk's Office is $1,404,600.",,"This is a $28,200 decrease from the FY","This is a $28,200 decrease from the FY","This is a $28,200 decrease from the FY","This is a $28,200 decrease from the FY","This is a $28,200 decrease from the FY"
2011 budget.,2011 budget.,This two percent decrease is attributable to a reduction in promotional expenses and,This two percent decrease is attributable to a reduction in promotional expenses and,This two percent decrease is attributable to a reduction in promotional expenses and,This two percent decrease is attributable to a reduction in promotional expenses and,This two percent decrease is attributable to a reduction in promotional expenses and,This two percent decrease is attributable to a reduction in promotional expenses and,This two percent decrease is attributable to a reduction in promotional expenses and,This two percent decrease is attributable to a reduction in promotional expenses and,This two percent decrease is attributable to a reduction in promotional expenses and,This two percent decrease is attributable to a reduction in promotional expenses and,This two percent decrease is attributable to a reduction in promotional expenses and,This two percent decrease is attributable to a reduction in promotional expenses and
administrative support for the office. The FY 2012 budget includes additional funding for records storage.,administrative support for the office. The FY 2012 budget includes additional funding for records storage.,administrative support for the office. The FY 2012 budget includes additional funding for records storage.,administrative support for the office. The FY 2012 budget includes additional funding for records storage.,administrative support for the office. The FY 2012 budget includes additional funding for records storage.,administrative support for the office. The FY 2012 budget includes additional funding for records storage.,administrative support for the office. The FY 2012 budget includes additional funding for records storage.,administrative support for the office. The FY 2012 budget includes additional funding for records storage.,administrative support for the office. The FY 2012 budget includes additional funding for records storage.,administrative support for the office. The FY 2012 budget includes additional funding for records storage.,administrative support for the office. The FY 2012 budget includes additional funding for records storage.,administrative support for the office. The FY 2012 budget includes additional funding for records storage.,administrative support for the office. The FY 2012 budget includes additional funding for records storage.,administrative support for the office. The FY 2012 budget includes additional funding for records storage.
KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,,,,,,,,,
•,"Serve as a gateway to local government for City Council, citizens, City departments and outside agencies.","Serve as a gateway to local government for City Council, citizens, City departments and outside agencies.","Serve as a gateway to local government for City Council, citizens, City departments and outside agencies.","Serve as a gateway to local government for City Council, citizens, City departments and outside agencies.","Serve as a gateway to local government for City Council, citizens, City departments and outside agencies.","Serve as a gateway to local government for City Council, citizens, City departments and outside agencies.","Serve as a gateway to local government for City Council, citizens, City departments and outside agencies.","Serve as a gateway to local government for City Council, citizens, City departments and outside agencies.","Serve as a gateway to local government for City Council, citizens, City departments and outside agencies.","Serve as a gateway to local government for City Council, citizens, City departments and outside agencies.","Serve as a gateway to local government for City Council, citizens, City departments and outside agencies.","Serve as a gateway to local government for City Council, citizens, City departments and outside agencies.","Serve as a gateway to local government for City Council, citizens, City departments and outside agencies."
•,Provide current and accurate records to the public served.,Provide current and accurate records to the public served.,Provide current and accurate records to the public served.,Provide current and accurate records to the public served.,Provide current and accurate records to the public served.,Provide current and accurate records to the public served.,Provide current and accurate records to the public served.,,,,,,
•,Assist the City Council in its public communications.,Assist the City Council in its public communications.,Assist the City Council in its public communications.,Assist the City Council in its public communications.,Assist the City Council in its public communications.,Assist the City Council in its public communications.,,,,,,,
•,Provide effective and timely delivery of information requested.,Provide effective and timely delivery of information requested.,Provide effective and timely delivery of information requested.,Provide effective and timely delivery of information requested.,Provide effective and timely delivery of information requested.,Provide effective and timely delivery of information requested.,Provide effective and timely delivery of information requested.,,,,,,
•,Plan and execute City Council events professionally and effectively.,Plan and execute City Council events professionally and effectively.,Plan and execute City Council events professionally and effectively.,Plan and execute City Council events professionally and effectively.,Plan and execute City Council events professionally and effectively.,Plan and execute City Council events professionally and effectively.,Plan and execute City Council events professionally and effectively.,Plan and execute City Council events professionally and effectively.,Plan and execute City Council events professionally and effectively.,,,,
•,Provide timely and effective response of the highest quality to City Council.,Provide timely and effective response of the highest quality to City Council.,Provide timely and effective response of the highest quality to City Council.,Provide timely and effective response of the highest quality to City Council.,Provide timely and effective response of the highest quality to City Council.,Provide timely and effective response of the highest quality to City Council.,Provide timely and effective response of the highest quality to City Council.,Provide timely and effective response of the highest quality to City Council.,Provide timely and effective response of the highest quality to City Council.,Provide timely and effective response of the highest quality to City Council.,,,
•,Ensure City Council meetings operate with maximum efficiency.,Ensure City Council meetings operate with maximum efficiency.,Ensure City Council meetings operate with maximum efficiency.,Ensure City Council meetings operate with maximum efficiency.,Ensure City Council meetings operate with maximum efficiency.,Ensure City Council meetings operate with maximum efficiency.,Ensure City Council meetings operate with maximum efficiency.,,,,,,
Expenditure Summary,Expenditure Summary,Expenditure Summary,Expenditure Summary,Expenditure Summary,,,,,,,,,
,,,,,,FY 2009,FY 2009,,FY 2010,FY 2010,FY 2011,,FY 2012
,,,,,,Actual,Actual,,Actual,Actual,Approved,Approved,Approved
Personnel Services,Personnel Services,Personnel Services,Personnel Services,,,"1,062,015","1,062,015",,"1,210,771","1,210,771","1,123,063",,"1,117,657"
"Materials, Supplies & Repairs","Materials, Supplies & Repairs","Materials, Supplies & Repairs","Materials, Supplies & Repairs","Materials, Supplies & Repairs",,"66,095","66,095",,"38,202","38,202","49,520",,"47,440"
Contractual Services,Contractual Services,Contractual Services,Contractual Services,,,"392,629","392,629",,"250,751","250,751","229,569",,"208,869"
Equipment,Equipment,,,,,"23,747","23,747",,"26,618","26,618","30,600",,"30,600"
All Purpose Appropriations,All Purpose Appropriations,All Purpose Appropriations,All Purpose Appropriations,All Purpose Appropriations,,183,183,,,0,48,,34
Total,Total,,,,,"1,544,669","1,544,669",,"1,526,342","1,526,342","1,432,800",,"1,404,600"
,,,,,,,,,,,,City Clerk,73
