Name: “Table 1 of 1 on page 48 of 212”,Name: “Table 1 of 1 on page 48 of 212”,Name: “Table 1 of 1 on page 48 of 212”,Name: “Table 1 of 1 on page 48 of 212”,Name: “Table 1 of 1 on page 48 of 212”,Name: “Table 1 of 1 on page 48 of 212”,Name: “Table 1 of 1 on page 48 of 212”,Name: “Table 1 of 1 on page 48 of 212”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,,,
Expenditure Summary,Expenditure Summary,Expenditure Summary,,,,,
,,,FY 2009,FY 2010,FY 2010,FY 2011,FY 2012
,,,Actual,,Actual,Approved,Approved
Personnel Services,Personnel Services,,"2,422,891","2,296,937","2,296,937","2,321,990","2,461,714"
"Materials, Supplies & Repairs","Materials, Supplies & Repairs",,"146,691",,"63,462","156,891","156,891"
Contractual Services,Contractual Services,,"312,763",,"372,656","230,961","230,961"
Equipment,Equipment,,"33,550",,"36,877","40,000","15,000"
All Purpose Appropriations,All Purpose Appropriations,,"36,058",,"36,000","36,058","36,034"
Total,Total,,"2,951,953","2,805,932","2,805,932","2,785,900","2,900,600"
Programs & Services,Programs & Services,,,,,,
,,,FY 2010,FY 2011,FY 2011,FY 2012,
,,,Actual,Approved,Approved,Approved,Positions
Clerk Of The Circuit Court,Clerk Of The Circuit Court,,,,,,
Circuit Court,Circuit Court,,"2,663,787","2,785,900","2,785,900","2,900,600",50
A court of record having appellate jurisdiction,A court of record having appellate jurisdiction,A court of record having appellate jurisdiction,,,,,
for appeals from the Norfolk General District,for appeals from the Norfolk General District,for appeals from the Norfolk General District,,,,,
Court. The Circuit Court tries all felony cases,Court. The Circuit Court tries all felony cases,Court. The Circuit Court tries all felony cases,,,,,
presented by the Commonwealth's Attorney.,presented by the Commonwealth's Attorney.,presented by the Commonwealth's Attorney.,,,,,
Total,Total,,"2,663,787","2,785,900","2,785,900","2,900,600",50
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Administrative Assistant-CC,Administrative Assistant-CC,CCC005,"35,182","56,247",4,0,4
Cashier-CC,Cashier-CC,CCC002,"25,622","40,963",2,0,2
Chief Deputy Circuit Court,Chief Deputy Circuit Court,CCC009,"64,848","114,132",1,0,1
Clerk of the Circuit Court,Clerk of the Circuit Court,COF011,"82,496","131,169",1,0,1
Comptroller-CC,Comptroller-CC,CCC008,"56,106","89,693",1,0,1
Custodian,Custodian,OPS002,"17,601","28,140",1,0,1
Deputy Clerk I - CC,Deputy Clerk I - CC,CCC001,"23,724","37,926",14,0,14
Deputy Clerk II-CC,Deputy Clerk II-CC,CCC002,"25,622","40,963",9,0,9
Deputy Clerk III-CC,Deputy Clerk III-CC,CCC003,"27,697","44,276",6,0,6
Executive Assistant-CC,Executive Assistant-CC,CCC006,"43,481","69,509",1,0,1
In Court Clerk-CC,In Court Clerk-CC,CCC004,"32,456","51,882",6,0,6
Supervising Deputy Clerk-CC,Supervising Deputy Clerk-CC,CCC007,"52,582","84,061",4,0,4
Total,Total,,,,50,,50
118,Clerk of the Circuit Court,,,,,,
