Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”,Name: “Table 1 of 1 on page 18 of 212”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,,,,,,
BUDGET H IGHLIGHTS,BUDGET H IGHLIGHTS,BUDGET H IGHLIGHTS,BUDGET H IGHLIGHTS,BUDGET H IGHLIGHTS,,,,,,,,,
"The total FY 2012 budget for the Office of Budget and Grants Management is $1,067,700. This is a $26,800","The total FY 2012 budget for the Office of Budget and Grants Management is $1,067,700. This is a $26,800","The total FY 2012 budget for the Office of Budget and Grants Management is $1,067,700. This is a $26,800","The total FY 2012 budget for the Office of Budget and Grants Management is $1,067,700. This is a $26,800","The total FY 2012 budget for the Office of Budget and Grants Management is $1,067,700. This is a $26,800","The total FY 2012 budget for the Office of Budget and Grants Management is $1,067,700. This is a $26,800","The total FY 2012 budget for the Office of Budget and Grants Management is $1,067,700. This is a $26,800","The total FY 2012 budget for the Office of Budget and Grants Management is $1,067,700. This is a $26,800","The total FY 2012 budget for the Office of Budget and Grants Management is $1,067,700. This is a $26,800","The total FY 2012 budget for the Office of Budget and Grants Management is $1,067,700. This is a $26,800","The total FY 2012 budget for the Office of Budget and Grants Management is $1,067,700. This is a $26,800","The total FY 2012 budget for the Office of Budget and Grants Management is $1,067,700. This is a $26,800","The total FY 2012 budget for the Office of Budget and Grants Management is $1,067,700. This is a $26,800","The total FY 2012 budget for the Office of Budget and Grants Management is $1,067,700. This is a $26,800"
increase from the FY 2011 budget.,increase from the FY 2011 budget.,increase from the FY 2011 budget.,increase from the FY 2011 budget.,increase from the FY 2011 budget.,"This 2.6 percent increase is attributable to adjustments in personnel,","This 2.6 percent increase is attributable to adjustments in personnel,","This 2.6 percent increase is attributable to adjustments in personnel,","This 2.6 percent increase is attributable to adjustments in personnel,","This 2.6 percent increase is attributable to adjustments in personnel,","This 2.6 percent increase is attributable to adjustments in personnel,","This 2.6 percent increase is attributable to adjustments in personnel,","This 2.6 percent increase is attributable to adjustments in personnel,","This 2.6 percent increase is attributable to adjustments in personnel,"
reversals in turnover costs and increases in retirement and healthcare costs.,reversals in turnover costs and increases in retirement and healthcare costs.,reversals in turnover costs and increases in retirement and healthcare costs.,reversals in turnover costs and increases in retirement and healthcare costs.,reversals in turnover costs and increases in retirement and healthcare costs.,reversals in turnover costs and increases in retirement and healthcare costs.,reversals in turnover costs and increases in retirement and healthcare costs.,reversals in turnover costs and increases in retirement and healthcare costs.,reversals in turnover costs and increases in retirement and healthcare costs.,reversals in turnover costs and increases in retirement and healthcare costs.,reversals in turnover costs and increases in retirement and healthcare costs.,,,
KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,,,,,,,
•,Work closely with departments and outside agencies to improve efficiencies and maximize the City's,Work closely with departments and outside agencies to improve efficiencies and maximize the City's,Work closely with departments and outside agencies to improve efficiencies and maximize the City's,Work closely with departments and outside agencies to improve efficiencies and maximize the City's,Work closely with departments and outside agencies to improve efficiencies and maximize the City's,Work closely with departments and outside agencies to improve efficiencies and maximize the City's,Work closely with departments and outside agencies to improve efficiencies and maximize the City's,Work closely with departments and outside agencies to improve efficiencies and maximize the City's,Work closely with departments and outside agencies to improve efficiencies and maximize the City's,Work closely with departments and outside agencies to improve efficiencies and maximize the City's,Work closely with departments and outside agencies to improve efficiencies and maximize the City's,Work closely with departments and outside agencies to improve efficiencies and maximize the City's,Work closely with departments and outside agencies to improve efficiencies and maximize the City's
,fiscal integrity.,fiscal integrity.,,,,,,,,,,,
•,Communicate facts about the budget to Norfolk citizens and respond to all inquiries.,Communicate facts about the budget to Norfolk citizens and respond to all inquiries.,Communicate facts about the budget to Norfolk citizens and respond to all inquiries.,Communicate facts about the budget to Norfolk citizens and respond to all inquiries.,Communicate facts about the budget to Norfolk citizens and respond to all inquiries.,Communicate facts about the budget to Norfolk citizens and respond to all inquiries.,Communicate facts about the budget to Norfolk citizens and respond to all inquiries.,Communicate facts about the budget to Norfolk citizens and respond to all inquiries.,Communicate facts about the budget to Norfolk citizens and respond to all inquiries.,Communicate facts about the budget to Norfolk citizens and respond to all inquiries.,,,
