Name: “Table 1 of 1 on page 88 of 212”,Name: “Table 1 of 1 on page 88 of 212”,Name: “Table 1 of 1 on page 88 of 212”,Name: “Table 1 of 1 on page 88 of 212”,Name: “Table 1 of 1 on page 88 of 212”,Name: “Table 1 of 1 on page 88 of 212”,Name: “Table 1 of 1 on page 88 of 212”,Name: “Table 1 of 1 on page 88 of 212”
Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88
,,,,,,,
Department Goals and Measures,Department Goals and Measures,Department Goals and Measures,Department Goals and Measures,,,,
,,Strategic Priority: Public Accountability,Strategic Priority: Public Accountability,Strategic Priority: Public Accountability,Strategic Priority: Public Accountability,,
,,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,Measure,,,,,,Change
,,,Actual,Actual,Approved,Approved,
Number of participants in the Employee,Number of participants in the Employee,Number of participants in the Employee,,,,,
,,,"3,279","3,388","3,379","3,379",0
Retirement System.,Retirement System.,,,,,,
Goal,Goal,,,,,,
"Recommend and implement sound and regulatory compliant Citywide financial and accounting policies,","Recommend and implement sound and regulatory compliant Citywide financial and accounting policies,","Recommend and implement sound and regulatory compliant Citywide financial and accounting policies,","Recommend and implement sound and regulatory compliant Citywide financial and accounting policies,","Recommend and implement sound and regulatory compliant Citywide financial and accounting policies,","Recommend and implement sound and regulatory compliant Citywide financial and accounting policies,","Recommend and implement sound and regulatory compliant Citywide financial and accounting policies,",
"standards, and processes.","standards, and processes.",,,,,,
,,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,Measure,,,,,,Change
,,,Actual,Actual,Approved,Approved,
City investment portfolio effective yield.,City investment portfolio effective yield.,City investment portfolio effective yield.,4.2,0.2,1.8,0.4,-1.4
Goal,Goal,,,,,,
"Oversight, advisement and assistance of procurement policies, processes and procedures compliant with","Oversight, advisement and assistance of procurement policies, processes and procedures compliant with","Oversight, advisement and assistance of procurement policies, processes and procedures compliant with","Oversight, advisement and assistance of procurement policies, processes and procedures compliant with","Oversight, advisement and assistance of procurement policies, processes and procedures compliant with","Oversight, advisement and assistance of procurement policies, processes and procedures compliant with","Oversight, advisement and assistance of procurement policies, processes and procedures compliant with",
"Federal, State and City regulatory requirements; includes all procurement phases, for all levels of the City","Federal, State and City regulatory requirements; includes all procurement phases, for all levels of the City","Federal, State and City regulatory requirements; includes all procurement phases, for all levels of the City","Federal, State and City regulatory requirements; includes all procurement phases, for all levels of the City","Federal, State and City regulatory requirements; includes all procurement phases, for all levels of the City","Federal, State and City regulatory requirements; includes all procurement phases, for all levels of the City","Federal, State and City regulatory requirements; includes all procurement phases, for all levels of the City",
and partner organizations.,and partner organizations.,,,,,,
,,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,Measure,,,,,,Change
,,,Actual,Actual,Approved,Approved,
Number of centralized procurement,Number of centralized procurement,Number of centralized procurement,,,,,
"actions (i.e. purchase orders, requisitions,","actions (i.e. purchase orders, requisitions,","actions (i.e. purchase orders, requisitions,","31,647","33,051","33,000","33,000",0
"contracts, master agreements, etc.)","contracts, master agreements, etc.)","contracts, master agreements, etc.)",,,,,
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Accountant I,Accountant I,OPS010,"32,456","51,882",5,0,5
Accountant II,Accountant II,OPS011,"35,182","56,247",2,0,2
Accountant III,Accountant III,MAP006,"38,452","61,471",1,0,1
Accountant IV,Accountant IV,MAP009,"46,289","74,003",2,0,2
Accountant V,Accountant V,MAP010,"49,317","78,839",1,0,1
Accounting Manager,Accounting Manager,MAP012,"56,106","89,693",1,0,1
Accounting Technician,Accounting Technician,OPS007,"25,622","40,963",1,0,1
Administrative Analyst,Administrative Analyst,MAP008,"43,481","69,509",1,0,1
Administrative Assistant II,Administrative Assistant II,MAP003,"32,158","51,407",2,-1,1
Administrative Secretary,Administrative Secretary,OPS009,"29,968","47,912",1,0,1
Assistant Director of Finance /,Assistant Director of Finance /,,,,,,
,,SRM006,"64,848","114,132",1,0,1
City Controller,City Controller,,,,,,
Buyer I,Buyer I,OPS010,"32,456","51,882",1,-1,0
Buyer II,Buyer II,OPS013,"41,454","66,273",3,-3,0
Cash & Investments Analyst,Cash & Investments Analyst,MAP008,"43,481","69,509",1,0,1
Collection Coordinator,Collection Coordinator,MAP005,"36,200","57,872",1,0,1
Debt Management Specialist,Debt Management Specialist,MAP010,"49,317","78,839",1,0,1
158,Finance,,,,,,
