Name: “Table 1 of 1 on page 4 of 212”,Name: “Table 1 of 1 on page 4 of 212”,Name: “Table 1 of 1 on page 4 of 212”,Name: “Table 1 of 1 on page 4 of 212”,Name: “Table 1 of 1 on page 4 of 212”,Name: “Table 1 of 1 on page 4 of 212”,Name: “Table 1 of 1 on page 4 of 212”,Name: “Table 1 of 1 on page 4 of 212”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,,,,
Programs & Services,Programs & Services,,,,,,
,,,FY 2010,FY 2011,FY 2011,FY 2012,
,,,Actual,Approved,Approved,Approved,Positions
Records Management,Records Management,,,,,,
Records Management,Records Management,,"208,862",,"213,407","228,890",3
Manage the City's records based upon the,Manage the City's records based upon the,Manage the City's records based upon the,,,,,
purpose for which they were created as,purpose for which they were created as,purpose for which they were created as,,,,,
"efficiently and effectively as possible, and make","efficiently and effectively as possible, and make","efficiently and effectively as possible, and make",,,,,
proper disposition of them after they have,proper disposition of them after they have,proper disposition of them after they have,,,,,
served those purposes.,served those purposes.,,,,,,
City Clerk,City Clerk,,,,,,
Administrative Support To City Council,Administrative Support To City Council,Administrative Support To City Council,"1,317,479","1,219,393","1,219,393","1,175,710",11
Arrange for the recordation and preservation of,Arrange for the recordation and preservation of,Arrange for the recordation and preservation of,,,,,
"City Council proceedings including ordinances,","City Council proceedings including ordinances,","City Council proceedings including ordinances,",,,,,
"resolutions and other records such as contracts,","resolutions and other records such as contracts,","resolutions and other records such as contracts,",,,,,
amendments and lease agreements. Provide,amendments and lease agreements. Provide,amendments and lease agreements. Provide,,,,,
staff support to the City Council and Mayor's,staff support to the City Council and Mayor's,staff support to the City Council and Mayor's,,,,,
Office.,Office.,,,,,,
Total,Total,,"1,526,342","1,432,800","1,432,800","1,404,600",14
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Chief Deputy City Clerk,Chief Deputy City Clerk,MAP011,"52,582","84,061",1,0,1
City Clerk,City Clerk,CCA002,"73,725","129,756",1,0,1
Deputy City Clerk /,Deputy City Clerk /,,,,,,
,,MAP010,"49,317","78,839",1,0,1
Administrative Analyst I,Administrative Analyst I,,,,,,
Deputy City Clerk / Executive,Deputy City Clerk / Executive,,,,,,
,,EXE001,"65,443","113,028",1,0,1
Assistant to the Mayor,Assistant to the Mayor,,,,,,
Deputy City Clerk / Secretary,Deputy City Clerk / Secretary,OPS010,"32,456","51,882",3,0,3
Deputy City Clerk / Secretary,Deputy City Clerk / Secretary,,,,,,
,,OPS013,"41,454","66,273",1,0,1
to the Mayor,to the Mayor,,,,,,
Deputy City Clerk / Senior,Deputy City Clerk / Senior,,,,,,
,,OPS011,"35,182","56,247",1,0,1
Secretary,Secretary,,,,,,
Deputy City Clerk /,Deputy City Clerk /,,,,,,
,,OPS009,"29,968","47,912",2,0,2
Stenographic Reporter,Stenographic Reporter,,,,,,
Micrographics Technician,Micrographics Technician,OPS005,"21,987","35,150",1,0,1
Records & Information Clerk,Records & Information Clerk,OPS005,"21,987","35,150",1,0,1
Records Administrator,Records Administrator,MAP008,"43,481","69,509",1,0,1
Total,Total,,,,14,,14
74,City Clerk,,,,,,
