Name: “Table 1 of 1 on page 174 of 212”,Name: “Table 1 of 1 on page 174 of 212”,Name: “Table 1 of 1 on page 174 of 212”,Name: “Table 1 of 1 on page 174 of 212”,Name: “Table 1 of 1 on page 174 of 212”,Name: “Table 1 of 1 on page 174 of 212”,Name: “Table 1 of 1 on page 174 of 212”,Name: “Table 1 of 1 on page 174 of 212”
Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174
,,,,,,,
Department Goals and Measures,Department Goals and Measures,Department Goals and Measures,,,,,
,,Strategic Priority: Community Building,Strategic Priority: Community Building,Strategic Priority: Community Building,,,
Communicable disease control and,Communicable disease control and,,,,,,
,,,"23,000","23,000","23,000","23,000",0
immunizations.,immunizations.,,,,,,
"Health services (dental, child health,","Health services (dental, child health,",,,,,,
,,,"18,700","18,700","18,000","18,000",0
"family planning, adult health) at four sites.","family planning, adult health) at four sites.",,,,,,
Goal,Goal,,,,,,
"Provides nursing and child health services through screenings, examinations, surveillance, counseling,","Provides nursing and child health services through screenings, examinations, surveillance, counseling,","Provides nursing and child health services through screenings, examinations, surveillance, counseling,","Provides nursing and child health services through screenings, examinations, surveillance, counseling,","Provides nursing and child health services through screenings, examinations, surveillance, counseling,","Provides nursing and child health services through screenings, examinations, surveillance, counseling,","Provides nursing and child health services through screenings, examinations, surveillance, counseling,",
skilled nursing services to school children and reduction of chronic or acute health problems of children.,skilled nursing services to school children and reduction of chronic or acute health problems of children.,skilled nursing services to school children and reduction of chronic or acute health problems of children.,skilled nursing services to school children and reduction of chronic or acute health problems of children.,skilled nursing services to school children and reduction of chronic or acute health problems of children.,skilled nursing services to school children and reduction of chronic or acute health problems of children.,skilled nursing services to school children and reduction of chronic or acute health problems of children.,
,,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,Measure,,,,,,Change
,,,Actual,Actual,Approved,Approved,
Services to school age children in each,Services to school age children in each,,,,,,
,,,"348,000","348,000","349,000","349,000",0
school site.,school site.,,,,,,
Goal,Goal,,,,,,
Provides cooperative extension services for urban horticulture and youth development.,Provides cooperative extension services for urban horticulture and youth development.,Provides cooperative extension services for urban horticulture and youth development.,Provides cooperative extension services for urban horticulture and youth development.,Provides cooperative extension services for urban horticulture and youth development.,Provides cooperative extension services for urban horticulture and youth development.,Provides cooperative extension services for urban horticulture and youth development.,
,,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,Measure,,,,,,Change
,,,Actual,Actual,Approved,Approved,
"Cooperative extension services, Master","Cooperative extension services, Master",,,,,,
,,,"6,500","6,500","6,000","6,000",0
Gardeners and 4H services.,Gardeners and 4H services.,,,,,,
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Environmental Health,Environmental Health,,,,,,
,,OPS004,"20,397","32,611",4,0,4
Assistant I,Assistant I,,,,,,
Environmental Health,Environmental Health,,,,,,
,,OPS005,"21,987","35,150",1,0,1
Assistant II,Assistant II,,,,,,
Licensed Practical Nurse,Licensed Practical Nurse,OPS007,"25,622","40,963",1,0,1
Public Health Aide,Public Health Aide,OPS004,"20,397","32,611",4,0,4
Refuse Inspector,Refuse Inspector,OPS009,"29,968","47,912",2,0,2
Registered Nurse,Registered Nurse,MAP005,"36,200","57,872",22,0,22
Total,Total,,,,34,,34
238,Public Health,,,,,,
