Name: “Table 1 of 1 on page 193 of 212”,Name: “Table 1 of 1 on page 193 of 212”,Name: “Table 1 of 1 on page 193 of 212”,Name: “Table 1 of 1 on page 193 of 212”,Name: “Table 1 of 1 on page 193 of 212”,Name: “Table 1 of 1 on page 193 of 212”,Name: “Table 1 of 1 on page 193 of 212”,Name: “Table 1 of 1 on page 193 of 212”,Name: “Table 1 of 1 on page 193 of 212”,Name: “Table 1 of 1 on page 193 of 212”,Name: “Table 1 of 1 on page 193 of 212”,Name: “Table 1 of 1 on page 193 of 212”
Table: 193,Table: 193,Table: 193,Table: 193,Table: 193,Table: 193,Table: 193,Table: 193,Table: 193,Table: 193,Table: 193,Table: 193
,,,,,,,,,,,
•,"Deploy the first fire unit to the scene of all fires and medical emergencies in four minutes or less, 90","Deploy the first fire unit to the scene of all fires and medical emergencies in four minutes or less, 90","Deploy the first fire unit to the scene of all fires and medical emergencies in four minutes or less, 90","Deploy the first fire unit to the scene of all fires and medical emergencies in four minutes or less, 90","Deploy the first fire unit to the scene of all fires and medical emergencies in four minutes or less, 90","Deploy the first fire unit to the scene of all fires and medical emergencies in four minutes or less, 90","Deploy the first fire unit to the scene of all fires and medical emergencies in four minutes or less, 90","Deploy the first fire unit to the scene of all fires and medical emergencies in four minutes or less, 90","Deploy the first fire unit to the scene of all fires and medical emergencies in four minutes or less, 90","Deploy the first fire unit to the scene of all fires and medical emergencies in four minutes or less, 90","Deploy the first fire unit to the scene of all fires and medical emergencies in four minutes or less, 90"
,percent of the time.,percent of the time.,percent of the time.,,,,,,,,
•,"Deploy the balance of a first alarm assignment to the scene of a fire in eight minutes or less, 90 percent of","Deploy the balance of a first alarm assignment to the scene of a fire in eight minutes or less, 90 percent of","Deploy the balance of a first alarm assignment to the scene of a fire in eight minutes or less, 90 percent of","Deploy the balance of a first alarm assignment to the scene of a fire in eight minutes or less, 90 percent of","Deploy the balance of a first alarm assignment to the scene of a fire in eight minutes or less, 90 percent of","Deploy the balance of a first alarm assignment to the scene of a fire in eight minutes or less, 90 percent of","Deploy the balance of a first alarm assignment to the scene of a fire in eight minutes or less, 90 percent of","Deploy the balance of a first alarm assignment to the scene of a fire in eight minutes or less, 90 percent of","Deploy the balance of a first alarm assignment to the scene of a fire in eight minutes or less, 90 percent of","Deploy the balance of a first alarm assignment to the scene of a fire in eight minutes or less, 90 percent of","Deploy the balance of a first alarm assignment to the scene of a fire in eight minutes or less, 90 percent of"
,the time.,the time.,,,,,,,,,
•,"Deploy an ambulance to the scene of a life-threatening medical emergency in eight minutes or less, 90","Deploy an ambulance to the scene of a life-threatening medical emergency in eight minutes or less, 90","Deploy an ambulance to the scene of a life-threatening medical emergency in eight minutes or less, 90","Deploy an ambulance to the scene of a life-threatening medical emergency in eight minutes or less, 90","Deploy an ambulance to the scene of a life-threatening medical emergency in eight minutes or less, 90","Deploy an ambulance to the scene of a life-threatening medical emergency in eight minutes or less, 90","Deploy an ambulance to the scene of a life-threatening medical emergency in eight minutes or less, 90","Deploy an ambulance to the scene of a life-threatening medical emergency in eight minutes or less, 90","Deploy an ambulance to the scene of a life-threatening medical emergency in eight minutes or less, 90","Deploy an ambulance to the scene of a life-threatening medical emergency in eight minutes or less, 90","Deploy an ambulance to the scene of a life-threatening medical emergency in eight minutes or less, 90"
,percent of the time.,percent of the time.,percent of the time.,,,,,,,,
•,"Contain structure fires to the area, room, or structure of origin, 90 percent of the time.","Contain structure fires to the area, room, or structure of origin, 90 percent of the time.","Contain structure fires to the area, room, or structure of origin, 90 percent of the time.","Contain structure fires to the area, room, or structure of origin, 90 percent of the time.","Contain structure fires to the area, room, or structure of origin, 90 percent of the time.","Contain structure fires to the area, room, or structure of origin, 90 percent of the time.","Contain structure fires to the area, room, or structure of origin, 90 percent of the time.","Contain structure fires to the area, room, or structure of origin, 90 percent of the time.","Contain structure fires to the area, room, or structure of origin, 90 percent of the time.","Contain structure fires to the area, room, or structure of origin, 90 percent of the time.",
•,"Provide fire and life safety inspections and enforce fire, life safety, and environmental codes.","Provide fire and life safety inspections and enforce fire, life safety, and environmental codes.","Provide fire and life safety inspections and enforce fire, life safety, and environmental codes.","Provide fire and life safety inspections and enforce fire, life safety, and environmental codes.","Provide fire and life safety inspections and enforce fire, life safety, and environmental codes.","Provide fire and life safety inspections and enforce fire, life safety, and environmental codes.","Provide fire and life safety inspections and enforce fire, life safety, and environmental codes.","Provide fire and life safety inspections and enforce fire, life safety, and environmental codes.","Provide fire and life safety inspections and enforce fire, life safety, and environmental codes.","Provide fire and life safety inspections and enforce fire, life safety, and environmental codes.",
