Name: “Table 1 of 1 on page 140 of 212”,Name: “Table 1 of 1 on page 140 of 212”,Name: “Table 1 of 1 on page 140 of 212”,Name: “Table 1 of 1 on page 140 of 212”,Name: “Table 1 of 1 on page 140 of 212”,Name: “Table 1 of 1 on page 140 of 212”,Name: “Table 1 of 1 on page 140 of 212”,Name: “Table 1 of 1 on page 140 of 212”,Name: “Table 1 of 1 on page 140 of 212”,Name: “Table 1 of 1 on page 140 of 212”,Name: “Table 1 of 1 on page 140 of 212”,Name: “Table 1 of 1 on page 140 of 212”,Name: “Table 1 of 1 on page 140 of 212”,Name: “Table 1 of 1 on page 140 of 212”
Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140
,,,,,,,,,,,,,
KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,KEY GOALS AND O BJECTIVES,,,,,,,,
•,Continue to build and strengthen the NPL Volunteer Program.,Continue to build and strengthen the NPL Volunteer Program.,Continue to build and strengthen the NPL Volunteer Program.,Continue to build and strengthen the NPL Volunteer Program.,Continue to build and strengthen the NPL Volunteer Program.,Continue to build and strengthen the NPL Volunteer Program.,Continue to build and strengthen the NPL Volunteer Program.,,,,,,
•,"Manage the book collection by concentrating on the most popular and needed materials, particularly","Manage the book collection by concentrating on the most popular and needed materials, particularly","Manage the book collection by concentrating on the most popular and needed materials, particularly","Manage the book collection by concentrating on the most popular and needed materials, particularly","Manage the book collection by concentrating on the most popular and needed materials, particularly","Manage the book collection by concentrating on the most popular and needed materials, particularly","Manage the book collection by concentrating on the most popular and needed materials, particularly","Manage the book collection by concentrating on the most popular and needed materials, particularly","Manage the book collection by concentrating on the most popular and needed materials, particularly","Manage the book collection by concentrating on the most popular and needed materials, particularly","Manage the book collection by concentrating on the most popular and needed materials, particularly","Manage the book collection by concentrating on the most popular and needed materials, particularly","Manage the book collection by concentrating on the most popular and needed materials, particularly"
,student,homework,and,early,literacy,materials;,continue,to,weed,the,existing,library,"collections,"
,replacing core items.,replacing core items.,,,,,,,,,,,
•,Continue to develop and enhance NPL staff training.,Continue to develop and enhance NPL staff training.,Continue to develop and enhance NPL staff training.,Continue to develop and enhance NPL staff training.,Continue to develop and enhance NPL staff training.,Continue to develop and enhance NPL staff training.,Continue to develop and enhance NPL staff training.,,,,,,
•,Actively provide quality programs to educate parents in the concept of early literacy. Assist parents to be,Actively provide quality programs to educate parents in the concept of early literacy. Assist parents to be,Actively provide quality programs to educate parents in the concept of early literacy. Assist parents to be,Actively provide quality programs to educate parents in the concept of early literacy. Assist parents to be,Actively provide quality programs to educate parents in the concept of early literacy. Assist parents to be,Actively provide quality programs to educate parents in the concept of early literacy. Assist parents to be,Actively provide quality programs to educate parents in the concept of early literacy. Assist parents to be,Actively provide quality programs to educate parents in the concept of early literacy. Assist parents to be,Actively provide quality programs to educate parents in the concept of early literacy. Assist parents to be,Actively provide quality programs to educate parents in the concept of early literacy. Assist parents to be,Actively provide quality programs to educate parents in the concept of early literacy. Assist parents to be,Actively provide quality programs to educate parents in the concept of early literacy. Assist parents to be,Actively provide quality programs to educate parents in the concept of early literacy. Assist parents to be
,their child's first teacher and help prepare children to enter school ready to read.,their child's first teacher and help prepare children to enter school ready to read.,their child's first teacher and help prepare children to enter school ready to read.,their child's first teacher and help prepare children to enter school ready to read.,their child's first teacher and help prepare children to enter school ready to read.,their child's first teacher and help prepare children to enter school ready to read.,their child's first teacher and help prepare children to enter school ready to read.,their child's first teacher and help prepare children to enter school ready to read.,their child's first teacher and help prepare children to enter school ready to read.,their child's first teacher and help prepare children to enter school ready to read.,their child's first teacher and help prepare children to enter school ready to read.,,
•,"Continue to make KidZones, Early Childhood Learning Environments welcoming, dynamic destinations","Continue to make KidZones, Early Childhood Learning Environments welcoming, dynamic destinations","Continue to make KidZones, Early Childhood Learning Environments welcoming, dynamic destinations","Continue to make KidZones, Early Childhood Learning Environments welcoming, dynamic destinations","Continue to make KidZones, Early Childhood Learning Environments welcoming, dynamic destinations","Continue to make KidZones, Early Childhood Learning Environments welcoming, dynamic destinations","Continue to make KidZones, Early Childhood Learning Environments welcoming, dynamic destinations","Continue to make KidZones, Early Childhood Learning Environments welcoming, dynamic destinations","Continue to make KidZones, Early Childhood Learning Environments welcoming, dynamic destinations","Continue to make KidZones, Early Childhood Learning Environments welcoming, dynamic destinations","Continue to make KidZones, Early Childhood Learning Environments welcoming, dynamic destinations","Continue to make KidZones, Early Childhood Learning Environments welcoming, dynamic destinations","Continue to make KidZones, Early Childhood Learning Environments welcoming, dynamic destinations"
,where families can connect through play.,where families can connect through play.,where families can connect through play.,where families can connect through play.,where families can connect through play.,,,,,,,,
•,Expand the opportunities for teen involvement in the library through volunteerism and programs.,Expand the opportunities for teen involvement in the library through volunteerism and programs.,Expand the opportunities for teen involvement in the library through volunteerism and programs.,Expand the opportunities for teen involvement in the library through volunteerism and programs.,Expand the opportunities for teen involvement in the library through volunteerism and programs.,Expand the opportunities for teen involvement in the library through volunteerism and programs.,Expand the opportunities for teen involvement in the library through volunteerism and programs.,Expand the opportunities for teen involvement in the library through volunteerism and programs.,Expand the opportunities for teen involvement in the library through volunteerism and programs.,Expand the opportunities for teen involvement in the library through volunteerism and programs.,Expand the opportunities for teen involvement in the library through volunteerism and programs.,Expand the opportunities for teen involvement in the library through volunteerism and programs.,Expand the opportunities for teen involvement in the library through volunteerism and programs.
,"Continue to encourage teens to participate in system-wide programs such as ""Teen Tech Week"" and","Continue to encourage teens to participate in system-wide programs such as ""Teen Tech Week"" and","Continue to encourage teens to participate in system-wide programs such as ""Teen Tech Week"" and","Continue to encourage teens to participate in system-wide programs such as ""Teen Tech Week"" and","Continue to encourage teens to participate in system-wide programs such as ""Teen Tech Week"" and","Continue to encourage teens to participate in system-wide programs such as ""Teen Tech Week"" and","Continue to encourage teens to participate in system-wide programs such as ""Teen Tech Week"" and","Continue to encourage teens to participate in system-wide programs such as ""Teen Tech Week"" and","Continue to encourage teens to participate in system-wide programs such as ""Teen Tech Week"" and","Continue to encourage teens to participate in system-wide programs such as ""Teen Tech Week"" and","Continue to encourage teens to participate in system-wide programs such as ""Teen Tech Week"" and","Continue to encourage teens to participate in system-wide programs such as ""Teen Tech Week"" and","Continue to encourage teens to participate in system-wide programs such as ""Teen Tech Week"" and"
,"""Teen Read Week.""","""Teen Read Week.""",,,,,,,,,,,
•,"Continue to offer Youth Services training on key topics - Babygarten, Family Place, Storytime, Child","Continue to offer Youth Services training on key topics - Babygarten, Family Place, Storytime, Child","Continue to offer Youth Services training on key topics - Babygarten, Family Place, Storytime, Child","Continue to offer Youth Services training on key topics - Babygarten, Family Place, Storytime, Child","Continue to offer Youth Services training on key topics - Babygarten, Family Place, Storytime, Child","Continue to offer Youth Services training on key topics - Babygarten, Family Place, Storytime, Child","Continue to offer Youth Services training on key topics - Babygarten, Family Place, Storytime, Child","Continue to offer Youth Services training on key topics - Babygarten, Family Place, Storytime, Child","Continue to offer Youth Services training on key topics - Babygarten, Family Place, Storytime, Child","Continue to offer Youth Services training on key topics - Babygarten, Family Place, Storytime, Child","Continue to offer Youth Services training on key topics - Babygarten, Family Place, Storytime, Child","Continue to offer Youth Services training on key topics - Babygarten, Family Place, Storytime, Child","Continue to offer Youth Services training on key topics - Babygarten, Family Place, Storytime, Child"
,"Development, Early Literacy, and Children's Literature.","Development, Early Literacy, and Children's Literature.","Development, Early Literacy, and Children's Literature.","Development, Early Literacy, and Children's Literature.","Development, Early Literacy, and Children's Literature.","Development, Early Literacy, and Children's Literature.","Development, Early Literacy, and Children's Literature.",,,,,,
•,Continue to provide training in customer service and code of conduct to all staff.,Continue to provide training in customer service and code of conduct to all staff.,Continue to provide training in customer service and code of conduct to all staff.,Continue to provide training in customer service and code of conduct to all staff.,Continue to provide training in customer service and code of conduct to all staff.,Continue to provide training in customer service and code of conduct to all staff.,Continue to provide training in customer service and code of conduct to all staff.,Continue to provide training in customer service and code of conduct to all staff.,Continue to provide training in customer service and code of conduct to all staff.,Continue to provide training in customer service and code of conduct to all staff.,Continue to provide training in customer service and code of conduct to all staff.,,
•,Continue,to,conduct,outreach,and,awareness,programs,about,library,library,services,throughout,the
,community.,community.,,,,,,,,,,,
•,Continue,digitizing,and,making,available,online,the,Library's,collection,collection,of,approximately,"10,000"
,historical photos at an approximate rate of 300 per month.,historical photos at an approximate rate of 300 per month.,historical photos at an approximate rate of 300 per month.,historical photos at an approximate rate of 300 per month.,historical photos at an approximate rate of 300 per month.,historical photos at an approximate rate of 300 per month.,historical photos at an approximate rate of 300 per month.,,,,,,
•,Continue to focus on improvement and development of the Library's website.,Continue to focus on improvement and development of the Library's website.,Continue to focus on improvement and development of the Library's website.,Continue to focus on improvement and development of the Library's website.,Continue to focus on improvement and development of the Library's website.,Continue to focus on improvement and development of the Library's website.,Continue to focus on improvement and development of the Library's website.,Continue to focus on improvement and development of the Library's website.,Continue to focus on improvement and development of the Library's website.,Continue to focus on improvement and development of the Library's website.,,,
•,"Continue to develop library services of ""after school"" value to teens and tweens. Promote and maximize","Continue to develop library services of ""after school"" value to teens and tweens. Promote and maximize","Continue to develop library services of ""after school"" value to teens and tweens. Promote and maximize","Continue to develop library services of ""after school"" value to teens and tweens. Promote and maximize","Continue to develop library services of ""after school"" value to teens and tweens. Promote and maximize","Continue to develop library services of ""after school"" value to teens and tweens. Promote and maximize","Continue to develop library services of ""after school"" value to teens and tweens. Promote and maximize","Continue to develop library services of ""after school"" value to teens and tweens. Promote and maximize","Continue to develop library services of ""after school"" value to teens and tweens. Promote and maximize","Continue to develop library services of ""after school"" value to teens and tweens. Promote and maximize","Continue to develop library services of ""after school"" value to teens and tweens. Promote and maximize","Continue to develop library services of ""after school"" value to teens and tweens. Promote and maximize","Continue to develop library services of ""after school"" value to teens and tweens. Promote and maximize"
,"usage of branch libraries with 25-30 computers in each branch, library computer aides, updated and","usage of branch libraries with 25-30 computers in each branch, library computer aides, updated and","usage of branch libraries with 25-30 computers in each branch, library computer aides, updated and","usage of branch libraries with 25-30 computers in each branch, library computer aides, updated and","usage of branch libraries with 25-30 computers in each branch, library computer aides, updated and","usage of branch libraries with 25-30 computers in each branch, library computer aides, updated and","usage of branch libraries with 25-30 computers in each branch, library computer aides, updated and","usage of branch libraries with 25-30 computers in each branch, library computer aides, updated and","usage of branch libraries with 25-30 computers in each branch, library computer aides, updated and","usage of branch libraries with 25-30 computers in each branch, library computer aides, updated and","usage of branch libraries with 25-30 computers in each branch, library computer aides, updated and","usage of branch libraries with 25-30 computers in each branch, library computer aides, updated and","usage of branch libraries with 25-30 computers in each branch, library computer aides, updated and"
,"current books needed for homework, and clean and safe environments.","current books needed for homework, and clean and safe environments.","current books needed for homework, and clean and safe environments.","current books needed for homework, and clean and safe environments.","current books needed for homework, and clean and safe environments.","current books needed for homework, and clean and safe environments.","current books needed for homework, and clean and safe environments.","current books needed for homework, and clean and safe environments.","current books needed for homework, and clean and safe environments.","current books needed for homework, and clean and safe environments.",,,
•,Continue to install ADA compliant circulation desks in the branches.,Continue to install ADA compliant circulation desks in the branches.,Continue to install ADA compliant circulation desks in the branches.,Continue to install ADA compliant circulation desks in the branches.,Continue to install ADA compliant circulation desks in the branches.,Continue to install ADA compliant circulation desks in the branches.,Continue to install ADA compliant circulation desks in the branches.,Continue to install ADA compliant circulation desks in the branches.,,,,,
•,"Work with Facility Maintenance to install ADA compliant bathrooms at Blyden Branch, Janaf Branch and","Work with Facility Maintenance to install ADA compliant bathrooms at Blyden Branch, Janaf Branch and","Work with Facility Maintenance to install ADA compliant bathrooms at Blyden Branch, Janaf Branch and","Work with Facility Maintenance to install ADA compliant bathrooms at Blyden Branch, Janaf Branch and","Work with Facility Maintenance to install ADA compliant bathrooms at Blyden Branch, Janaf Branch and","Work with Facility Maintenance to install ADA compliant bathrooms at Blyden Branch, Janaf Branch and","Work with Facility Maintenance to install ADA compliant bathrooms at Blyden Branch, Janaf Branch and","Work with Facility Maintenance to install ADA compliant bathrooms at Blyden Branch, Janaf Branch and","Work with Facility Maintenance to install ADA compliant bathrooms at Blyden Branch, Janaf Branch and","Work with Facility Maintenance to install ADA compliant bathrooms at Blyden Branch, Janaf Branch and","Work with Facility Maintenance to install ADA compliant bathrooms at Blyden Branch, Janaf Branch and","Work with Facility Maintenance to install ADA compliant bathrooms at Blyden Branch, Janaf Branch and","Work with Facility Maintenance to install ADA compliant bathrooms at Blyden Branch, Janaf Branch and"
,Larchmont Branch.,Larchmont Branch.,,,,,,,,,,,
•,Service main library's book collection to the branches from the Norfolk Public Library Administrative,Service main library's book collection to the branches from the Norfolk Public Library Administrative,Service main library's book collection to the branches from the Norfolk Public Library Administrative,Service main library's book collection to the branches from the Norfolk Public Library Administrative,Service main library's book collection to the branches from the Norfolk Public Library Administrative,Service main library's book collection to the branches from the Norfolk Public Library Administrative,Service main library's book collection to the branches from the Norfolk Public Library Administrative,Service main library's book collection to the branches from the Norfolk Public Library Administrative,Service main library's book collection to the branches from the Norfolk Public Library Administrative,Service main library's book collection to the branches from the Norfolk Public Library Administrative,Service main library's book collection to the branches from the Norfolk Public Library Administrative,Service main library's book collection to the branches from the Norfolk Public Library Administrative,Service main library's book collection to the branches from the Norfolk Public Library Administrative
,Offices and Service Center.,Offices and Service Center.,Offices and Service Center.,Offices and Service Center.,,,,,,,,,
•,Continue to interfile the book collection at the NPL Administrative Offices & Service Center.,Continue to interfile the book collection at the NPL Administrative Offices & Service Center.,Continue to interfile the book collection at the NPL Administrative Offices & Service Center.,Continue to interfile the book collection at the NPL Administrative Offices & Service Center.,Continue to interfile the book collection at the NPL Administrative Offices & Service Center.,Continue to interfile the book collection at the NPL Administrative Offices & Service Center.,Continue to interfile the book collection at the NPL Administrative Offices & Service Center.,Continue to interfile the book collection at the NPL Administrative Offices & Service Center.,Continue to interfile the book collection at the NPL Administrative Offices & Service Center.,Continue to interfile the book collection at the NPL Administrative Offices & Service Center.,Continue to interfile the book collection at the NPL Administrative Offices & Service Center.,Continue to interfile the book collection at the NPL Administrative Offices & Service Center.,
•,Continue improvements to the design of the SirsiDynix system software and increase staff training,Continue improvements to the design of the SirsiDynix system software and increase staff training,Continue improvements to the design of the SirsiDynix system software and increase staff training,Continue improvements to the design of the SirsiDynix system software and increase staff training,Continue improvements to the design of the SirsiDynix system software and increase staff training,Continue improvements to the design of the SirsiDynix system software and increase staff training,Continue improvements to the design of the SirsiDynix system software and increase staff training,Continue improvements to the design of the SirsiDynix system software and increase staff training,Continue improvements to the design of the SirsiDynix system software and increase staff training,Continue improvements to the design of the SirsiDynix system software and increase staff training,Continue improvements to the design of the SirsiDynix system software and increase staff training,Continue improvements to the design of the SirsiDynix system software and increase staff training,Continue improvements to the design of the SirsiDynix system software and increase staff training
,associated with this program.,associated with this program.,associated with this program.,associated with this program.,,,,,,,,,
•,Increase bandwidth for staff network and public internet as funds allow.,Increase bandwidth for staff network and public internet as funds allow.,Increase bandwidth for staff network and public internet as funds allow.,Increase bandwidth for staff network and public internet as funds allow.,Increase bandwidth for staff network and public internet as funds allow.,Increase bandwidth for staff network and public internet as funds allow.,Increase bandwidth for staff network and public internet as funds allow.,Increase bandwidth for staff network and public internet as funds allow.,Increase bandwidth for staff network and public internet as funds allow.,Increase bandwidth for staff network and public internet as funds allow.,,,
204,Libraries,Libraries,,,,,,,,,,,
