Name: “Table 1 of 1 on page 168 of 212”,Name: “Table 1 of 1 on page 168 of 212”,Name: “Table 1 of 1 on page 168 of 212”,Name: “Table 1 of 1 on page 168 of 212”,Name: “Table 1 of 1 on page 168 of 212”,Name: “Table 1 of 1 on page 168 of 212”,Name: “Table 1 of 1 on page 168 of 212”,Name: “Table 1 of 1 on page 168 of 212”
Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168
,,,,,,,
Programs & Services,Programs & Services,,,,,,
,,,FY 2010,FY 2011,FY 2011,FY 2012,
,,,Actual,Approved,Approved,Approved,Positions
Cruise Ship Terminal,Cruise Ship Terminal,,,,,,
Recreation Activities/Cruise Ship,Recreation Activities/Cruise Ship,Recreation Activities/Cruise Ship,"1,653,330","3,154,400","3,154,400","2,638,400",6
Manage and market the Half Moone Cruise and,Manage and market the Half Moone Cruise and,Manage and market the Half Moone Cruise and,,,,,
Celebration Center. Operate a state-of-the-art,Celebration Center. Operate a state-of-the-art,Celebration Center. Operate a state-of-the-art,,,,,
cruise ship terminal. Provide a premier special,cruise ship terminal. Provide a premier special,cruise ship terminal. Provide a premier special,,,,,
events venue.,events venue.,,,,,,
Total,Total,,"1,653,330","3,154,400","3,154,400","2,638,400",6
Position Summary,Position Summary,,,,,,
,,,,,FY 2011,,FY 2012
,,,,,Approved,,Approved
,,Pay Grade,Minimum,Maximum,Positions,Change,Positions
Assistant Director of Maritime,Assistant Director of Maritime,,,,,,
,,SRM006,"64,848","114,132",1,0,1
Center,Center,,,,,,
Crew Leader I,Crew Leader I,OPS008,"27,697","44,276",1,0,1
Maintenance Worker II,Maintenance Worker II,OPS004,"20,397","32,611",1,0,1
Manager of Cruise Operations,Manager of Cruise Operations,,,,,,
,,SRM002,"51,027","89,809",1,0,1
& Marketing,& Marketing,,,,,,
Operating Engineer II,Operating Engineer II,OPS010,"32,456","51,882",1,0,1
Visitor Services Specialist,Visitor Services Specialist,MAP004,"34,106","54,524",1,0,1
Total,Total,,,,6,,6
232,Cruise Ship Terminal,,,,,,
