Name: “Table 1 of 1 on page 89 of 212”,Name: “Table 1 of 1 on page 89 of 212”,Name: “Table 1 of 1 on page 89 of 212”,Name: “Table 1 of 1 on page 89 of 212”,Name: “Table 1 of 1 on page 89 of 212”,Name: “Table 1 of 1 on page 89 of 212”,Name: “Table 1 of 1 on page 89 of 212”,Name: “Table 1 of 1 on page 89 of 212”
Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89
,,,,,,,
Position Summary,,,,,,,
,,,,FY 2011,,FY 2012,FY 2012
,,,,Approved,,Approved,Approved
,Pay Grade,Minimum,Maximum,Positions,Change,Positions,Positions
Director of Finance &,,,,,,,
,EXE003,"86,070","148,838",1,0,,1
Business Services,,,,,,,
Executive Manager of,,,,,,,
,SRM006,"64,848","114,132",1,0,,1
Retirement Systems,,,,,,,
Financial Operations,,,,,,,
,MAP011,"52,582","84,061",1,0,,1
Manager,,,,,,,
Fiscal Systems Analyst,ITM004,"49,707","79,465",2,0,,2
Fiscal Systems Manager,ITM006,"56,672","90,598",1,0,,1
Management Analyst II,MAP008,"43,481","69,509",1,0,,1
Management Analyst III,MAP009,"46,289","74,003",1,0,,1
Manager of Real Estate,SRM005,"60,947","107,266",1,-1,,0
Payroll Accountant,MAP006,"38,452","61,471",1,0,,1
Payroll Manager,MAP010,"49,317","78,839",1,0,,1
Purchasing Agent,SRM005,"60,947","107,266",1,-1,,0
Real Estate Coordinator,MAP007,"40,874","65,345",2,-2,,0
Risk Manager,MAP011,"52,582","84,061",1,0,,1
Support Technician,OPS006,"23,724","37,926",2,0,,2
Total,,,,42,,,33
,,,,,,Finance,159
